https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume RVN,Volume USDT,tradecount
1663545600000,2022-09-19 00:00:00,RVN/USDT,0.04112000,0.04185000,0.04087000,0.04160000,25663217.40000000,1060381.89508200,3726
1663459200000,2022-09-18 00:00:00,RVN/USDT,0.04861000,0.05028000,0.04068000,0.04112000,659624097.00000000,29996463.89330700,131849
1663372800000,2022-09-17 00:00:00,RVN/USDT,0.05041000,0.05330000,0.04626000,0.04860000,886739009.60000000,43254522.92702600,182217
1663286400000,2022-09-16 00:00:00,RVN/USDT,0.05537000,0.05717000,0.04882000,0.05045000,1218163469.40000000,63801980.98096900,284406
1663200000000,2022-09-15 00:00:00,RVN/USDT,0.07045000,0.07077000,0.05476000,0.05532000,1984921288.00000000,124070489.15788800,445557
1663113600000,2022-09-14 00:00:00,RVN/USDT,0.06013000,0.07752000,0.05948000,0.07037000,2096909799.40000000,144947773.48680300,521706
1663027200000,2022-09-13 00:00:00,RVN/USDT,0.06783000,0.06883000,0.05683000,0.06012000,1653650679.40000000,103876476.62498900,398835
1662940800000,2022-09-12 00:00:00,RVN/USDT,0.05150000,0.07368000,0.05058000,0.06783000,1968454084.70000000,123156955.82545700,465762
1662854400000,2022-09-11 00:00:00,RVN/USDT,0.05725000,0.05753000,0.05016000,0.05152000,549924593.10000000,28907698.67792300,126075
1662768000000,2022-09-10 00:00:00,RVN/USDT,0.05621000,0.05978000,0.04887000,0.05728000,1068906553.40000000,57827191.93709800,255509
1662681600000,2022-09-09 00:00:00,RVN/USDT,0.03670000,0.06254000,0.03640000,0.05618000,2207893127.00000000,108875486.79942900,463381
1662595200000,2022-09-08 00:00:00,RVN/USDT,0.03691000,0.03845000,0.03492000,0.03669000,341898148.00000000,12431482.45884000,62783
1662508800000,2022-09-07 00:00:00,RVN/USDT,0.03701000,0.03845000,0.03440000,0.03690000,596673143.80000000,21707768.74183400,114629
1662422400000,2022-09-06 00:00:00,RVN/USDT,0.03861000,0.04250000,0.03621000,0.03705000,1418477344.80000000,55070740.67613400,243517
1662336000000,2022-09-05 00:00:00,RVN/USDT,0.03457000,0.03948000,0.03178000,0.03862000,1253188162.20000000,44555849.75671700,202856
1662249600000,2022-09-04 00:00:00,RVN/USDT,0.02886000,0.03850000,0.02876000,0.03456000,711241681.40000000,24092298.82878300,100616
1662163200000,2022-09-03 00:00:00,RVN/USDT,0.02833000,0.02896000,0.02796000,0.02884000,47454461.90000000,1347851.74235600,8087
1662076800000,2022-09-02 00:00:00,RVN/USDT,0.02876000,0.02929000,0.02793000,0.02835000,84028395.80000000,2404332.00007100,16693
1661990400000,2022-09-01 00:00:00,RVN/USDT,0.02852000,0.02882000,0.02769000,0.02874000,90112668.60000000,2551998.78261000,19131
1661904000000,2022-08-31 00:00:00,RVN/USDT,0.02879000,0.03008000,0.02828000,0.02854000,110658147.00000000,3242678.54882900,22572
1661817600000,2022-08-30 00:00:00,RVN/USDT,0.02930000,0.03027000,0.02783000,0.02878000,160967298.80000000,4700446.88789700,24820
1661731200000,2022-08-29 00:00:00,RVN/USDT,0.02726000,0.02988000,0.02677000,0.02932000,122290474.50000000,3461160.95742400,20845
1661644800000,2022-08-28 00:00:00,RVN/USDT,0.02860000,0.02933000,0.02705000,0.02727000,72228027.70000000,2064026.61315400,13226
