https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GOVI,Volume USDT
1663459200,2022-09-18 00:00:00,GOVI/USDT,0.2495,0.2497,0.249,0.2491,29490.5488,7354.55792361
1663372800,2022-09-17 00:00:00,GOVI/USDT,0.2432,0.261,0.2411,0.2495,884914.2385,217898.34089808
1663286400,2022-09-16 00:00:00,GOVI/USDT,0.2316,0.252,0.2208,0.2431,907704.188,210816.55246219
1663200000,2022-09-15 00:00:00,GOVI/USDT,0.2375,0.2806,0.2276,0.2307,914065.4067,215250.4247359
1663113600,2022-09-14 00:00:00,GOVI/USDT,0.2402,0.2412,0.2297,0.2375,868072.8344,204890.42907796
1663027200,2022-09-13 00:00:00,GOVI/USDT,0.2501,0.2547,0.2391,0.2408,873092.6608,214839.7595832
1662940800,2022-09-12 00:00:00,GOVI/USDT,0.254,0.2541,0.2478,0.2502,838001.8113,209699.16734762
1662854400,2022-09-11 00:00:00,GOVI/USDT,0.2566,0.2574,0.2516,0.2541,821526.5819,208267.20337004
1662768000,2022-09-10 00:00:00,GOVI/USDT,0.2535,0.2601,0.2525,0.2565,719901.8742,184138.66053877
1662681600,2022-09-09 00:00:00,GOVI/USDT,0.2366,0.2546,0.2352,0.2535,831320.7154,205687.22920649
1662595200,2022-09-08 00:00:00,GOVI/USDT,0.2367,0.2385,0.2354,0.2368,626642.3833,148274.24134882
1662508800,2022-09-07 00:00:00,GOVI/USDT,0.2375,0.2438,0.2223,0.2367,751633.9903,173337.02360002
1662422400,2022-09-06 00:00:00,GOVI/USDT,0.2392,0.247,0.2369,0.2376,947725.0299,229039.8331249
1662336000,2022-09-05 00:00:00,GOVI/USDT,0.2412,0.2421,0.237,0.2392,875766.6199,209484.09059203
1662249600,2022-09-04 00:00:00,GOVI/USDT,0.2403,0.2432,0.2331,0.2412,935327.7889,224720.51343719
1662163200,2022-09-03 00:00:00,GOVI/USDT,0.2415,0.2437,0.2365,0.2403,883533.7585,213302.94792153
1662076800,2022-09-02 00:00:00,GOVI/USDT,0.2397,0.2439,0.2386,0.2414,903766.0677,217748.17792471
1661990400,2022-09-01 00:00:00,GOVI/USDT,0.2404,0.2419,0.2368,0.2397,867020.3734,207167.48598274
1661904000,2022-08-31 00:00:00,GOVI/USDT,0.235,0.2451,0.235,0.2404,705665.5403,169762.66367812
1661817600,2022-08-30 00:00:00,GOVI/USDT,0.238,0.2428,0.232,0.2352,100180.2044,23728.31112954
1661731200,2022-08-29 00:00:00,GOVI/USDT,0.223,0.2414,0.2195,0.2378,11016.1938,2557.48272103
1661644800,2022-08-28 00:00:00,GOVI/USDT,0.2356,0.2548,0.2205,0.2234,107322.5023,25043.92812232
1661558400,2022-08-27 00:00:00,GOVI/USDT,0.2378,0.2395,0.2242,0.2342,11129.1871,2583.619719
1661472000,2022-08-26 00:00:00,GOVI/USDT,0.2596,0.2619,0.2371,0.2404,42260.356,10816.9173891
1661385600,2022-08-25 00:00:00,GOVI/USDT,0.2723,0.2734,0.25,0.2596,195940.6536,51539.21796557
1661299200,2022-08-24 00:00:00,GOVI/USDT,0.2663,0.2753,0.2612,0.2709,43856.3981,11777.68240628
1661212800,2022-08-23 00:00:00,GOVI/USDT,0.2596,0.2668,0.2593,0.2663,25007.4804,6577.12041583
1661126400,2022-08-22 00:00:00,GOVI/USDT,0.2674,0.2689,0.2567,0.2611,29512.771,7727.21903
1661040000,2022-08-21 00:00:00,GOVI/USDT,0.2676,0.2708,0.267,0.2684,49576.4741,13330.43636754
1660953600,2022-08-20 00:00:00,GOVI/USDT,0.2807,0.2815,0.2642,0.2677,90086.7341,24755.56028715
1660867200,2022-08-19 00:00:00,GOVI/USDT,0.3149,0.315,0.2754,0.2807,128850.5245,38016.85281729
1660780800,2022-08-18 00:00:00,GOVI/USDT,0.324,0.3246,0.3147,0.3147,163405.3756,52137.84524013
1660694400,2022-08-17 00:00:00,GOVI/USDT,0.345,0.3484,0.3223,0.3238,108425.915,35687.55611216
1660608000,2022-08-16 00:00:00,GOVI/USDT,0.3499,0.3503,0.3437,0.345,63556.1227,22129.59045668
1660521600,2022-08-15 00:00:00,GOVI/USDT,0.3685,0.3736,0.3494,0.3499,254152.8372,91980.15028797
1660435200,2022-08-14 00:00:00,GOVI/USDT,0.3945,0.3954,0.3461,0.3682,281333.0115,107117.14344721
1660348800,2022-08-13 00:00:00,GOVI/USDT,0.3833,0.395,0.3813,0.3945,230093.7434,89959.6866574
1660262400,2022-08-12 00:00:00,GOVI/USDT,0.3783,0.3888,0.3752,0.3832,222666.5471,84489.26538352
1660176000,2022-08-11 00:00:00,GOVI/USDT,0.3775,0.392,0.3737,0.379,233437.511,88650.01161094
1660089600,2022-08-10 00:00:00,GOVI/USDT,0.3611,0.3875,0.3398,0.3783,275737.3509,99348.16575214
1660003200,2022-08-09 00:00:00,GOVI/USDT,0.3872,0.3883,0.3604,0.3605,214659.9949,80351.44208186
1659916800,2022-08-08 00:00:00,GOVI/USDT,0.3822,0.388,0.3772,0.3872,200766.5924,76962.68510305
1659830400,2022-08-07 00:00:00,GOVI/USDT,0.377,0.3833,0.3636,0.3802,190543.5934,72263.16864874
1659744000,2022-08-06 00:00:00,GOVI/USDT,0.3742,0.3838,0.3634,0.3773,200365.5746,76047.239994
1659657600,2022-08-05 00:00:00,GOVI/USDT,0.3553,0.3752,0.3551,0.374,169766.6175,61981.70532027
1659571200,2022-08-04 00:00:00,GOVI/USDT,0.353,0.3592,0.3465,0.3577,206675.0815,73431.13979955
1659484800,2022-08-03 00:00:00,GOVI/USDT,0.3626,0.3646,0.3481,0.3542,227451.0629,80656.81241479
1659398400,2022-08-02 00:00:00,GOVI/USDT,0.3528,0.371,0.3415,0.3626,241455.2122,85523.42439855
1659312000,2022-08-01 00:00:00,GOVI/USDT,0.3626,0.3686,0.345,0.3528,250177.6789,89363.89158763
1659225600,2022-07-31 00:00:00,GOVI/USDT,0.3658,0.3957,0.3608,0.3638,195160.0657,72798.01108617
1659139200,2022-07-30 00:00:00,GOVI/USDT,0.3734,0.3895,0.3555,0.3658,237000.5664,87785.98263693
1659052800,2022-07-29 00:00:00,GOVI/USDT,0.3907,0.395,0.3645,0.3742,203356.1406,77057.16717666
1658966400,2022-07-28 00:00:00,GOVI/USDT,0.3447,0.3974,0.3383,0.3894,242990.1682,89792.44966672
1658880000,2022-07-27 00:00:00,GOVI/USDT,0.3083,0.3496,0.3043,0.3437,389273.2267,123494.34121248
1658793600,2022-07-26 00:00:00,GOVI/USDT,0.3379,0.3524,0.2958,0.3083,649758.9447,203313.09286872
1658707200,2022-07-25 00:00:00,GOVI/USDT,0.3777,0.3795,0.3371,0.3379,590847.2851,210020.12912873
1658620800,2022-07-24 00:00:00,GOVI/USDT,0.3688,0.3935,0.362,0.3778,212065.1528,79355.91698454
1658534400,2022-07-23 00:00:00,GOVI/USDT,0.3622,0.3826,0.348,0.367,192001.1842,69227.62706819
1658448000,2022-07-22 00:00:00,GOVI/USDT,0.357,0.383,0.3476,0.3603,220325.2021,80196.8359372
1658361600,2022-07-21 00:00:00,GOVI/USDT,0.3334,0.363,0.3229,0.357,232832.3189,78975.94350265
1658275200,2022-07-20 00:00:00,GOVI/USDT,0.3391,0.3623,0.3082,0.3334,408292.45774347,136014.191655956893
1658188800,2022-07-19 00:00:00,GOVI/USDT,0.3243,0.3788,0.3139,0.3404,385681.78194382,128565.804858185615
1658102400,2022-07-18 00:00:00,GOVI/USDT,0.2898,0.3365,0.2852,0.3281,307267.11445752,94792.399705039783
1658016000,2022-07-17 00:00:00,GOVI/USDT,0.2848,0.3,0.2796,0.2898,426387.40634528,122702.119696623619
1657929600,2022-07-16 00:00:00,GOVI/USDT,0.2583,0.2886,0.2498,0.2869,277745.01779877,73898.32334240595
1657843200,2022-07-15 00:00:00,GOVI/USDT,0.2494,0.2671,0.248,0.2606,265627.69333828,67682.173361835442
1657756800,2022-07-14 00:00:00,GOVI/USDT,0.2405,0.2529,0.23,0.25,276032.7877,65976.51758286
1657670400,2022-07-13 00:00:00,GOVI/USDT,0.2333,0.2426,0.223,0.2381,298938.88994963,69782.0603308253
1657584000,2022-07-12 00:00:00,GOVI/USDT,0.2447,0.246,0.2324,0.2324,362355.9313,86956.36186869
1657497600,2022-07-11 00:00:00,GOVI/USDT,0.2541,0.2541,0.2427,0.2434,308204.14860607,76958.083175249928
1657411200,2022-07-10 00:00:00,GOVI/USDT,0.2606,0.2626,0.2486,0.252,354866.53920445,91210.415480895788
1657324800,2022-07-09 00:00:00,GOVI/USDT,0.2598,0.2629,0.256,0.2611,310152.31446367,80483.03351844829
1657238400,2022-07-08 00:00:00,GOVI/USDT,0.2538,0.2622,0.2504,0.2579,189184.19284364,48625.835911939299
1657152000,2022-07-07 00:00:00,GOVI/USDT,0.2425,0.2541,0.2406,0.2538,94239.67935546,23059.083968759458
1657065600,2022-07-06 00:00:00,GOVI/USDT,0.2414,0.246,0.237,0.2443,282374.82996467,68160.838622159183
1656979200,2022-07-05 00:00:00,GOVI/USDT,0.2359,0.2467,0.2306,0.2422,289697.15688758,68991.853104173118
1656892800,2022-07-04 00:00:00,GOVI/USDT,0.2258,0.2399,0.2215,0.2359,314825.25413871,71914.598923645613
1656806400,2022-07-03 00:00:00,GOVI/USDT,0.2291,0.2325,0.2231,0.2264,358543.08414851,81919.765902006872
1656720000,2022-07-02 00:00:00,GOVI/USDT,0.2295,0.234,0.2257,0.2302,359569.34619983,82401.682146179191
1656633600,2022-07-01 00:00:00,GOVI/USDT,0.2349,0.2442,0.2294,0.2296,425286.03458234,99574.452640321628
1656547200,2022-06-30 00:00:00,GOVI/USDT,0.2469,0.2472,0.2265,0.2331,331932.27261794,78039.473507308226
1656460800,2022-06-29 00:00:00,GOVI/USDT,0.2534,0.2541,0.2459,0.2465,322796.40788629,80734.923568444677
1656374400,2022-06-28 00:00:00,GOVI/USDT,0.2746,0.2764,0.2534,0.2534,361362.08696077,96131.45061071197
1656288000,2022-06-27 00:00:00,GOVI/USDT,0.2727,0.429,0.2658,0.2746,504554.8781353,143130.526612911675
1656201600,2022-06-26 00:00:00,GOVI/USDT,0.2716,0.2963,0.2689,0.2727,320712.47092831,89018.768331272628
1656115200,2022-06-25 00:00:00,GOVI/USDT,0.2645,0.2962,0.2596,0.2739,367403.82835811,99151.267122733682
1656028800,2022-06-24 00:00:00,GOVI/USDT,0.2399,0.2754,0.2387,0.2653,297110.58060649,75304.529376308288
1655942400,2022-06-23 00:00:00,GOVI/USDT,0.2127,0.2576,0.2111,0.24,404891.18784401,94045.140408632035
1655856000,2022-06-22 00:00:00,GOVI/USDT,0.225,0.2267,0.2055,0.2151,196113.97029247,42160.157158334112
1655769600,2022-06-21 00:00:00,GOVI/USDT,0.2237,0.2456,0.223,0.2268,131681.41339882,30258.854884827784
1655683200,2022-06-20 00:00:00,GOVI/USDT,0.2235,0.231,0.2118,0.2247,344522.41719957,75881.151762990656
1655596800,2022-06-19 00:00:00,GOVI/USDT,0.2064,0.2348,0.1852,0.2232,299399.82582449,62318.122350916371
1655510400,2022-06-18 00:00:00,GOVI/USDT,0.227,0.2317,0.1919,0.2064,325493.59135761,68566.027420138876
