https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BEPRO,Volume USDT
1663376400,2022-09-17 01:00:00,BEPRO/USDT,0.00114712,0.00114715,0.0011427,0.00114715,84653.8197,97.097544794584
1663372800,2022-09-17 00:00:00,BEPRO/USDT,0.001145,0.00114715,0.00113831,0.00114712,802329.7132,918.69731531348
1663369200,2022-09-16 23:00:00,BEPRO/USDT,0.00113659,0.001145,0.00113659,0.001145,665733.2084,761.446869492822
1663365600,2022-09-16 22:00:00,BEPRO/USDT,0.0011425,0.001145,0.00113282,0.00113381,843034.8955,960.278551174351
1663362000,2022-09-16 21:00:00,BEPRO/USDT,0.001144,0.001145,0.00113524,0.0011425,696064.194,795.073171647111
1663358400,2022-09-16 20:00:00,BEPRO/USDT,0.0011281,0.0011438,0.00112449,0.0011438,1527047.7705,1733.687259360516
1663354800,2022-09-16 19:00:00,BEPRO/USDT,0.00112825,0.00112825,0.0011205,0.0011281,402238.8463,452.019470063998
1663351200,2022-09-16 18:00:00,BEPRO/USDT,0.00112282,0.00114101,0.00112111,0.0011318,2488740.1062,2821.545354710429
1663347600,2022-09-16 17:00:00,BEPRO/USDT,0.00113351,0.0011385,0.0011093,0.00112145,4122999.1365,4628.404625510372
1663344000,2022-09-16 16:00:00,BEPRO/USDT,0.00113332,0.0011409,0.00113306,0.00113829,398587.3309,452.266178956588
1663340400,2022-09-16 15:00:00,BEPRO/USDT,0.00113829,0.00114159,0.00113157,0.001141,509227.5507,577.400635676742
1663336800,2022-09-16 14:00:00,BEPRO/USDT,0.001127,0.00113769,0.00112233,0.00113744,2720639.5074,3073.421899878821
1663333200,2022-09-16 13:00:00,BEPRO/USDT,0.0011596,0.00116,0.0011224,0.0011271,28209251.1668,31914.200316081934
1663329600,2022-09-16 12:00:00,BEPRO/USDT,0.00116,0.00116,0.00115074,0.00115223,708056.9585,820.928130096319
1663326000,2022-09-16 11:00:00,BEPRO/USDT,0.00116,0.00116,0.0011494,0.00116,505600.9551,585.444593859652
1663322400,2022-09-16 10:00:00,BEPRO/USDT,0.00114414,0.00116,0.001144,0.00116,705213.1725,814.802594789516
1663318800,2022-09-16 09:00:00,BEPRO/USDT,0.001135,0.0011506,0.0011312,0.0011506,761917.7515,873.075242102614
1663315200,2022-09-16 08:00:00,BEPRO/USDT,0.0011463,0.0011463,0.00112722,0.00113391,1365342.6445,1548.068272456901
1663311600,2022-09-16 07:00:00,BEPRO/USDT,0.00115152,0.00115175,0.0011348,0.00114717,730724.9903,835.861263932082
1663308000,2022-09-16 06:00:00,BEPRO/USDT,0.0011418,0.0011577,0.00113582,0.0011577,1093928.4861,1259.619837400414
1663304400,2022-09-16 05:00:00,BEPRO/USDT,0.00114173,0.0011471,0.0011353,0.0011353,401485.4016,458.155586802753
1663300800,2022-09-16 04:00:00,BEPRO/USDT,0.0011463,0.001149,0.00114171,0.00114174,4982.6725,5.704605601479
1663297200,2022-09-16 03:00:00,BEPRO/USDT,0.0011471,0.00114849,0.0011371,0.00114171,16262935.6945,18495.135529889619
1663293600,2022-09-16 02:00:00,BEPRO/USDT,0.0011452,0.0011471,0.00114183,0.0011471,17214.2046,19.682637990714
1663290000,2022-09-16 01:00:00,BEPRO/USDT,0.0011501,0.0011545,0.0011452,0.0011465,129183.3845,148.681592796155
1663286400,2022-09-16 00:00:00,BEPRO/USDT,0.0011492,0.0011537,0.00113999,0.0011501,1140379.3245,1305.361021580017
1663282800,2022-09-15 23:00:00,BEPRO/USDT,0.0011568,0.001157,0.00113025,0.0011491,2587390.71,2953.472918817255
1663279200,2022-09-15 22:00:00,BEPRO/USDT,0.00115779,0.001165,0.0011427,0.0011562,1890731.0095,2185.073911167833
1663275600,2022-09-15 21:00:00,BEPRO/USDT,0.0011569,0.0011654,0.0011493,0.001159,503377.4675,583.19109327908
1663272000,2022-09-15 20:00:00,BEPRO/USDT,0.00116238,0.00116238,0.0011411,0.0011565,4874614.058,5613.9802962398634735
1663268400,2022-09-15 19:00:00,BEPRO/USDT,0.00116278,0.00116279,0.00115615,0.00116238,212256.5874,246.382498018694
1663264800,2022-09-15 18:00:00,BEPRO/USDT,0.00117022,0.0011743,0.00115568,0.00116279,2287297.8975,2670.358669595914
1663261200,2022-09-15 17:00:00,BEPRO/USDT,0.0011612,0.00117197,0.0011612,0.0011719,584439.2197,683.371974282933
1663257600,2022-09-15 16:00:00,BEPRO/USDT,0.00115568,0.0011683,0.00115568,0.0011683,738262.1209,860.10478943814
1663254000,2022-09-15 15:00:00,BEPRO/USDT,0.00115678,0.001162,0.00114715,0.00115568,2092913.3257,2414.300855348764
1663250400,2022-09-15 14:00:00,BEPRO/USDT,0.0011778,0.0011809,0.00114715,0.0011568,1571363.731,1825.7292918108482925
1663246800,2022-09-15 13:00:00,BEPRO/USDT,0.00116194,0.0011778,0.00115751,0.0011778,671646.0816,784.052819958976
1663243200,2022-09-15 12:00:00,BEPRO/USDT,0.0011782,0.001179,0.0011555,0.0011555,17778438.8489,20556.101648055161
1663239600,2022-09-15 11:00:00,BEPRO/USDT,0.0011923,0.0011923,0.0011694,0.0011777,1692549.5271,1990.502373304948
1663236000,2022-09-15 10:00:00,BEPRO/USDT,0.0011878,0.00119449,0.00118192,0.0011925,324841.027,386.154775479384
1663232400,2022-09-15 09:00:00,BEPRO/USDT,0.0011966,0.0011967,0.0011878,0.001188,375717.7665,448.380004476755
1663228800,2022-09-15 08:00:00,BEPRO/USDT,0.00119089,0.0011967,0.00118171,0.0011966,490725.0588,585.456409591379
1663225200,2022-09-15 07:00:00,BEPRO/USDT,0.00116921,0.00119199,0.00116921,0.00119199,886883.3322,1050.403932112434
1663221600,2022-09-15 06:00:00,BEPRO/USDT,0.00117349,0.0011738,0.0011549,0.0011738,995715.98975893,1160.137995964238257
1663218000,2022-09-15 05:00:00,BEPRO/USDT,0.00117039,0.00117349,0.00116615,0.00117349,333645.533,391.115116052008
1663214400,2022-09-15 04:00:00,BEPRO/USDT,0.00116876,0.00117299,0.00116206,0.00117039,708572.3027,827.295981796733
1663210800,2022-09-15 03:00:00,BEPRO/USDT,0.00117191,0.0011759,0.001162,0.0011735,496136.2607,580.78150100882
1663207200,2022-09-15 02:00:00,BEPRO/USDT,0.00117679,0.001182,0.0011614,0.00117195,14105984.5078,16396.667578286756
1663203600,2022-09-15 01:00:00,BEPRO/USDT,0.00118623,0.0011941,0.00116955,0.00117668,2174440.8064,2562.35970039835
1663200000,2022-09-15 00:00:00,BEPRO/USDT,0.001192,0.0011941,0.00118,0.00119096,3048676.9797,3633.579152863491
1663196400,2022-09-14 23:00:00,BEPRO/USDT,0.00117999,0.0011926,0.00117689,0.001192,2310377.7682,2726.981887655471
1663192800,2022-09-14 22:00:00,BEPRO/USDT,0.0011845,0.00119379,0.0011791,0.00118,804475.3775,952.857020826942
1663189200,2022-09-14 21:00:00,BEPRO/USDT,0.0011801,0.001186,0.0011664,0.00118389,3038639.7879,3576.204779067129
1663185600,2022-09-14 20:00:00,BEPRO/USDT,0.0011759,0.00118009,0.0011634,0.00117834,868551.1916,1015.676992797334
1663182000,2022-09-14 19:00:00,BEPRO/USDT,0.00119229,0.0011955,0.00116441,0.0011724,3684612.6539,4354.896649149214
1663178400,2022-09-14 18:00:00,BEPRO/USDT,0.00118368,0.0011966,0.00117144,0.0011923,1492434.5218,1771.135301457815
1663174800,2022-09-14 17:00:00,BEPRO/USDT,0.00117,0.0011964,0.0011647,0.00118363,1758786.2261,2071.939901301087
1663171200,2022-09-14 16:00:00,BEPRO/USDT,0.0012075,0.0012172,0.00117001,0.0011703,8300925.6633,9856.147079867374
1663167600,2022-09-14 15:00:00,BEPRO/USDT,0.00120499,0.00120817,0.0011953,0.0012075,1041260.4258,1252.185544647367
1663164000,2022-09-14 14:00:00,BEPRO/USDT,0.00119674,0.0012081,0.00119102,0.00120469,1157897.8665,1390.389396844622
