https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FIL,Volume USDT
1663462800,2022-09-18 01:00:00,FIL/USDT,5.856,5.8585,5.8501,5.8501,207.1632,1212.67482013
1663459200,2022-09-18 00:00:00,FIL/USDT,5.9121,5.9155,5.8365,5.8635,5688.21514682,33396.591654831683
1663455600,2022-09-17 23:00:00,FIL/USDT,5.8948,5.9213,5.8771,5.908,4441.40809978,26183.250499660579
1663452000,2022-09-17 22:00:00,FIL/USDT,5.8481,5.8961,5.8392,5.8939,1983.47111862,11641.802844135943
1663448400,2022-09-17 21:00:00,FIL/USDT,5.8607,5.8658,5.8468,5.8518,1716.74530326,10056.703985219805
1663444800,2022-09-17 20:00:00,FIL/USDT,5.8586,5.8648,5.8424,5.8601,3602.37262023,21088.026150584253
1663441200,2022-09-17 19:00:00,FIL/USDT,5.8859,5.8859,5.856,5.8602,3347.43877067,19634.876430782247
1663437600,2022-09-17 18:00:00,FIL/USDT,5.8896,5.9047,5.8774,5.8883,15235.07874105,89789.802442522517
1663434000,2022-09-17 17:00:00,FIL/USDT,5.9106,5.9282,5.8807,5.8951,10934.21663321,64495.574905656616
1663430400,2022-09-17 16:00:00,FIL/USDT,5.88,5.931,5.88,5.9082,6854.14788509,40503.301375973035
1663426800,2022-09-17 15:00:00,FIL/USDT,5.8784,5.8926,5.8586,5.8769,3075.04488779,18066.426032435265
1663423200,2022-09-17 14:00:00,FIL/USDT,5.8495,5.8959,5.8482,5.8854,6067.40463955,35679.670006475013
1663419600,2022-09-17 13:00:00,FIL/USDT,5.8368,5.8542,5.8256,5.8511,2208.0538451,12909.953324868946
1663416000,2022-09-17 12:00:00,FIL/USDT,5.8233,5.8371,5.7954,5.8333,6623.02089636,38500.65637952089
1663412400,2022-09-17 11:00:00,FIL/USDT,5.8261,5.8477,5.8195,5.822,1591.69801334,9280.735138749055
1663408800,2022-09-17 10:00:00,FIL/USDT,5.8421,5.8465,5.7946,5.821,4379.14536794,25461.59704467459
1663405200,2022-09-17 09:00:00,FIL/USDT,5.8277,5.8524,5.8277,5.8377,2327.37330294,13593.742035745828
1663401600,2022-09-17 08:00:00,FIL/USDT,5.8289,5.8439,5.8259,5.8303,1652.0310175,9642.430832273405
1663398000,2022-09-17 07:00:00,FIL/USDT,5.8244,5.8305,5.8081,5.8283,3458.36708236,20117.917800721762
1663394400,2022-09-17 06:00:00,FIL/USDT,5.8246,5.8385,5.8044,5.822,1836.72708332,10691.23783441673
1663390800,2022-09-17 05:00:00,FIL/USDT,5.8693,5.8693,5.8056,5.8236,54173.05918952,315826.424501897676
1663387200,2022-09-17 04:00:00,FIL/USDT,5.8677,5.8974,5.8637,5.8749,1760.7475307,10369.938837886504
1663383600,2022-09-17 03:00:00,FIL/USDT,5.876,5.8781,5.8487,5.8638,4688.27028292,27485.181795455847
1663380000,2022-09-17 02:00:00,FIL/USDT,5.9065,5.9174,5.871,5.8714,2404.23008093,14168.111867585273
1663376400,2022-09-17 01:00:00,FIL/USDT,5.8845,5.9144,5.8791,5.9135,3490.53875533,20598.630960581513
1663372800,2022-09-17 00:00:00,FIL/USDT,5.8258,5.9572,5.8135,5.8883,14222.77632452,83686.805256038741
1663369200,2022-09-16 23:00:00,FIL/USDT,5.8333,5.836,5.7982,5.826,3907.15642573,22724.228848825775
1663365600,2022-09-16 22:00:00,FIL/USDT,5.7881,5.8563,5.7862,5.8307,4326.21218382,25183.433046424606
1663362000,2022-09-16 21:00:00,FIL/USDT,5.7919,5.7978,5.7745,5.7911,7181.55502181,41573.30948378196
1663358400,2022-09-16 20:00:00,FIL/USDT,5.7477,5.792,5.746,5.7855,6648.67869558,38413.267917696872
1663354800,2022-09-16 19:00:00,FIL/USDT,5.7271,5.7578,5.726,5.7491,2174.93518609,12484.180590785107
1663351200,2022-09-16 18:00:00,FIL/USDT,5.7249,5.7483,5.6834,5.7236,4814.39666494,27551.401762610671
