https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LIT,Volume USDT
1663462800,2022-09-18 01:00:00,LIT/USDT,0.6821,0.6821,0.6811,0.6812,873.6223,595.39283321
1663459200,2022-09-18 00:00:00,LIT/USDT,0.6893,0.6893,0.6818,0.6818,901.9564,618.7003316
1663455600,2022-09-17 23:00:00,LIT/USDT,0.6828,0.6897,0.6816,0.6897,802.4479,549.39659982
1663452000,2022-09-17 22:00:00,LIT/USDT,0.6843,0.6851,0.6815,0.6816,512.1387,349.68136035
1663448400,2022-09-17 21:00:00,LIT/USDT,0.6789,0.6883,0.6789,0.6851,5991.2583,4083.54530524
1663444800,2022-09-17 20:00:00,LIT/USDT,0.677,0.6799,0.677,0.6789,169.6907,115.20653775
1663441200,2022-09-17 19:00:00,LIT/USDT,0.6748,0.6812,0.674,0.6799,4057.3728,2754.35843172
1663437600,2022-09-17 18:00:00,LIT/USDT,0.6759,0.6759,0.6753,0.6753,482.9272,326.23983596
1663434000,2022-09-17 17:00:00,LIT/USDT,0.6767,0.6788,0.6739,0.6739,3349.3897,2266.17272205
1663430400,2022-09-17 16:00:00,LIT/USDT,0.6728,0.6782,0.6728,0.6776,943.5759,638.64387547
1663426800,2022-09-17 15:00:00,LIT/USDT,0.6758,0.6758,0.6699,0.6722,971.7165,654.58693798
1663423200,2022-09-17 14:00:00,LIT/USDT,0.6674,0.6792,0.6674,0.6771,854.4903,574.13637423
1663419600,2022-09-17 13:00:00,LIT/USDT,0.6625,0.6675,0.6625,0.6661,886.4105,588.76486751
1663416000,2022-09-17 12:00:00,LIT/USDT,0.6611,0.6633,0.6586,0.6624,645.322,426.8581891
1663412400,2022-09-17 11:00:00,LIT/USDT,0.659,0.6609,0.6589,0.6609,668.4185,441.49213812
1663408800,2022-09-17 10:00:00,LIT/USDT,0.6634,0.6636,0.6602,0.6624,672.3897,445.4500303
1663405200,2022-09-17 09:00:00,LIT/USDT,0.6658,0.6681,0.6644,0.6644,1198.1141,798.82689508
1663401600,2022-09-17 08:00:00,LIT/USDT,0.6629,0.6656,0.662,0.6649,1609.9702,1068.76361167
1663398000,2022-09-17 07:00:00,LIT/USDT,0.6615,0.6617,0.6596,0.6596,817.1691,540.19148082
1663394400,2022-09-17 06:00:00,LIT/USDT,0.6586,0.6624,0.6569,0.6612,4134.1269,2717.54870934
1663390800,2022-09-17 05:00:00,LIT/USDT,0.6593,0.6618,0.6587,0.6591,441.2582,291.31263528
1663387200,2022-09-17 04:00:00,LIT/USDT,0.662,0.6626,0.6611,0.6611,316.6412,209.53380083
1663383600,2022-09-17 03:00:00,LIT/USDT,0.6619,0.6619,0.658,0.6593,1566.6227,1034.70596398
1663380000,2022-09-17 02:00:00,LIT/USDT,0.6549,0.662,0.6549,0.662,812.1431,535.87442147
1663376400,2022-09-17 01:00:00,LIT/USDT,0.6517,0.6534,0.6514,0.6517,820.613,534.96694098
1663372800,2022-09-17 00:00:00,LIT/USDT,0.6484,0.6557,0.6484,0.654,693.4819,451.70839484
1663369200,2022-09-16 23:00:00,LIT/USDT,0.6463,0.647,0.6459,0.647,1238.5568,800.59427637
1663365600,2022-09-16 22:00:00,LIT/USDT,0.6468,0.6469,0.6449,0.6469,693.4402,448.01508049
1663362000,2022-09-16 21:00:00,LIT/USDT,0.6454,0.6468,0.6441,0.6468,249.961,161.41508386
1663358400,2022-09-16 20:00:00,LIT/USDT,0.643,0.6452,0.641,0.6448,4426.6022,2853.47308602
1663354800,2022-09-16 19:00:00,LIT/USDT,0.6405,0.6435,0.6401,0.6424,1425.5551,914.7017819
1663351200,2022-09-16 18:00:00,LIT/USDT,0.6359,0.6408,0.6332,0.6408,418.343,267.45853268
1663347600,2022-09-16 17:00:00,LIT/USDT,0.6389,0.6389,0.63,0.6322,1883.8459,1192.228622
1663344000,2022-09-16 16:00:00,LIT/USDT,0.6519,0.6519,0.6358,0.6358,3798.2872,2445.40993019
1663340400,2022-09-16 15:00:00,LIT/USDT,0.6576,0.6605,0.653,0.654,608.2148,399.88229188
1663336800,2022-09-16 14:00:00,LIT/USDT,0.653,0.6629,0.653,0.6567,241.9513,159.72928315
