https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume ZAG
1652227200000,2022-05-11 00:00:00,ZAG/BTC,1.49e-06,1.49e-06,1.49e-06,1.49e-06,2.7100000055e-06,1.81879195
1652140800000,2022-05-10 00:00:00,ZAG/BTC,1.1e-06,1.6e-06,6.4e-07,8e-07,0.055826490328152,69783.11291019
1652054400000,2022-05-09 00:00:00,ZAG/BTC,8.1e-07,1.1e-06,6.4e-07,1.1e-06,0.017732821045313003,16120.74640483
1651968000000,2022-05-08 00:00:00,ZAG/BTC,1.03e-06,1.18e-06,8.2e-07,8.5e-07,0.00464935722176,5469.8320256
1651881600000,2022-05-07 00:00:00,ZAG/BTC,1.03e-06,1.03e-06,1.03e-06,1.03e-06,1.03e-06,1
1651795200000,2022-05-06 00:00:00,ZAG/BTC,1.03e-06,1.03e-06,1.03e-06,1.03e-06,0.00025149429662060005,244.16922002
1651708800000,2022-05-05 00:00:00,ZAG/BTC,1.3e-06,1.3e-06,1.3e-06,1.3e-06,0.002258384622702,1737.21894054
1651622400000,2022-05-04 00:00:00,ZAG/BTC,1.3e-06,1.5e-06,1.3e-06,1.3e-06,0.001122105095319,863.15776563
1651536000000,2022-05-03 00:00:00,ZAG/BTC,1.94e-06,1.94e-06,8.1e-07,1.3e-06,0.009430617755572,7254.32135044
1651449600000,2022-05-02 00:00:00,ZAG/BTC,1.9e-06,1.94e-06,1.6e-06,1.94e-06,0.0010651586547424001,549.05085296
1651363200000,2022-05-01 00:00:00,ZAG/BTC,1.62e-06,1.62e-06,1.6e-06,1.6e-06,0.0003568786128,223.049133
1651276800000,2022-04-30 00:00:00,ZAG/BTC,1.53e-06,1.55e-06,1.53e-06,1.54e-06,0.0002494771048154,161.99812001
1651190400000,2022-04-29 00:00:00,ZAG/BTC,1.95e-06,1.96e-06,1.54e-06,1.95e-06,0.00038812351455149997,199.03769977
1651104000000,2022-04-28 00:00:00,ZAG/BTC,1.53e-06,1.96e-06,1.53e-06,1.96e-06,0.0019457352350323999,992.72205869
1651017600000,2022-04-27 00:00:00,ZAG/BTC,1.96e-06,1.96e-06,1.53e-06,1.96e-06,0.003064365755556,1563.4519161
1650931200000,2022-04-26 00:00:00,ZAG/BTC,1.56e-06,1.56e-06,1.53e-06,1.53e-06,0.0002675738437101,174.88486517
1650672000000,2022-04-23 00:00:00,ZAG/BTC,1.98e-06,1.98e-06,1.52e-06,1.98e-06,0.0021145691468286002,1067.96421557
1650585600000,2022-04-22 00:00:00,ZAG/BTC,1.5e-06,2.18e-06,1.5e-06,1.5e-06,0.000277296483555,184.86432237
1650326400000,2022-04-19 00:00:00,ZAG/BTC,2.23e-06,2.69e-06,1.98e-06,2e-06,0.0029061115043999995,1453.0557522
1650240000000,2022-04-18 00:00:00,ZAG/BTC,2.59e-06,2.82e-06,1.74e-06,2.07e-06,0.0066407452643169,3208.08949967
1650153600000,2022-04-17 00:00:00,ZAG/BTC,1.43e-06,3.41e-06,1.17e-06,2.59e-06,0.0418824659289141,16170.83626599
1650067200000,2022-04-16 00:00:00,ZAG/BTC,1.05e-06,1.44e-06,1.02e-06,1.44e-06,0.0011991012798528,832.70922212
1649980800000,2022-04-15 00:00:00,ZAG/BTC,1.13e-06,1.55e-06,1.05e-06,1.05e-06,0.0009518795066024998,906.55191105
1649894400000,2022-04-14 00:00:00,ZAG/BTC,1.04e-06,1.65e-06,1.03e-06,1.04e-06,0.0012989414478144,1248.98216136
1649808000000,2022-04-13 00:00:00,ZAG/BTC,1.01e-06,1.75e-06,1.01e-06,1.04e-06,0.001103886836572,1061.42965055
1649721600000,2022-04-12 00:00:00,ZAG/BTC,1.92e-06,1.97e-06,1.01e-06,1.6e-06,0.003156011072864,1972.50692054
1649635200000,2022-04-11 00:00:00,ZAG/BTC,3.41e-06,3.92e-06,1.31e-06,1.31e-06,0.0148421842424919,11329.91163549
1649462400000,2022-04-09 00:00:00,ZAG/BTC,3.42e-06,4.29e-06,3.41e-06,3.47e-06,0.0036701377591455003,1057.67658765
1649376000000,2022-04-08 00:00:00,ZAG/BTC,5.92e-06,5.92e-06,3.39e-06,3.42e-06,0.012198647415006,3566.8559693
1649289600000,2022-04-07 00:00:00,ZAG/BTC,5.93e-06,5.93e-06,4.9e-06,4.9e-06,0.002684253313385,547.80679865
1649203200000,2022-04-06 00:00:00,ZAG/BTC,5.88e-06,5.9e-06,4.82e-06,5.9e-06,0.00036779960156800004,62.33891552
1649116800000,2022-04-05 00:00:00,ZAG/BTC,5.88e-06,5.88e-06,4.79e-06,4.79e-06,0.00021952960198189997,45.83081461
