https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume H2O,Volume USDT
1663459200,2022-09-18 00:00:00,H2O/USDT,0.297,0.297,0.2909,0.2909,6.7342,1.97951809
1663455600,2022-09-17 23:00:00,H2O/USDT,0.2909,0.2909,0.2909,0.2909,0,0
1663452000,2022-09-17 22:00:00,H2O/USDT,0.2909,0.2909,0.2909,0.2909,0,0
1663448400,2022-09-17 21:00:00,H2O/USDT,0.2909,0.2909,0.2909,0.2909,0,0
1663444800,2022-09-17 20:00:00,H2O/USDT,0.291,0.291,0.2909,0.2909,80.0331,23.28833879
1663441200,2022-09-17 19:00:00,H2O/USDT,0.29,0.29,0.29,0.29,55.9337,16.220773
1663437600,2022-09-17 18:00:00,H2O/USDT,0.2909,0.2911,0.2909,0.2911,1328.4769,386.66853437
1663434000,2022-09-17 17:00:00,H2O/USDT,0.2894,0.2909,0.2894,0.2909,1974.2528,574.04076423
1663430400,2022-09-17 16:00:00,H2O/USDT,0.2863,0.2894,0.2863,0.2894,215571.1356,61722.63798487
1663426800,2022-09-17 15:00:00,H2O/USDT,0.2837,0.2837,0.2837,0.2837,0,0
1663423200,2022-09-17 14:00:00,H2O/USDT,0.2837,0.2837,0.2837,0.2837,31.0988,8.82272956
1663419600,2022-09-17 13:00:00,H2O/USDT,0.2834,0.2834,0.2834,0.2834,0,0
1663416000,2022-09-17 12:00:00,H2O/USDT,0.284,0.284,0.2834,0.2834,203.6613,57.77337528
1663412400,2022-09-17 11:00:00,H2O/USDT,0.2894,0.2894,0.2894,0.2894,0,0
1663408800,2022-09-17 10:00:00,H2O/USDT,0.2894,0.2894,0.2894,0.2894,31.0988,8.99999272
1663405200,2022-09-17 09:00:00,H2O/USDT,0.2887,0.2894,0.2887,0.2894,203.6613,58.90847537
1663401600,2022-09-17 08:00:00,H2O/USDT,0.284,0.284,0.284,0.284,0,0
1663398000,2022-09-17 07:00:00,H2O/USDT,0.284,0.284,0.284,0.284,0,0
1663394400,2022-09-17 06:00:00,H2O/USDT,0.284,0.284,0.284,0.284,0,0
1663390800,2022-09-17 05:00:00,H2O/USDT,0.284,0.284,0.284,0.284,0,0
1663387200,2022-09-17 04:00:00,H2O/USDT,0.284,0.284,0.284,0.284,0,0
1663383600,2022-09-17 03:00:00,H2O/USDT,0.289,0.2894,0.284,0.284,845.766,244.43273218
1663380000,2022-09-17 02:00:00,H2O/USDT,0.289,0.289,0.289,0.289,0,0
1663376400,2022-09-17 01:00:00,H2O/USDT,0.289,0.289,0.289,0.289,0,0
1663372800,2022-09-17 00:00:00,H2O/USDT,0.289,0.289,0.289,0.289,1.7061,0.4930629
1663369200,2022-09-16 23:00:00,H2O/USDT,0.284,0.284,0.284,0.284,0,0
1663365600,2022-09-16 22:00:00,H2O/USDT,0.284,0.284,0.284,0.284,1.0198,0.2896232
1663362000,2022-09-16 21:00:00,H2O/USDT,0.289,0.289,0.289,0.289,0,0
1663358400,2022-09-16 20:00:00,H2O/USDT,0.289,0.289,0.289,0.289,0,0
1663354800,2022-09-16 19:00:00,H2O/USDT,0.289,0.289,0.289,0.289,0,0
1663351200,2022-09-16 18:00:00,H2O/USDT,0.289,0.289,0.289,0.289,0,0
1663347600,2022-09-16 17:00:00,H2O/USDT,0.289,0.289,0.289,0.289,3.4602,0.9999978
1663344000,2022-09-16 16:00:00,H2O/USDT,0.2856,0.2856,0.2856,0.2856,153102.9,43726.18824
1663340400,2022-09-16 15:00:00,H2O/USDT,0.289,0.289,0.289,0.289,0,0
1663336800,2022-09-16 14:00:00,H2O/USDT,0.289,0.289,0.289,0.289,0,0
1663333200,2022-09-16 13:00:00,H2O/USDT,0.289,0.289,0.289,0.289,0.346,0.099994
1663329600,2022-09-16 12:00:00,H2O/USDT,0.289,0.289,0.289,0.289,0,0
1663326000,2022-09-16 11:00:00,H2O/USDT,0.2886,0.289,0.2886,0.289,155.8047,44.9999745
1663322400,2022-09-16 10:00:00,H2O/USDT,0.2834,0.2834,0.2825,0.2826,196.5348,55.58550219
1663318800,2022-09-16 09:00:00,H2O/USDT,0.2894,0.2894,0.2894,0.2894,0,0
1663315200,2022-09-16 08:00:00,H2O/USDT,0.2894,0.2894,0.2894,0.2894,0,0
1663311600,2022-09-16 07:00:00,H2O/USDT,0.2894,0.2894,0.2894,0.2894,0,0
1663308000,2022-09-16 06:00:00,H2O/USDT,0.2894,0.2894,0.2894,0.2894,0,0
1663304400,2022-09-16 05:00:00,H2O/USDT,0.2894,0.2894,0.2894,0.2894,17.2295,4.9862173
1663300800,2022-09-16 04:00:00,H2O/USDT,0.2899,0.2899,0.2834,0.2834,19.6,5.66663175
1663297200,2022-09-16 03:00:00,H2O/USDT,0.2826,0.2826,0.2826,0.2826,0,0
1663293600,2022-09-16 02:00:00,H2O/USDT,0.2826,0.2826,0.2826,0.2826,0,0
1663290000,2022-09-16 01:00:00,H2O/USDT,0.2826,0.2826,0.2826,0.2826,0,0
1663286400,2022-09-16 00:00:00,H2O/USDT,0.2826,0.2826,0.2826,0.2826,0,0
1663282800,2022-09-15 23:00:00,H2O/USDT,0.2826,0.2826,0.2826,0.2826,79.9726,22.60025676
1663279200,2022-09-15 22:00:00,H2O/USDT,0.2826,0.2826,0.2826,0.2826,0,0
1663275600,2022-09-15 21:00:00,H2O/USDT,0.2835,0.2835,0.2826,0.2826,180.1203,50.96384907
1663272000,2022-09-15 20:00:00,H2O/USDT,0.2835,0.2835,0.2835,0.2835,0,0
1663268400,2022-09-15 19:00:00,H2O/USDT,0.2835,0.2835,0.2835,0.2835,0,0
