https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TRX,Volume BTC
1663545600000.0,2022-09-19 00:00:00,TRX/BTC,3.14e-06,3.14e-06,3.12e-06,3.12e-06,1111.076923076923,0.00346656
1663459200000.0,2022-09-18 00:00:00,TRX/BTC,3.09e-06,3.16e-06,3.09e-06,3.14e-06,435652.0923566879,1.36794757
1663372800000.0,2022-09-17 00:00:00,TRX/BTC,3.1e-06,3.11e-06,3.08e-06,3.09e-06,210868.21035598704,0.65158277
1663286400000.0,2022-09-16 00:00:00,TRX/BTC,3.12e-06,3.14e-06,3.09e-06,3.1e-06,993793.4838709678,3.0807598
1663200000000.0,2022-09-15 00:00:00,TRX/BTC,3.04e-06,3.12e-06,3.02e-06,3.12e-06,493214.766025641,1.53883007
1663113600000.0,2022-09-14 00:00:00,TRX/BTC,3.01e-06,3.1e-06,2.99e-06,3.04e-06,774126.2532894737,2.35334381
1663027200000.0,2022-09-13 00:00:00,TRX/BTC,2.85e-06,3.06e-06,2.8e-06,3.01e-06,2353090.2591362125,7.08280168
1662940800000.0,2022-09-12 00:00:00,TRX/BTC,2.94e-06,2.96e-06,2.83e-06,2.85e-06,216474.3614035088,0.61695193
1662854400000.0,2022-09-11 00:00:00,TRX/BTC,2.99e-06,3.01e-06,2.94e-06,2.94e-06,1820729.5136054421,5.35294477
1662768000000.0,2022-09-10 00:00:00,TRX/BTC,2.98e-06,3.03e-06,2.94e-06,2.99e-06,1337761.1471571906,3.99990583
1662681600000.0,2022-09-09 00:00:00,TRX/BTC,3.18e-06,3.18e-06,2.95e-06,2.98e-06,2142280.0402684566,6.38399452
1662595200000.0,2022-09-08 00:00:00,TRX/BTC,3.22e-06,3.22e-06,3.12e-06,3.18e-06,390639.4874213837,1.24223357
1662508800000.0,2022-09-07 00:00:00,TRX/BTC,3.23e-06,3.26e-06,3.18e-06,3.22e-06,256759.12422360247,0.82676438
1662422400000.0,2022-09-06 00:00:00,TRX/BTC,3.19e-06,3.24e-06,3.15e-06,3.23e-06,2236149.6222910215,7.22276328
1662336000000.0,2022-09-05 00:00:00,TRX/BTC,3.18e-06,3.19e-06,3.15e-06,3.19e-06,222622.58307210033,0.71016604
1662249600000.0,2022-09-04 00:00:00,TRX/BTC,3.18e-06,3.21e-06,3.17e-06,3.18e-06,182821.4150943396,0.5813721
1662163200000.0,2022-09-03 00:00:00,TRX/BTC,3.14e-06,3.2e-06,3.13e-06,3.18e-06,1206348.0943396227,3.83618694
1662076800000.0,2022-09-02 00:00:00,TRX/BTC,3.15e-06,3.17e-06,3.11e-06,3.14e-06,302470.36305732484,0.94975694
1661990400000.0,2022-09-01 00:00:00,TRX/BTC,3.16e-06,3.17e-06,3.13e-06,3.15e-06,91314.79365079365,0.2876416
1661904000000.0,2022-08-31 00:00:00,TRX/BTC,3.26e-06,3.27e-06,3.14e-06,3.16e-06,390051.03797468357,1.23256128
1661817600000.0,2022-08-30 00:00:00,TRX/BTC,3.13e-06,3.36e-06,3.08e-06,3.26e-06,1711438.1963190185,5.57928852
1661731200000.0,2022-08-29 00:00:00,TRX/BTC,3.14e-06,3.14e-06,3.09e-06,3.13e-06,420133.01277955266,1.31501633
1661644800000.0,2022-08-28 00:00:00,TRX/BTC,3.15e-06,3.15e-06,3.11e-06,3.14e-06,240059.82165605095,0.75378784
1661558400000.0,2022-08-27 00:00:00,TRX/BTC,3.04e-06,3.15e-06,3.04e-06,3.15e-06,693958.1269841271,2.1859681
1661472000000.0,2022-08-26 00:00:00,TRX/BTC,3.04e-06,3.07e-06,2.99e-06,3.04e-06,1368579.105263158,4.16048048
1661385600000.0,2022-08-25 00:00:00,TRX/BTC,3.03e-06,3.04e-06,3e-06,3.04e-06,290824.55263157893,0.88410664
1661299200000.0,2022-08-24 00:00:00,TRX/BTC,3.08e-06,3.09e-06,2.99e-06,3.03e-06,1621481.6699669969,4.91308946
1661212800000.0,2022-08-23 00:00:00,TRX/BTC,3.07e-06,3.13e-06,3.04e-06,3.08e-06,821608.698051948,2.53055479
1661126400000.0,2022-08-22 00:00:00,TRX/BTC,3.07e-06,3.11e-06,3.05e-06,3.07e-06,467492.8697068404,1.43520311
1661040000000.0,2022-08-21 00:00:00,TRX/BTC,3.11e-06,3.12e-06,3.04e-06,3.07e-06,319785.9413680782,0.98174284
