https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ENQ,Volume USDT
1663459200,2022-09-18 00:00:00,ENQ/USDT,0.01499,0.01503,0.01498,0.015,74666.6385,1121.033774131
1663372800,2022-09-17 00:00:00,ENQ/USDT,0.01445,0.01584,0.01383,0.01498,8239290.1552,121894.391813621
1663286400,2022-09-16 00:00:00,ENQ/USDT,0.01425,0.0163,0.01356,0.01443,10092142.4724,150371.639205157
1663200000,2022-09-15 00:00:00,ENQ/USDT,0.01564,0.01618,0.01302,0.01424,12888451.3746,186824.54244195
1663113600,2022-09-14 00:00:00,ENQ/USDT,0.017,0.0184,0.01546,0.01564,18079144.2766,301960.475804651
1663027200,2022-09-13 00:00:00,ENQ/USDT,0.01597,0.0185,0.0141,0.017,28507849.24761037,468930.44949128229
1662940800,2022-09-12 00:00:00,ENQ/USDT,0.02044,0.02278,0.0159,0.01597,37821809.10467761,722042.043790092181
1662854400,2022-09-11 00:00:00,ENQ/USDT,0.01316,0.025,0.0123,0.02044,113298554.19501729,2123489.2141421526845
1662768000,2022-09-10 00:00:00,ENQ/USDT,0.0102,0.014,0.0097,0.01329,27115717.66030924,312555.1709269273239
1662681600,2022-09-09 00:00:00,ENQ/USDT,0.00891,0.01058,0.0089,0.01025,21196843.6395,210171.642785743
1662595200,2022-09-08 00:00:00,ENQ/USDT,0.00903,0.0095,0.0085,0.00893,15679200.2048,141422.468453742
1662508800,2022-09-07 00:00:00,ENQ/USDT,0.00868,0.00929,0.0079,0.00903,11809793.3277,99989.977268127
1662422400,2022-09-06 00:00:00,ENQ/USDT,0.0093,0.0099,0.0084,0.00869,20634894.5127,189469.824869918
1662336000,2022-09-05 00:00:00,ENQ/USDT,0.00878,0.00959,0.00878,0.0093,7647574.0387,69754.003540417
1662249600,2022-09-04 00:00:00,ENQ/USDT,0.00896,0.00948,0.00858,0.00879,7898821.0379,71208.42387216
1662163200,2022-09-03 00:00:00,ENQ/USDT,0.0093,0.0097,0.0087,0.00895,7122584.0446,65241.769723785
1662076800,2022-09-02 00:00:00,ENQ/USDT,0.01031,0.0108,0.009,0.00936,15259709.4522,149344.450792949
1661990400,2022-09-01 00:00:00,ENQ/USDT,0.00899,0.0107,0.00791,0.01039,14081710.17608265,126445.19375820909
1661904000,2022-08-31 00:00:00,ENQ/USDT,0.01025,0.0108,0.0087,0.009,13500833.10036176,132027.9615790672817
1661817600,2022-08-30 00:00:00,ENQ/USDT,0.0089,0.01124,0.00873,0.01026,32546299.69115035,331924.1199125561779
1661731200,2022-08-29 00:00:00,ENQ/USDT,0.0084,0.00985,0.00759,0.0089,29692666.27387939,260426.1197743661559
1661644800,2022-08-28 00:00:00,ENQ/USDT,0.00695,0.0092,0.0067,0.00838,48175377.5828249,390624.4423577998978
1661558400,2022-08-27 00:00:00,ENQ/USDT,0.00616,0.0098,0.0056,0.007,67986616.19285463,528430.3680335681797
1661472000,2022-08-26 00:00:00,ENQ/USDT,0.00644,0.0069,0.0061,0.00616,11946651.61839534,77535.9985039670649
1661385600,2022-08-25 00:00:00,ENQ/USDT,0.00647,0.00719,0.00631,0.00646,10868816.38014105,72574.1972312981131
1661299200,2022-08-24 00:00:00,ENQ/USDT,0.00724,0.0074,0.00635,0.00647,13314574.06617546,92088.4418634494761
1661212800,2022-08-23 00:00:00,ENQ/USDT,0.00713,0.0077,0.0063,0.00723,15885022.02915787,109997.8719164905851
1661126400,2022-08-22 00:00:00,ENQ/USDT,0.00832,0.00835,0.00642,0.00714,16970941.51069115,123378.4554729673937
1661040000,2022-08-21 00:00:00,ENQ/USDT,0.008,0.0085,0.00741,0.00833,18747637.42786915,149116.3230042708907
1660953600,2022-08-20 00:00:00,ENQ/USDT,0.00659,0.00887,0.0065,0.008,41641032.92898453,335048.0460485926907
1660867200,2022-08-19 00:00:00,ENQ/USDT,0.00795,0.00809,0.0062,0.00659,23362543.2467814,157895.5799401265433
1660780800,2022-08-18 00:00:00,ENQ/USDT,0.00855,0.00912,0.0075,0.0079,21412657.17724882,175106.1322423121359
1660694400,2022-08-17 00:00:00,ENQ/USDT,0.0091,0.011,0.00828,0.00856,67874653.14941626,635476.1243576113067
1660608000,2022-08-16 00:00:00,ENQ/USDT,0.00776,0.00999,0.00615,0.0091,57918605.33646665,440503.6474130162394
1660521600,2022-08-15 00:00:00,ENQ/USDT,0.00934,0.00946,0.00766,0.00776,49901799.74698902,429661.7728690519569
1660435200,2022-08-14 00:00:00,ENQ/USDT,0.01191,0.01448,0.0087,0.00934,144021241.96015431,1618818.806055422033
1660348800,2022-08-13 00:00:00,ENQ/USDT,0.00517,0.0144,0.0049,0.0119,191735842.06259362,1910077.520674874057
