https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WAVES,Volume BTC
1663462800,2022-09-18 01:00:00,WAVES/BTC,0.00021677,0.0002168,0.00021651,0.0002168,399.2685,0.086445957445
1663459200,2022-09-18 00:00:00,WAVES/BTC,0.00021725,0.00021821,0.0002168,0.00021702,26.0838,0.005673357543
1663455600,2022-09-17 23:00:00,WAVES/BTC,0.00021686,0.00021749,0.00021677,0.00021747,14.1339,0.00306510733
1663452000,2022-09-17 22:00:00,WAVES/BTC,0.00021756,0.00021756,0.00021691,0.00021691,0.5866,0.000127430125
1663448400,2022-09-17 21:00:00,WAVES/BTC,0.00021654,0.00021821,0.00021654,0.00021788,48.6728,0.010595847198
1663444800,2022-09-17 20:00:00,WAVES/BTC,0.00021648,0.00021704,0.00021595,0.00021704,0.3027,0.000065520652
1663441200,2022-09-17 19:00:00,WAVES/BTC,0.0002165,0.00021665,0.00021607,0.00021664,11.0853,0.002395722861
1663437600,2022-09-17 18:00:00,WAVES/BTC,0.00021653,0.00021687,0.00021604,0.00021616,0.4542,0.000098306642
1663434000,2022-09-17 17:00:00,WAVES/BTC,0.00021602,0.00021717,0.00021602,0.00021653,1.1468,0.00024831191
1663430400,2022-09-17 16:00:00,WAVES/BTC,0.00021714,0.00021753,0.00021581,0.00021683,222.3387,0.048098226593
1663426800,2022-09-17 15:00:00,WAVES/BTC,0.00021729,0.00021751,0.00021644,0.00021662,13.1321,0.002852932945
1663423200,2022-09-17 14:00:00,WAVES/BTC,0.00021621,0.00021727,0.00021621,0.00021727,14.0852,0.00305337233
1663419600,2022-09-17 13:00:00,WAVES/BTC,0.0002163,0.00021648,0.00021605,0.00021605,23.5295,0.005093373936
1663416000,2022-09-17 12:00:00,WAVES/BTC,0.00021617,0.00021617,0.00021553,0.00021609,7.9831,0.001724357595
1663412400,2022-09-17 11:00:00,WAVES/BTC,0.00021562,0.00021588,0.00021513,0.00021523,150.5794,0.032399442568
1663408800,2022-09-17 10:00:00,WAVES/BTC,0.00021575,0.00021583,0.000215,0.00021557,144.1022,0.031058612266
1663405200,2022-09-17 09:00:00,WAVES/BTC,0.00021632,0.00021646,0.00021561,0.00021575,23.3129,0.005030440784
1663401600,2022-09-17 08:00:00,WAVES/BTC,0.00021666,0.00021666,0.00021604,0.00021607,14.8178,0.003201301293
1663398000,2022-09-17 07:00:00,WAVES/BTC,0.0002171,0.00021729,0.00021546,0.00021605,464.5904,0.100658797202
