https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BFC,Volume USDT
1663459200,2022-09-18 00:00:00,BFC/USDT,0.06626,0.06653,0.06576,0.06631,39864.0112,2637.892666579
1663372800,2022-09-17 00:00:00,BFC/USDT,0.06687,0.06937,0.06432,0.06636,963446.715,64049.946550563
1663286400,2022-09-16 00:00:00,BFC/USDT,0.06443,0.07126,0.0604,0.06694,1155688.7018,76154.113447121
1663200000,2022-09-15 00:00:00,BFC/USDT,0.07034,0.07386,0.063,0.06503,966383.7771,65581.309752629
1663113600,2022-09-14 00:00:00,BFC/USDT,0.06752,0.0706,0.06731,0.07031,1010900.5837,68941.687138532
1663027200,2022-09-13 00:00:00,BFC/USDT,0.07228,0.07253,0.06723,0.06758,1002645.517,70381.85389329
1662940800,2022-09-12 00:00:00,BFC/USDT,0.0757,0.07599,0.07201,0.07237,995316.199,74175.175836275
1662854400,2022-09-11 00:00:00,BFC/USDT,0.07561,0.07609,0.07549,0.07587,956237.1883,72476.076261666
1662768000,2022-09-10 00:00:00,BFC/USDT,0.07475,0.076,0.07388,0.0757,973493.2948,72612.025000058
1662681600,2022-09-09 00:00:00,BFC/USDT,0.07055,0.07485,0.07009,0.0747,959570.6653,70808.918360024
1662595200,2022-09-08 00:00:00,BFC/USDT,0.07169,0.07259,0.06951,0.07046,961066.042,68544.253927462
1662508800,2022-09-07 00:00:00,BFC/USDT,0.06822,0.0726,0.065,0.0716,1222854.6162,82719.670516026
1662422400,2022-09-06 00:00:00,BFC/USDT,0.07228,0.0741,0.06597,0.06815,1065801.2065,76321.774600796
1662336000,2022-09-05 00:00:00,BFC/USDT,0.07324,0.0741,0.07122,0.07236,944892.1905,68790.325387059
1662249600,2022-09-04 00:00:00,BFC/USDT,0.07143,0.0741,0.07101,0.07328,945304.4411,68494.682704027
1662163200,2022-09-03 00:00:00,BFC/USDT,0.07172,0.0722,0.07101,0.07168,945791.7203,67619.281295675
1662076800,2022-09-02 00:00:00,BFC/USDT,0.07464,0.07485,0.0711,0.07183,1007439.3424,73971.760328366
1661990400,2022-09-01 00:00:00,BFC/USDT,0.07273,0.07486,0.06923,0.07451,986770.1715,71527.660082193
1661904000,2022-08-31 00:00:00,BFC/USDT,0.07126,0.0759,0.07101,0.07267,1030613.8362,75405.432208386
1661817600,2022-08-30 00:00:00,BFC/USDT,0.07164,0.07254,0.06946,0.07147,1604156.2819,114224.709233796
1661731200,2022-08-29 00:00:00,BFC/USDT,0.06918,0.07515,0.06721,0.07162,3823747.7657,267719.915760815
1661644800,2022-08-28 00:00:00,BFC/USDT,0.06736,0.07101,0.0672,0.06908,3750072.4361,259197.716244102
1661558400,2022-08-27 00:00:00,BFC/USDT,0.07006,0.07078,0.06678,0.06742,3832839.5215,265721.249849039
1661472000,2022-08-26 00:00:00,BFC/USDT,0.0764,0.07704,0.07,0.0704,3858328.7064,284040.36212056
1661385600,2022-08-25 00:00:00,BFC/USDT,0.07449,0.07901,0.07339,0.07661,3672758.5002,276166.503017707
1661299200,2022-08-24 00:00:00,BFC/USDT,0.07705,0.0774,0.07265,0.07452,3750507.7483,279551.382810367
1661212800,2022-08-23 00:00:00,BFC/USDT,0.07317,0.07718,0.07207,0.07669,3758881.6707,279698.202140239
1661126400,2022-08-22 00:00:00,BFC/USDT,0.07522,0.07587,0.07,0.07327,4198046.5991,306883.216913174
1661040000,2022-08-21 00:00:00,BFC/USDT,0.07728,0.08141,0.07411,0.07543,3573021.7603,275065.380423415
1660953600,2022-08-20 00:00:00,BFC/USDT,0.0747,0.08099,0.07384,0.07697,3888856.414,297364.504486848
1660867200,2022-08-19 00:00:00,BFC/USDT,0.08823,0.08928,0.07319,0.07482,4083487.4437,325382.662591287
1660780800,2022-08-18 00:00:00,BFC/USDT,0.08732,0.09028,0.08645,0.08815,3744232.9622,329438.145124664
1660694400,2022-08-17 00:00:00,BFC/USDT,0.09167,0.09253,0.08601,0.08742,3581915.2102,312937.638793661
1660608000,2022-08-16 00:00:00,BFC/USDT,0.08861,0.09253,0.08687,0.09167,1076626.5647,95265.851216878
1660521600,2022-08-15 00:00:00,BFC/USDT,0.08802,0.096,0.08745,0.08855,5744605.0199,522890.992858805
1660435200,2022-08-14 00:00:00,BFC/USDT,0.0907,0.094,0.08687,0.08803,3648927.1478,330680.249113417
1660348800,2022-08-13 00:00:00,BFC/USDT,0.09146,0.094,0.08743,0.09084,3866535.4039,352097.913287794
1660262400,2022-08-12 00:00:00,BFC/USDT,0.08714,0.09196,0.08604,0.09146,3677087.4939,324849.841624597
1660176000,2022-08-11 00:00:00,BFC/USDT,0.08763,0.092,0.087,0.0872,3807666.8574,338152.06859273
1660089600,2022-08-10 00:00:00,BFC/USDT,0.08601,0.088,0.085,0.08792,3462847.2142,297765.660614759
1660003200,2022-08-09 00:00:00,BFC/USDT,0.08524,0.094,0.08435,0.08602,4035453.475,355410.665500687
1659916800,2022-08-08 00:00:00,BFC/USDT,0.08424,0.08845,0.08369,0.08502,3330923.1609,285503.639602962
1659830400,2022-08-07 00:00:00,BFC/USDT,0.08575,0.08647,0.083,0.08398,3245678.8955,274491.429008044
1659744000,2022-08-06 00:00:00,BFC/USDT,0.0861,0.08846,0.08551,0.0856,3664237.412,316961.652582562
1659657600,2022-08-05 00:00:00,BFC/USDT,0.08575,0.08941,0.085,0.08616,3679570.5253,318063.440487175
1659571200,2022-08-04 00:00:00,BFC/USDT,0.08774,0.09399,0.081,0.08567,4286620.1519,373429.841561066
1659484800,2022-08-03 00:00:00,BFC/USDT,0.08699,0.094,0.08006,0.08768,4301530.3776,372550.382140124
1659398400,2022-08-02 00:00:00,BFC/USDT,0.08476,0.089,0.07901,0.08658,3993726.2548,332903.399058804
1659312000,2022-08-01 00:00:00,BFC/USDT,0.08372,0.086,0.07901,0.08492,3839972.323,320619.634735678
1659225600,2022-07-31 00:00:00,BFC/USDT,0.08146,0.092,0.0794,0.08379,3906207.6489,325799.506802252
1659139200,2022-07-30 00:00:00,BFC/USDT,0.08781,0.08951,0.079,0.08148,4147308.8551,343092.637236947
1659052800,2022-07-29 00:00:00,BFC/USDT,0.08418,0.09806,0.08311,0.0879,5714513.0023,495433.256275503
1658966400,2022-07-28 00:00:00,BFC/USDT,0.07721,0.1172,0.07276,0.08453,6591140.7948,583560.578791127
1658880000,2022-07-27 00:00:00,BFC/USDT,0.06604,0.07754,0.06148,0.07731,4425992.959,301039.244488338
1658793600,2022-07-26 00:00:00,BFC/USDT,0.0684,0.076,0.064,0.06615,4475485.5235,300008.562384831
1658707200,2022-07-25 00:00:00,BFC/USDT,0.06948,0.0758,0.068,0.06838,4126649.7917,291296.757908313
1658620800,2022-07-24 00:00:00,BFC/USDT,0.069,0.077,0.067,0.06936,6408950.6767,454827.051157472
1658534400,2022-07-23 00:00:00,BFC/USDT,0.07246,0.074,0.067,0.06906,4111331.6156,284234.04548724
1658448000,2022-07-22 00:00:00,BFC/USDT,0.06459,0.08763,0.062,0.07254,5959968.06288486,443000.2600003415124
1658361600,2022-07-21 00:00:00,BFC/USDT,0.06158,0.07107,0.05984,0.06451,4110170.7469,259247.763848183
1658275200,2022-07-20 00:00:00,BFC/USDT,0.06443,0.06575,0.06144,0.06144,3166853.117,203397.705379119
