https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LSS,Volume USDT
1663462800,2022-09-18 01:00:00,LSS/USDT,0.16415,0.16479,0.16382,0.16479,227.8653,37.372765986
1663459200,2022-09-18 00:00:00,LSS/USDT,0.16431,0.16516,0.16415,0.16507,172.5957,28.380667253
1663455600,2022-09-17 23:00:00,LSS/USDT,0.16332,0.16533,0.1624,0.16519,30209.7795,4944.664995152
1663452000,2022-09-17 22:00:00,LSS/USDT,0.16282,0.1643,0.162,0.16332,4308.7476,704.67828779
1663448400,2022-09-17 21:00:00,LSS/USDT,0.16282,0.16364,0.162,0.162,10170.9116,1654.6691772
1663444800,2022-09-17 20:00:00,LSS/USDT,0.16266,0.16299,0.162,0.16299,947.0328,153.777765168
1663441200,2022-09-17 19:00:00,LSS/USDT,0.16266,0.16547,0.16,0.16182,57638.6558,9346.153498661
1663437600,2022-09-17 18:00:00,LSS/USDT,0.16266,0.16383,0.16101,0.16266,17374.36,2814.908905015
1663434000,2022-09-17 17:00:00,LSS/USDT,0.16266,0.16497,0.16173,0.16173,12164.1961,1982.491366839
1663430400,2022-09-17 16:00:00,LSS/USDT,0.16482,0.16879,0.16101,0.16266,66103.993,10872.161187779
1663426800,2022-09-17 15:00:00,LSS/USDT,0.16316,0.16599,0.16316,0.16482,17375.0435,2866.655099958
1663423200,2022-09-17 14:00:00,LSS/USDT,0.1653,0.16545,0.16316,0.16316,5999.2376,984.05261252
1663419600,2022-09-17 13:00:00,LSS/USDT,0.16481,0.16481,0.16431,0.16435,1062.98,175.017066898
1663416000,2022-09-17 12:00:00,LSS/USDT,0.1625,0.1658,0.1624,0.16546,15842.46,2606.940129374
1663412400,2022-09-17 11:00:00,LSS/USDT,0.1625,0.16381,0.1624,0.1625,921.0653,150.0144231
1663408800,2022-09-17 10:00:00,LSS/USDT,0.16464,0.16464,0.16251,0.16348,10231.6117,1675.120747077
1663405200,2022-09-17 09:00:00,LSS/USDT,0.16531,0.16613,0.16402,0.16563,2823.4945,465.853192319
1663401600,2022-09-17 08:00:00,LSS/USDT,0.16465,0.16624,0.16465,0.16531,1619.1442,268.743212543
1663398000,2022-09-17 07:00:00,LSS/USDT,0.16423,0.16549,0.1641,0.16465,1524.8197,251.504376828
1663394400,2022-09-17 06:00:00,LSS/USDT,0.16561,0.16563,0.1639,0.16545,3824.0058,630.364493625
1663390800,2022-09-17 05:00:00,LSS/USDT,0.16533,0.16562,0.16459,0.16562,1226.154,202.330732481
1663387200,2022-09-17 04:00:00,LSS/USDT,0.16598,0.16664,0.16548,0.16548,433.5867,71.872901713
1663383600,2022-09-17 03:00:00,LSS/USDT,0.16567,0.16689,0.16402,0.16689,7738.3469,1281.503925126
1663380000,2022-09-17 02:00:00,LSS/USDT,0.16681,0.16813,0.16566,0.16566,6149.8006,1028.729256096
1663376400,2022-09-17 01:00:00,LSS/USDT,0.16512,0.16741,0.16398,0.16615,18282.3572,3042.765632031
1663372800,2022-09-17 00:00:00,LSS/USDT,0.16464,0.16596,0.16431,0.16595,12134.5549,2011.37158889
1663369200,2022-09-16 23:00:00,LSS/USDT,0.16382,0.16496,0.16365,0.16365,770.2151,126.303319002
1663365600,2022-09-16 22:00:00,LSS/USDT,0.16249,0.1648,0.16112,0.1648,17664.0957,2876.710427048
1663362000,2022-09-16 21:00:00,LSS/USDT,0.16017,0.16304,0.16017,0.16249,4135.6465,668.516968895
1663358400,2022-09-16 20:00:00,LSS/USDT,0.161,0.16184,0.16016,0.16103,6083.1656,977.432273005
1663354800,2022-09-16 19:00:00,LSS/USDT,0.16218,0.16218,0.16011,0.16119,13387.2684,2153.498902873
1663351200,2022-09-16 18:00:00,LSS/USDT,0.1603,0.16384,0.16011,0.16219,14009.7609,2272.400635388
1663347600,2022-09-16 17:00:00,LSS/USDT,0.16318,0.16409,0.16011,0.16011,19427.8718,3127.749053136
1663344000,2022-09-16 16:00:00,LSS/USDT,0.16481,0.16549,0.16055,0.164,29537.7639,4805.532389217
1663340400,2022-09-16 15:00:00,LSS/USDT,0.16481,0.16579,0.16384,0.16481,7091.496,1166.752462238
1663336800,2022-09-16 14:00:00,LSS/USDT,0.16459,0.16681,0.16431,0.16481,10972.2047,1814.94625086
1663333200,2022-09-16 13:00:00,LSS/USDT,0.16439,0.16619,0.16402,0.16459,3810.378,629.546439386
1663329600,2022-09-16 12:00:00,LSS/USDT,0.16599,0.166,0.16398,0.16439,12689.7581,2094.71623174
1663326000,2022-09-16 11:00:00,LSS/USDT,0.16349,0.166,0.16332,0.16514,12463.1363,2065.226784118
1663322400,2022-09-16 10:00:00,LSS/USDT,0.16185,0.16442,0.16102,0.16349,6651.3988,1085.323398229
1663318800,2022-09-16 09:00:00,LSS/USDT,0.16223,0.1638,0.16079,0.16282,12530.1183,2031.514544883
1663315200,2022-09-16 08:00:00,LSS/USDT,0.16448,0.16549,0.16079,0.16136,35549.7146,5770.430524641
1663311600,2022-09-16 07:00:00,LSS/USDT,0.16581,0.16663,0.16384,0.16531,5887.3329,968.948513237
1663308000,2022-09-16 06:00:00,LSS/USDT,0.16278,0.16696,0.16132,0.16581,56551.3758,9326.296574124
1663304400,2022-09-16 05:00:00,LSS/USDT,0.16283,0.1641,0.16278,0.16364,1360.9298,222.321906341
1663300800,2022-09-16 04:00:00,LSS/USDT,0.1639,0.1641,0.16283,0.16283,6472.6419,1059.942451204
1663297200,2022-09-16 03:00:00,LSS/USDT,0.16498,0.16498,0.16393,0.16393,1103.1364,181.349085143
1663293600,2022-09-16 02:00:00,LSS/USDT,0.1629,0.16598,0.16278,0.16498,7827.5319,1289.444527126
1663290000,2022-09-16 01:00:00,LSS/USDT,0.16448,0.16512,0.16291,0.16291,2941.0678,481.319704243
1663286400,2022-09-16 00:00:00,LSS/USDT,0.1643,0.16591,0.16278,0.16448,22034.6943,3619.320202016
1663282800,2022-09-15 23:00:00,LSS/USDT,0.16614,0.16706,0.16346,0.16346,10363.5398,1705.638483119
1663279200,2022-09-15 22:00:00,LSS/USDT,0.16546,0.16714,0.16514,0.16714,8242.9458,1368.196128326
1663275600,2022-09-15 21:00:00,LSS/USDT,0.16536,0.16816,0.16327,0.16481,41522.9289,6859.551513312
1663272000,2022-09-15 20:00:00,LSS/USDT,0.16782,0.16816,0.16531,0.16536,20103.6727,3349.994087754
1663268400,2022-09-15 19:00:00,LSS/USDT,0.16619,0.16797,0.16614,0.16782,13267.9242,2224.367914879
1663264800,2022-09-15 18:00:00,LSS/USDT,0.16777,0.16797,0.16619,0.16619,4393.8284,736.049467093
1663261200,2022-09-15 17:00:00,LSS/USDT,0.16389,0.16817,0.16337,0.16777,72092.3691,12022.719234624
1663257600,2022-09-15 16:00:00,LSS/USDT,0.16314,0.16388,0.1619,0.16388,13268.6126,2161.246672183
1663254000,2022-09-15 15:00:00,LSS/USDT,0.16268,0.16315,0.16172,0.16314,17721.4917,2885.759654361
1663250400,2022-09-15 14:00:00,LSS/USDT,0.16331,0.16446,0.16184,0.16184,20720.2833,3385.310287011
1663246800,2022-09-15 13:00:00,LSS/USDT,0.16442,0.16452,0.16321,0.16448,7304.4031,1199.252780938
1663243200,2022-09-15 12:00:00,LSS/USDT,0.1637,0.1649,0.163,0.16421,7346.1819,1206.403571404
1663239600,2022-09-15 11:00:00,LSS/USDT,0.16202,0.1636,0.16185,0.16226,5254.4985,856.193084593
1663236000,2022-09-15 10:00:00,LSS/USDT,0.16289,0.16449,0.16125,0.16203,19256.5027,3136.190057606
1663232400,2022-09-15 09:00:00,LSS/USDT,0.16357,0.16499,0.16125,0.16125,16397.5261,2660.410196952
1663228800,2022-09-15 08:00:00,LSS/USDT,0.1635,0.16509,0.1635,0.1635,3564.5755,587.399630775
1663225200,2022-09-15 07:00:00,LSS/USDT,0.16295,0.16441,0.16214,0.16339,7056.1405,1151.149659399
1663221600,2022-09-15 06:00:00,LSS/USDT,0.1635,0.16456,0.16225,0.16225,11183.9614,1821.441759044
1663218000,2022-09-15 05:00:00,LSS/USDT,0.16226,0.16453,0.16226,0.1635,10027.0686,1641.250217604
1663214400,2022-09-15 04:00:00,LSS/USDT,0.16225,0.16361,0.162,0.16226,1693.4959,275.672463715
1663210800,2022-09-15 03:00:00,LSS/USDT,0.16111,0.16346,0.16111,0.16345,6260.2821,1015.390105849
1663207200,2022-09-15 02:00:00,LSS/USDT,0.16113,0.16223,0.16111,0.16111,1309.3925,211.678117583
1663203600,2022-09-15 01:00:00,LSS/USDT,0.162,0.16806,0.16002,0.16111,420563.6203,69237.886163194
1663200000,2022-09-15 00:00:00,LSS/USDT,0.16384,0.16992,0.16173,0.162,356052.397,59434.127632196
1663196400,2022-09-14 23:00:00,LSS/USDT,0.16943,0.17556,0.16,0.16397,301627.0509,51096.930893811
1663192800,2022-09-14 22:00:00,LSS/USDT,0.168,0.17086,0.16649,0.16944,38068.5098,6462.836151954
1663189200,2022-09-14 21:00:00,LSS/USDT,0.16684,0.168,0.1641,0.168,21724.751,3629.768834561
1663185600,2022-09-14 20:00:00,LSS/USDT,0.16607,0.16724,0.16541,0.16541,4063.1357,676.453270508
1663182000,2022-09-14 19:00:00,LSS/USDT,0.16541,0.16685,0.16377,0.16606,22383.0223,3689.57510118
1663178400,2022-09-14 18:00:00,LSS/USDT,0.16905,0.16905,0.16541,0.16541,18766.6237,3126.192533251
