https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LON,Volume USDT
1663459200,2022-09-18 00:00:00,LON/USDT,0.6075,0.6075,0.6025,0.6025,1.9605,1.18807125
1663455600,2022-09-17 23:00:00,LON/USDT,0.6075,0.6075,0.6075,0.6075,0,0
1663452000,2022-09-17 22:00:00,LON/USDT,0.6075,0.6075,0.6075,0.6075,1.6461,1.00000575
1663448400,2022-09-17 21:00:00,LON/USDT,0.6075,0.6075,0.6075,0.6075,0.1932,0.117369
1663444800,2022-09-17 20:00:00,LON/USDT,0.6025,0.6025,0.6025,0.6025,0,0
1663441200,2022-09-17 19:00:00,LON/USDT,0.6025,0.6025,0.6025,0.6025,35.8567,21.60366175
1663437600,2022-09-17 18:00:00,LON/USDT,0.6064,0.6065,0.6016,0.6025,27.9393,16.85054097
1663434000,2022-09-17 17:00:00,LON/USDT,0.604,0.604,0.6016,0.6016,86.0924,51.79413152
1663430400,2022-09-17 16:00:00,LON/USDT,0.6064,0.6064,0.6064,0.6064,0,0
1663426800,2022-09-17 15:00:00,LON/USDT,0.6027,0.6064,0.6,0.6064,55,33.28825101
1663423200,2022-09-17 14:00:00,LON/USDT,0.6034,0.6034,0.597,0.6,432.2727,258.74563582
1663419600,2022-09-17 13:00:00,LON/USDT,0.5961,0.5961,0.5961,0.5961,0,0
1663416000,2022-09-17 12:00:00,LON/USDT,0.5959,0.604,0.5959,0.5961,3060.7647,1842.98437563
1663412400,2022-09-17 11:00:00,LON/USDT,0.5916,0.5916,0.59,0.59,111.1111,65.715549
1663408800,2022-09-17 10:00:00,LON/USDT,0.5954,0.5954,0.5954,0.5954,0.1924,0.11455496
1663405200,2022-09-17 09:00:00,LON/USDT,0.5954,0.5954,0.5954,0.5954,0.5788,0.34461752
1663401600,2022-09-17 08:00:00,LON/USDT,0.5917,0.5917,0.5917,0.5917,0,0
1663398000,2022-09-17 07:00:00,LON/USDT,0.5953,0.5953,0.5917,0.5917,112.5001,66.76130917
1663394400,2022-09-17 06:00:00,LON/USDT,0.5916,0.5916,0.5916,0.5916,0,0
1663390800,2022-09-17 05:00:00,LON/USDT,0.5916,0.5916,0.5916,0.5916,0.2537,0.15008892
1663387200,2022-09-17 04:00:00,LON/USDT,0.5959,0.5959,0.5959,0.5959,0,0
1663383600,2022-09-17 03:00:00,LON/USDT,0.5959,0.5959,0.5959,0.5959,0,0
1663380000,2022-09-17 02:00:00,LON/USDT,0.5959,0.5959,0.5959,0.5959,0,0
1663376400,2022-09-17 01:00:00,LON/USDT,0.5959,0.5959,0.5959,0.5959,0.5554,0.33096286
1663372800,2022-09-17 00:00:00,LON/USDT,0.5964,0.5964,0.5896,0.5896,33.0684,19.49926588
1663369200,2022-09-16 23:00:00,LON/USDT,0.5926,0.5926,0.5871,0.5871,2371.4162,1395.63379102
1663365600,2022-09-16 22:00:00,LON/USDT,0.5986,0.5986,0.5926,0.5926,0.379,0.2258296
1663362000,2022-09-16 21:00:00,LON/USDT,0.5926,0.5926,0.5926,0.5926,0.8067,0.47805042
1663358400,2022-09-16 20:00:00,LON/USDT,0.592,0.592,0.5876,0.5916,1.0988,0.6487116
1663354800,2022-09-16 19:00:00,LON/USDT,0.5914,0.5952,0.5856,0.5952,401.0792,238.23017006
1663351200,2022-09-16 18:00:00,LON/USDT,0.598,0.598,0.5948,0.5948,590.3688,352.93609536
1663347600,2022-09-16 17:00:00,LON/USDT,0.5981,0.6014,0.598,0.598,140.2756,83.94129634
1663344000,2022-09-16 16:00:00,LON/USDT,0.603,0.6034,0.5981,0.5981,87.011,52.48443116
1663340400,2022-09-16 15:00:00,LON/USDT,0.6034,0.6034,0.599,0.599,78.0901,46.7767641
1663336800,2022-09-16 14:00:00,LON/USDT,0.598,0.599,0.598,0.599,1.9313,1.1558583
1663333200,2022-09-16 13:00:00,LON/USDT,0.598,0.598,0.598,0.598,1.0426,0.6234748
1663329600,2022-09-16 12:00:00,LON/USDT,0.606,0.606,0.6,0.6,12.3821,7.4959266
1663326000,2022-09-16 11:00:00,LON/USDT,0.6049,0.6049,0.5996,0.6,51.5741,30.97012616
1663322400,2022-09-16 10:00:00,LON/USDT,0.603,0.603,0.598,0.598,58.0793,34.73877144
1663318800,2022-09-16 09:00:00,LON/USDT,0.598,0.598,0.598,0.598,0,0
1663315200,2022-09-16 08:00:00,LON/USDT,0.5996,0.5996,0.598,0.598,1.6834,1.0086188
1663311600,2022-09-16 07:00:00,LON/USDT,0.6002,0.6002,0.6,0.6,1.6607,0.996676
1663308000,2022-09-16 06:00:00,LON/USDT,0.5973,0.6004,0.5966,0.5996,739.816,442.35335084
1663304400,2022-09-16 05:00:00,LON/USDT,0.6004,0.6004,0.6004,0.6004,0.2789,0.16745156
1663300800,2022-09-16 04:00:00,LON/USDT,0.6004,0.6004,0.6004,0.6004,0.5105,0.3065042
1663297200,2022-09-16 03:00:00,LON/USDT,0.605,0.605,0.605,0.605,0,0
1663293600,2022-09-16 02:00:00,LON/USDT,0.605,0.605,0.605,0.605,0.3156,0.190938
1663290000,2022-09-16 01:00:00,LON/USDT,0.606,0.606,0.606,0.606,0.3767,0.2282802
1663286400,2022-09-16 00:00:00,LON/USDT,0.607,0.607,0.602,0.602,67.8874,40.8691178
1663282800,2022-09-15 23:00:00,LON/USDT,0.6045,0.6045,0.6045,0.6045,0,0
1663279200,2022-09-15 22:00:00,LON/USDT,0.6045,0.6045,0.6045,0.6045,0.2055,0.12422475
1663275600,2022-09-15 21:00:00,LON/USDT,0.608,0.608,0.608,0.608,46.3918,28.2062144
1663272000,2022-09-15 20:00:00,LON/USDT,0.6124,0.6124,0.6124,0.6124,0.2774,0.16987976
1663268400,2022-09-15 19:00:00,LON/USDT,0.608,0.608,0.608,0.608,0,0
1663264800,2022-09-15 18:00:00,LON/USDT,0.608,0.608,0.608,0.608,0.2039,0.1239712
1663261200,2022-09-15 17:00:00,LON/USDT,0.6114,0.6148,0.61,0.61,20.753,12.7559712
1663257600,2022-09-15 16:00:00,LON/USDT,0.612,0.612,0.607,0.607,79.0574,48.00840298
1663254000,2022-09-15 15:00:00,LON/USDT,0.6118,0.6118,0.6118,0.6118,0,0
1663250400,2022-09-15 14:00:00,LON/USDT,0.622,0.622,0.604,0.6118,976.9908,593.10155231
1663246800,2022-09-15 13:00:00,LON/USDT,0.6261,0.6261,0.6261,0.6261,0.1772,0.11094492
1663243200,2022-09-15 12:00:00,LON/USDT,0.6263,0.6263,0.6263,0.6263,7,4.3841
1663239600,2022-09-15 11:00:00,LON/USDT,0.6334,0.6334,0.6334,0.6334,0,0
