https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SNX,Volume USDT
1663462800,2022-09-18 01:00:00,SNX/USDT,2.697028,2.701949,2.697028,2.701949,358.48785741,967.77132700366805
1663459200,2022-09-18 00:00:00,SNX/USDT,2.737361,2.74044,2.693221,2.696292,7477.94088652,20354.258430037791
1663455600,2022-09-17 23:00:00,SNX/USDT,2.719028,2.742009,2.719028,2.737361,12106.46938688,33028.2864346685313
1663452000,2022-09-17 22:00:00,SNX/USDT,2.709693,2.719163,2.701714,2.719163,739.66869384,2006.17653611881256
1663448400,2022-09-17 21:00:00,SNX/USDT,2.693233,2.714768,2.691996,2.714768,6805.29463365,18425.69691437601918
1663444800,2022-09-17 20:00:00,SNX/USDT,2.680028,2.695886,2.677754,2.694621,678.6827171,1821.93096314765589
1663441200,2022-09-17 19:00:00,SNX/USDT,2.685966,2.685966,2.670447,2.678542,1863.99440457,4987.51376602573003
1663437600,2022-09-17 18:00:00,SNX/USDT,2.70663,2.713885,2.685294,2.685294,2126.12954435,5732.26582951765193
1663434000,2022-09-17 17:00:00,SNX/USDT,2.696686,2.7321,2.692977,2.706184,4410.32523172,11934.11615430178593
1663430400,2022-09-17 16:00:00,SNX/USDT,2.66477,2.697807,2.66477,2.696686,9043.78084632,24275.39898409413063
1663426800,2022-09-17 15:00:00,SNX/USDT,2.66423,2.672,2.659978,2.663016,1749.95302835,4664.94391965245198
1663423200,2022-09-17 14:00:00,SNX/USDT,2.640806,2.662936,2.640089,2.662569,7004.71730982,18603.90787034166728
1663419600,2022-09-17 13:00:00,SNX/USDT,2.64084,2.64418,2.637751,2.641904,135.52270047,357.87623006575676
1663416000,2022-09-17 12:00:00,SNX/USDT,2.62963,2.638309,2.628407,2.638309,1066.93436071,2810.55749317332802
1663412400,2022-09-17 11:00:00,SNX/USDT,2.631336,2.635504,2.627932,2.628036,753.27496077,1981.99922743255577
1663408800,2022-09-17 10:00:00,SNX/USDT,2.636325,2.645491,2.620484,2.632772,3990.32039584,10537.04796202934096
1663405200,2022-09-17 09:00:00,SNX/USDT,2.671757,2.673502,2.636544,2.636625,1443.59709027,3823.27559711497082
1663401600,2022-09-17 08:00:00,SNX/USDT,2.64594,2.676903,2.64594,2.673502,1783.55879694,4752.77786213526789
1663398000,2022-09-17 07:00:00,SNX/USDT,2.634846,2.643813,2.634846,2.643813,1359.54352664,3588.28891612076548
1663394400,2022-09-17 06:00:00,SNX/USDT,2.645277,2.645875,2.629436,2.631237,6987.44409652,18434.97113565391262
1663390800,2022-09-17 05:00:00,SNX/USDT,2.656059,2.656059,2.635,2.640279,4501.84886847,11880.49869045591919
1663387200,2022-09-17 04:00:00,SNX/USDT,2.641517,2.66423,2.639351,2.656398,4924.62330581,13064.4627830045238
1663383600,2022-09-17 03:00:00,SNX/USDT,2.628852,2.641384,2.628852,2.636,474.85743136,1252.89344910171576
1663380000,2022-09-17 02:00:00,SNX/USDT,2.633625,2.646566,2.625427,2.628539,16855.74646125,44469.42646189642591
1663376400,2022-09-17 01:00:00,SNX/USDT,2.615252,2.634947,2.6148,2.634947,3265.17417098,8584.22681984368826
1663372800,2022-09-17 00:00:00,SNX/USDT,2.59336,2.645516,2.59302,2.613592,2338.56145812,6142.46539336172704
1663369200,2022-09-16 23:00:00,SNX/USDT,2.582744,2.595599,2.57729,2.594357,1682.37611348,4352.02967454527459
1663365600,2022-09-16 22:00:00,SNX/USDT,2.579494,2.589401,2.573948,2.584601,816.01696456,2108.9605394615258
1663362000,2022-09-16 21:00:00,SNX/USDT,2.570105,2.5889,2.569977,2.573885,1607.52448145,4146.10540353027815
1663358400,2022-09-16 20:00:00,SNX/USDT,2.557902,2.570105,2.557902,2.570105,684.48650548,1755.7386166544526
1663354800,2022-09-16 19:00:00,SNX/USDT,2.562454,2.563473,2.544641,2.557882,3085.24582241,7871.79490676546725
1663351200,2022-09-16 18:00:00,SNX/USDT,2.552671,2.567392,2.525291,2.561104,6872.63772867,17426.37109550763998
1663347600,2022-09-16 17:00:00,SNX/USDT,2.568982,2.574198,2.538792,2.551596,7525.25213926,19222.91095327200362
1663344000,2022-09-16 16:00:00,SNX/USDT,2.598588,2.603485,2.545,2.570237,3249.78143529,8325.64527375653737
1663340400,2022-09-16 15:00:00,SNX/USDT,2.586036,2.603047,2.58125,2.593726,536.4054656,1390.88127665553279
1663336800,2022-09-16 14:00:00,SNX/USDT,2.565635,2.607844,2.561687,2.584504,2822.2490245,7302.66841523749692
1663333200,2022-09-16 13:00:00,SNX/USDT,2.62008,2.627583,2.552476,2.561742,7124.94163591,18399.0307719836155
1663329600,2022-09-16 12:00:00,SNX/USDT,2.632686,2.64594,2.613826,2.613826,2419.10816191,6376.04408938315484
1663326000,2022-09-16 11:00:00,SNX/USDT,2.624625,2.638205,2.604857,2.632037,8256.80077726,21656.4914994878038
1663322400,2022-09-16 10:00:00,SNX/USDT,2.600658,2.630196,2.5987,2.627042,2763.2832877,7217.33231672150412
1663318800,2022-09-16 09:00:00,SNX/USDT,2.567052,2.599807,2.565695,2.596522,1645.54659927,4252.02898567713102
1663315200,2022-09-16 08:00:00,SNX/USDT,2.600704,2.604027,2.567051,2.567052,2118.4368325,5457.19743292680331
1663311600,2022-09-16 07:00:00,SNX/USDT,2.609532,2.612274,2.598524,2.600195,787.34843211,2053.82954761170836
1663308000,2022-09-16 06:00:00,SNX/USDT,2.612973,2.61522,2.602324,2.60243,593.61347666,1550.87900755497021
1663304400,2022-09-16 05:00:00,SNX/USDT,2.59102,2.621913,2.591019,2.613831,1266.32972464,3303.34809778338304
1663300800,2022-09-16 04:00:00,SNX/USDT,2.581373,2.595599,2.581373,2.591002,1704.28957514,4414.12614293593772
1663297200,2022-09-16 03:00:00,SNX/USDT,2.567773,2.582553,2.566459,2.579262,3075.34742256,7918.56759510927534
1663293600,2022-09-16 02:00:00,SNX/USDT,2.572747,2.572747,2.539837,2.564861,3493.26847542,8918.54666966380311
1663290000,2022-09-16 01:00:00,SNX/USDT,2.5916,2.592459,2.566113,2.574108,1508.26132444,3891.5398385176556
1663286400,2022-09-16 00:00:00,SNX/USDT,2.581695,2.594456,2.542252,2.594456,8382.85508961,21527.96891078631816
1663282800,2022-09-15 23:00:00,SNX/USDT,2.595549,2.595599,2.569648,2.582498,1285.99157446,3317.89992865249552
1663279200,2022-09-15 22:00:00,SNX/USDT,2.614953,2.614953,2.5727,2.590806,2414.36058798,6259.94951348411755
1663275600,2022-09-15 21:00:00,SNX/USDT,2.624178,2.626359,2.604396,2.616253,601.87454895,1574.41132959939107
1663272000,2022-09-15 20:00:00,SNX/USDT,2.625469,2.630182,2.612672,2.627542,865.00932403,2269.12218336268023
1663268400,2022-09-15 19:00:00,SNX/USDT,2.618827,2.630196,2.604855,2.62867,819.22691648,2143.20606805411287
1663264800,2022-09-15 18:00:00,SNX/USDT,2.628862,2.634656,2.614979,2.618474,1439.30302669,3776.68624547793536
1663261200,2022-09-15 17:00:00,SNX/USDT,2.633067,2.645114,2.63179,2.631979,2993.67878872,7902.10050575208272
1663257600,2022-09-15 16:00:00,SNX/USDT,2.617524,2.634662,2.60516,2.631825,3921.14775881,10272.35576282590462
1663254000,2022-09-15 15:00:00,SNX/USDT,2.585666,2.647982,2.569176,2.617278,19935.80608609,51926.23555942962948
1663250400,2022-09-15 14:00:00,SNX/USDT,2.674411,2.677126,2.585647,2.590184,10007.99702546,26149.22704823448112
1663246800,2022-09-15 13:00:00,SNX/USDT,2.672848,2.673415,2.64265,2.673415,2584.79526397,6866.85471217601962
1663243200,2022-09-15 12:00:00,SNX/USDT,2.663747,2.686308,2.655821,2.675793,2276.29627598,6080.66723322327927
1663239600,2022-09-15 11:00:00,SNX/USDT,2.642613,2.666125,2.636587,2.664381,1626.39702686,4316.33829860688421
1663236000,2022-09-15 10:00:00,SNX/USDT,2.659078,2.66975,2.637202,2.642468,1064.93034786,2825.63416916563796
1663232400,2022-09-15 09:00:00,SNX/USDT,2.671021,2.671117,2.643695,2.657103,2325.79905236,6176.13963126889368
1663228800,2022-09-15 08:00:00,SNX/USDT,2.702123,2.703417,2.657961,2.664148,3898.66106714,10468.15967419662384
1663225200,2022-09-15 07:00:00,SNX/USDT,2.673459,2.763772,2.667261,2.705373,12776.18520287,34805.87367360529084
1663221600,2022-09-15 06:00:00,SNX/USDT,2.623753,2.688973,2.579121,2.675394,19529.05649163,51457.75480457243326
1663218000,2022-09-15 05:00:00,SNX/USDT,2.606991,2.63,2.598588,2.623757,1946.67258979,5094.98821104727974
1663214400,2022-09-15 04:00:00,SNX/USDT,2.613073,2.619168,2.591506,2.607117,3594.10167821,9382.56203320563757
1663210800,2022-09-15 03:00:00,SNX/USDT,2.644299,2.645114,2.5898,2.612563,5102.44691986,13311.28910685432791
1663207200,2022-09-15 02:00:00,SNX/USDT,2.68049,2.681816,2.617312,2.64479,4848.51164046,12776.21854854248847
1663203600,2022-09-15 01:00:00,SNX/USDT,2.690462,2.691807,2.658743,2.681225,4459.34820499,11949.70192319852825
1663200000,2022-09-15 00:00:00,SNX/USDT,2.71714,2.718046,2.67083,2.686427,7211.49116563,19407.53426222826865
1663196400,2022-09-14 23:00:00,SNX/USDT,2.716197,2.728416,2.708092,2.719591,1200.68891832,3260.89700125558659
1663192800,2022-09-14 22:00:00,SNX/USDT,2.70838,2.726157,2.699297,2.720836,3383.87405875,9162.79588966252048
1663189200,2022-09-14 21:00:00,SNX/USDT,2.688018,2.709172,2.676064,2.705819,10937.76717334,29432.52743115512191
1663185600,2022-09-14 20:00:00,SNX/USDT,2.688739,2.690288,2.67644,2.688929,2077.29649778,5575.09402927270552
1663182000,2022-09-14 19:00:00,SNX/USDT,2.673,2.688739,2.657,2.688739,4445.58626809,11871.03746233472341
1663178400,2022-09-14 18:00:00,SNX/USDT,2.679496,2.684852,2.632651,2.67323,10101.87152684,26793.37408117244293
1663174800,2022-09-14 17:00:00,SNX/USDT,2.67383,2.698755,2.671927,2.680527,2287.86222359,6150.73768723761532
1663171200,2022-09-14 16:00:00,SNX/USDT,2.677631,2.679306,2.656292,2.670961,3275.34068856,8749.59847784309708
1663167600,2022-09-14 15:00:00,SNX/USDT,2.698691,2.704553,2.673644,2.673644,4116.72399143,11054.83606158978593
1663164000,2022-09-14 14:00:00,SNX/USDT,2.694243,2.701061,2.672247,2.699141,3334.36746426,8988.21451032614628
1663160400,2022-09-14 13:00:00,SNX/USDT,2.695022,2.70291,2.663218,2.685672,10679.65552864,28675.04890167424939
1663156800,2022-09-14 12:00:00,SNX/USDT,2.704826,2.720077,2.672636,2.699675,6271.34619183,16901.93504716916242
1663153200,2022-09-14 11:00:00,SNX/USDT,2.737683,2.740031,2.686742,2.704826,6704.17167881,18095.19891591464362
1663149600,2022-09-14 10:00:00,SNX/USDT,2.728445,2.747959,2.721836,2.747959,4174.24508488,11433.21307927652345
1663146000,2022-09-14 09:00:00,SNX/USDT,2.736731,2.747637,2.726695,2.726805,2375.45923777,6495.88394311245963
1663142400,2022-09-14 08:00:00,SNX/USDT,2.740321,2.745862,2.696213,2.740382,8619.16558127,23454.98414495538173
1663138800,2022-09-14 07:00:00,SNX/USDT,2.7393,2.752211,2.7,2.742308,8866.10697877,24148.87808302518416
