https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AVAX3S,Volume USDT
1663459200,2022-09-18 00:00:00,AVAX3S/USDT,0.3753,0.378,0.3753,0.3759,1479.2427,556.97303639
1663372800,2022-09-17 00:00:00,AVAX3S/USDT,0.3998,0.3998,0.3657,0.3735,236205.9719,89585.60558033
1663286400,2022-09-16 00:00:00,AVAX3S/USDT,0.395,0.4299,0.3852,0.3999,334989.6489,136330.25084023
1663200000,2022-09-15 00:00:00,AVAX3S/USDT,0.3445,0.3976,0.3302,0.3949,714246.6768,259059.59256167
1663113600,2022-09-14 00:00:00,AVAX3S/USDT,0.3591,0.3779,0.3313,0.3435,633011.9628,220915.8927946
1663027200,2022-09-13 00:00:00,AVAX3S/USDT,0.2647,0.3592,0.25,0.3571,1060247.8546,318384.80207859
1662940800,2022-09-12 00:00:00,AVAX3S/USDT,0.2958,0.3183,0.2417,0.2658,1037972.5939,286065.26688559
1662854400,2022-09-11 00:00:00,AVAX3S/USDT,0.2979,0.3218,0.2804,0.2949,387699.9387,115811.11472863
1662768000,2022-09-10 00:00:00,AVAX3S/USDT,0.3051,0.3196,0.2734,0.3006,516591.2512,154718.85591697
1662681600,2022-09-09 00:00:00,AVAX3S/USDT,0.3785,0.3803,0.2833,0.3034,1053369.2513,338452.96309951
1662595200,2022-09-08 00:00:00,AVAX3S/USDT,0.3846,0.4227,0.3759,0.3785,580548.3098,228981.01129945
1662508800,2022-09-07 00:00:00,AVAX3S/USDT,0.4448,0.4717,0.3655,0.3859,774764.9639,326579.13950803
1662422400,2022-09-06 00:00:00,AVAX3S/USDT,0.3688,0.4447,0.3087,0.4447,1431010.2364436,508023.515770184208
1662336000,2022-09-05 00:00:00,AVAX3S/USDT,0.396,0.4324,0.3681,0.3722,378576.9282,153654.5823197
1662249600,2022-09-04 00:00:00,AVAX3S/USDT,0.4076,0.4135,0.3901,0.3976,322220.3741,128955.0709468
1662163200,2022-09-03 00:00:00,AVAX3S/USDT,0.4088,0.4299,0.3978,0.4076,307912.9818,126545.91890339
1662076800,2022-09-02 00:00:00,AVAX3S/USDT,0.3803,0.4185,0.3551,0.4073,863129.82484714,331865.328904460201
1661990400,2022-09-01 00:00:00,AVAX3S/USDT,0.3932,0.4449,0.3727,0.3802,972371.68573196,392187.69276690748
1661904000,2022-08-31 00:00:00,AVAX3S/USDT,0.3784,0.4006,0.3417,0.3928,638230.51197993,234721.040324646923
1661817600,2022-08-30 00:00:00,AVAX3S/USDT,0.3803,0.4099,0.3103,0.3793,1574185.50488979,574550.882582431558
1661731200,2022-08-29 00:00:00,AVAX3S/USDT,0.4485,0.5233,0.3743,0.3829,1280829.53273933,574215.828143186112
1661644800,2022-08-28 00:00:00,AVAX3S/USDT,0.3662,0.4855,0.3449,0.4485,921314.38732102,367469.967166350545
1661558400,2022-08-27 00:00:00,AVAX3S/USDT,0.3343,0.376,0.3244,0.3661,804208.46016474,282281.221672715014
1661472000,2022-08-26 00:00:00,AVAX3S/USDT,0.2609,0.3522,0.2529,0.3336,1130931.72297591,331417.336357384248
1661385600,2022-08-25 00:00:00,AVAX3S/USDT,0.2594,0.2708,0.2392,0.2601,557141.65729659,141254.908873080799
1661299200,2022-08-24 00:00:00,AVAX3S/USDT,0.243,0.2651,0.2396,0.2593,586889.03132514,149080.107668222433
1661212800,2022-08-23 00:00:00,AVAX3S/USDT,0.2798,0.3077,0.2385,0.2442,979732.21089447,261222.821521688249
1661126400,2022-08-22 00:00:00,AVAX3S/USDT,0.2674,0.3116,0.2643,0.2804,490609.5714432,142641.046913616679
1661040000,2022-08-21 00:00:00,AVAX3S/USDT,0.2923,0.3011,0.2454,0.2656,772731.86476175,210284.382485065731
1660953600,2022-08-20 00:00:00,AVAX3S/USDT,0.2851,0.32,0.2645,0.2935,953884.88763574,276151.891219197456
1660867200,2022-08-19 00:00:00,AVAX3S/USDT,0.2397,0.31,0.2322,0.2883,1202328.03876877,336695.507480244806
1660780800,2022-08-18 00:00:00,AVAX3S/USDT,0.2039,0.2443,0.1871,0.2397,806090.51957267,165454.506413617325
1660694400,2022-08-17 00:00:00,AVAX3S/USDT,0.1756,0.21,0.1527,0.2041,1324657.32165282,239877.74954557594
1660608000,2022-08-16 00:00:00,AVAX3S/USDT,0.1615,0.1776,0.1513,0.1745,867188.17494696,143857.612427773157
1660521600,2022-08-15 00:00:00,AVAX3S/USDT,0.1575,0.1747,0.1389,0.1613,1188902.84446724,189904.398198334149
1660435200,2022-08-14 00:00:00,AVAX3S/USDT,0.1428,0.1615,0.131,0.1563,1331703.42811176,193207.980404806919
1660348800,2022-08-13 00:00:00,AVAX3S/USDT,0.14,0.1462,0.1255,0.1428,1743472.9060703,238796.992356511732
