https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume API3,Volume USDT
1663459200,2022-09-18 00:00:00,API3/USDT,1.607,1.61,1.588,1.59,317.59076105,508.4049101905
1663372800,2022-09-17 00:00:00,API3/USDT,1.54,1.611,1.536,1.606,81408.9514546,127754.52759154538
1663286400,2022-09-16 00:00:00,API3/USDT,1.582,1.604,1.508,1.54,85564.95416976,132825.51792785844
1663200000,2022-09-15 00:00:00,API3/USDT,1.666,1.668,1.556,1.582,130859.83812656,210136.25010939556
1663113600,2022-09-14 00:00:00,API3/USDT,1.677,1.831,1.618,1.67,112690.44354333,190809.11067047332
1663027200,2022-09-13 00:00:00,API3/USDT,1.805,1.836,1.649,1.676,162276.27315942,281674.10493570195
1662940800,2022-09-12 00:00:00,API3/USDT,1.832,1.902,1.745,1.805,193267.95148709,351454.60530573115
1662854400,2022-09-11 00:00:00,API3/USDT,1.79,1.895,1.778,1.84,209331.00881941,384798.63514296824
1662768000,2022-09-10 00:00:00,API3/USDT,1.846,1.89,1.75,1.787,218860.29092274,399748.05932813288
1662681600,2022-09-09 00:00:00,API3/USDT,1.761,1.901,1.76,1.846,189587.56038816,349772.68780271793
1662595200,2022-09-08 00:00:00,API3/USDT,1.795,1.814,1.728,1.764,76865.87818157,135871.36782428157
1662508800,2022-09-07 00:00:00,API3/USDT,1.596,1.9,1.587,1.798,416220.24048247,739931.08314332861
1662422400,2022-09-06 00:00:00,API3/USDT,1.694,1.844,1.528,1.594,299842.90628193,509918.64801850864
1662336000,2022-09-05 00:00:00,API3/USDT,1.727,1.743,1.655,1.689,109646.06736895,186779.76691315167
1662249600,2022-09-04 00:00:00,API3/USDT,1.677,1.733,1.639,1.729,161300.40359299,274031.65294758003
1662163200,2022-09-03 00:00:00,API3/USDT,1.702,1.722,1.655,1.679,74855.92826022,125939.86527823266
1662076800,2022-09-02 00:00:00,API3/USDT,1.687,1.733,1.647,1.7,83756.85744295,142079.62440479522
1661990400,2022-09-01 00:00:00,API3/USDT,1.652,1.726,1.617,1.692,120272.81414905,200707.06047324389
1661904000,2022-08-31 00:00:00,API3/USDT,1.638,1.728,1.638,1.648,77342.25598249,130804.47895579069
1661817600,2022-08-30 00:00:00,API3/USDT,1.733,1.754,1.578,1.627,74775.19010297,123456.59304031974
1661731200,2022-08-29 00:00:00,API3/USDT,1.606,1.752,1.555,1.73,65647.94602172,108738.36143798333
1661644800,2022-08-28 00:00:00,API3/USDT,1.694,1.78,1.572,1.605,153035.00286825,258479.19831660916
1661558400,2022-08-27 00:00:00,API3/USDT,1.684,1.713,1.647,1.69,93266.8871887,156710.07258533097
1661472000,2022-08-26 00:00:00,API3/USDT,1.947,1.958,1.642,1.684,204056.8621195,366579.90924044571
1661385600,2022-08-25 00:00:00,API3/USDT,1.944,2.021,1.902,1.948,70509.07770666,137842.94056318519
1661299200,2022-08-24 00:00:00,API3/USDT,1.963,2.077,1.913,1.94,140863.11223721,281118.26261374101
1661212800,2022-08-23 00:00:00,API3/USDT,1.891,2.007,1.848,1.963,114937.02202493,223780.16457105551
1661126400,2022-08-22 00:00:00,API3/USDT,1.915,1.916,1.782,1.892,124708.82062104,229211.47935196316
1661040000,2022-08-21 00:00:00,API3/USDT,1.863,1.951,1.857,1.914,103127.95987166,196392.36826842145
1660953600,2022-08-20 00:00:00,API3/USDT,1.914,1.95,1.792,1.864,158312.27303122,295543.70135121727
1660867200,2022-08-19 00:00:00,API3/USDT,2.117,2.142,1.869,1.909,175424.71414838,341377.62092770976
1660780800,2022-08-18 00:00:00,API3/USDT,2.267,2.343,2.056,2.116,76461.2467568,170185.28496123179
1660694400,2022-08-17 00:00:00,API3/USDT,2.403,2.564,2.234,2.264,183373.61404058,438999.42742180047
1660608000,2022-08-16 00:00:00,API3/USDT,2.457,2.573,2.364,2.408,196739.33869944,480351.24381637956
1660521600,2022-08-15 00:00:00,API3/USDT,2.384,2.656,2.38,2.457,493301.92918406,1239790.69718937587
1660435200,2022-08-14 00:00:00,API3/USDT,2.408,2.468,2.29,2.387,234958.26267051,564332.08752149191
1660348800,2022-08-13 00:00:00,API3/USDT,2.425,2.512,2.364,2.409,299208.33071526,727348.86262169688
1660262400,2022-08-12 00:00:00,API3/USDT,2.183,3.06,2.113,2.425,784057.97427381,1966033.32893032139
1660176000,2022-08-11 00:00:00,API3/USDT,2.075,2.367,2.075,2.177,258481.28539285,571060.84806465081
1660089600,2022-08-10 00:00:00,API3/USDT,1.954,2.083,1.912,2.075,133442.59712687,267291.62490662511
1660003200,2022-08-09 00:00:00,API3/USDT,2.136,2.184,1.909,1.957,132005.27226002,267604.65000400407
1659916800,2022-08-08 00:00:00,API3/USDT,2.088,2.201,2.08,2.141,77306.04470032,166366.69918408953
1659830400,2022-08-07 00:00:00,API3/USDT,2.116,2.168,2.047,2.089,112427.49035766,237887.21416092256
1659744000,2022-08-06 00:00:00,API3/USDT,2.195,2.199,2.09,2.125,55270.77749095,118455.1345437853
1659657600,2022-08-05 00:00:00,API3/USDT,2.211,2.237,2.109,2.198,175228.51217617,381245.02024608294
1659571200,2022-08-04 00:00:00,API3/USDT,1.993,2.231,1.993,2.22,487264.63881448,1053062.54547561265
1659484800,2022-08-03 00:00:00,API3/USDT,1.968,2.109,1.877,1.996,258596.7628881,520807.71008099253
1659398400,2022-08-02 00:00:00,API3/USDT,2.023,2.077,1.84,1.961,402474.59406365,778255.94086061729
1659312000,2022-08-01 00:00:00,API3/USDT,1.944,2.055,1.915,2.024,174084.1668091,343034.35080985646
1659225600,2022-07-31 00:00:00,API3/USDT,1.925,2.068,1.921,1.946,250131.89842845,504098.18139311556
1659139200,2022-07-30 00:00:00,API3/USDT,1.873,2.206,1.847,1.927,447968.74238231,896170.12605745542
1659052800,2022-07-29 00:00:00,API3/USDT,1.826,1.942,1.795,1.866,258635.63895379,484592.77531398611
1658966400,2022-07-28 00:00:00,API3/USDT,1.753,1.905,1.726,1.828,348629.93985743,631481.90144216605
1658880000,2022-07-27 00:00:00,API3/USDT,1.58,1.752,1.537,1.752,197171.81184755,322480.42980925551
1658793600,2022-07-26 00:00:00,API3/USDT,1.596,1.596,1.492,1.58,102493.23894397,157042.36640790666
1658707200,2022-07-25 00:00:00,API3/USDT,1.763,1.781,1.593,1.593,114562.01630607,193558.99027011321
1658620800,2022-07-24 00:00:00,API3/USDT,1.751,1.808,1.736,1.761,68697.84183358,122080.55438549784
1658534400,2022-07-23 00:00:00,API3/USDT,1.782,1.832,1.707,1.747,91120.62441028,160519.47325310048
1658448000,2022-07-22 00:00:00,API3/USDT,1.833,1.892,1.752,1.776,102926.78446524,188098.09391864304
1658361600,2022-07-21 00:00:00,API3/USDT,1.8,1.854,1.746,1.831,173203.15491857,313395.4255607213
1658275200,2022-07-20 00:00:00,API3/USDT,2.003,2.076,1.784,1.8,312643.59011145,612444.7445873348
1658188800,2022-07-19 00:00:00,API3/USDT,1.947,2.035,1.881,2.001,368732.50548364,722428.54407638116
1658102400,2022-07-18 00:00:00,API3/USDT,1.776,1.965,1.776,1.949,291996.73137383,552531.70826469295
1658016000,2022-07-17 00:00:00,API3/USDT,1.834,1.898,1.774,1.777,198592.21997789,364619.98318893629
1657929600,2022-07-16 00:00:00,API3/USDT,1.842,1.899,1.775,1.833,198268.9158435,365112.18564638065
1657843200,2022-07-15 00:00:00,API3/USDT,1.821,1.894,1.788,1.835,212529.49505592,389356.39390780117
1657756800,2022-07-14 00:00:00,API3/USDT,1.749,1.84,1.689,1.818,368263.48089861,650122.76334675674
1657670400,2022-07-13 00:00:00,API3/USDT,1.683,1.774,1.588,1.751,346508.05627208,588499.3381982161
1657584000,2022-07-12 00:00:00,API3/USDT,1.762,1.81,1.673,1.676,215907.39224992,376817.62580356556
1657497600,2022-07-11 00:00:00,API3/USDT,1.902,1.978,1.754,1.762,304388.36722336,567853.12872724666
1657411200,2022-07-10 00:00:00,API3/USDT,2.002,2.011,1.855,1.905,215547.56429839,416000.13556479306
1657324800,2022-07-09 00:00:00,API3/USDT,2.01,2.037,1.954,2.003,176270.69063822,352777.13917903788
1657238400,2022-07-08 00:00:00,API3/USDT,2.104,2.166,1.981,2.002,317660.0686803,651672.60817609624
1657152000,2022-07-07 00:00:00,API3/USDT,2.079,2.24,2.041,2.104,247974.41303403,520753.07999102225
1657065600,2022-07-06 00:00:00,API3/USDT,2.138,2.198,2.067,2.082,356827.06557319,760597.4905899623
1656979200,2022-07-05 00:00:00,API3/USDT,2.075,2.271,1.96,2.135,980515.2811876,2090216.87437178012
1656892800,2022-07-04 00:00:00,API3/USDT,1.848,2.515,1.84,2.08,1910434.18868234,4057421.58427127862
1656806400,2022-07-03 00:00:00,API3/USDT,1.776,1.876,1.734,1.847,261091.52494809,471039.72369879611
