https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EFX,Volume USDT
1663459200,2022-09-18 00:00:00,EFX/USDT,0.004483,0.004487,0.004443,0.004461,676585.526,3018.7429069354
1663372800,2022-09-17 00:00:00,EFX/USDT,0.004297,0.004614,0.004261,0.004466,19711844.5461,86425.367432751
1663286400,2022-09-16 00:00:00,EFX/USDT,0.004572,0.004601,0.004129,0.004282,22728405.2104,100837.7165896483
1663200000,2022-09-15 00:00:00,EFX/USDT,0.004444,0.00482,0.004349,0.004569,21995333.287,99080.0910210878
1663113600,2022-09-14 00:00:00,EFX/USDT,0.0045,0.004604,0.004384,0.004446,21212299.4476,95244.0555781537
1663027200,2022-09-13 00:00:00,EFX/USDT,0.004931,0.004958,0.00449,0.004497,23965397.5932,113570.1784747106
1662940800,2022-09-12 00:00:00,EFX/USDT,0.00493,0.005299,0.004854,0.004931,23241035.2966,115967.9407200465
1662854400,2022-09-11 00:00:00,EFX/USDT,0.00504,0.005146,0.004821,0.004929,21339394.051,106017.9534315708
1662768000,2022-09-10 00:00:00,EFX/USDT,0.00499,0.00633,0.004722,0.005033,28336440.16858807,143239.85526907373479
1662681600,2022-09-09 00:00:00,EFX/USDT,0.004616,0.0053,0.004581,0.004991,27860486.8275,136264.5006711058
1662595200,2022-09-08 00:00:00,EFX/USDT,0.004505,0.004889,0.004426,0.004624,32145139.1361,146747.8017421081
1662508800,2022-09-07 00:00:00,EFX/USDT,0.004121,0.0048,0.004107,0.004531,25861701.0725,110575.7936687361
1662422400,2022-09-06 00:00:00,EFX/USDT,0.004292,0.004358,0.004074,0.004122,22080555.8372,94196.6141751435
1662336000,2022-09-05 00:00:00,EFX/USDT,0.004272,0.004307,0.004177,0.004294,33055233.4173,141509.9686006194
1662249600,2022-09-04 00:00:00,EFX/USDT,0.004287,0.004399,0.004223,0.004292,34287204.6767,147422.0288068017
1662163200,2022-09-03 00:00:00,EFX/USDT,0.004291,0.004343,0.00428,0.00429,31523454.5776,135388.8752562736
1662076800,2022-09-02 00:00:00,EFX/USDT,0.004234,0.004317,0.004208,0.004287,30091207.0246,127606.3202244774
1661990400,2022-09-01 00:00:00,EFX/USDT,0.004309,0.004311,0.004152,0.004219,31376743.2799,132659.0974460343
1661904000,2022-08-31 00:00:00,EFX/USDT,0.004269,0.004402,0.004263,0.004304,33740290.6638,145553.3799207733
1661817600,2022-08-30 00:00:00,EFX/USDT,0.004349,0.004415,0.004215,0.00427,33172549.9774,143669.1191828617
1661731200,2022-08-29 00:00:00,EFX/USDT,0.004311,0.004378,0.004286,0.004349,31926009.685,137652.3403935891
1661644800,2022-08-28 00:00:00,EFX/USDT,0.004375,0.004436,0.004286,0.004319,33622528.0223,147872.770634501
1661558400,2022-08-27 00:00:00,EFX/USDT,0.004469,0.004493,0.004349,0.004398,32833250.7668,145769.7732767733
1661472000,2022-08-26 00:00:00,EFX/USDT,0.004726,0.004726,0.004457,0.004461,31760690.9032,146750.6372992462
1661385600,2022-08-25 00:00:00,EFX/USDT,0.004955,0.004982,0.004641,0.004722,39334106.4595,188862.2371918618
1661299200,2022-08-24 00:00:00,EFX/USDT,0.004646,0.005612,0.004613,0.004961,64514515.8818,325945.8901034979
1661212800,2022-08-23 00:00:00,EFX/USDT,0.00434,0.005744,0.0043,0.004679,58838025.2779,274759.0319106222
1661126400,2022-08-22 00:00:00,EFX/USDT,0.004364,0.00438,0.004215,0.004343,33897535.6907,146472.5332235564
1661040000,2022-08-21 00:00:00,EFX/USDT,0.004333,0.004525,0.004312,0.004367,35413235.1947,155322.6617884728
