https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XYO,Volume BTC
1663459200,2022-09-18 00:00:00,XYO/BTC,0.0000003834,0.0000003845,0.000000383,0.0000003836,711.335,0.00027283865842
1663372800,2022-09-17 00:00:00,XYO/BTC,0.0000003879,0.0000003931,0.0000003782,0.0000003834,1497760.4077,0.57495715718586
1663286400,2022-09-16 00:00:00,XYO/BTC,0.0000003974,0.0000003976,0.0000003809,0.0000003871,1457005.5108,0.56867536533485
1663200000,2022-09-15 00:00:00,XYO/BTC,0.0000003943,0.0000004729,0.0000003795,0.000000396,6954076.156,2.90585086499306
1663113600,2022-09-14 00:00:00,XYO/BTC,0.0000003899,0.0000004061,0.0000003831,0.0000003944,2190641.7099,0.85200856786676
1663027200,2022-09-13 00:00:00,XYO/BTC,0.000000374,0.0000004018,0.0000003529,0.0000003904,2038596.023,0.77019622691336
1662940800,2022-09-12 00:00:00,XYO/BTC,0.0000003834,0.0000004153,0.0000003594,0.0000003746,2528377.4806,0.9772145915324
1662854400,2022-09-11 00:00:00,XYO/BTC,0.0000003634,0.0000004154,0.0000003612,0.0000003834,2615340.1719,1.00107285809483
1662768000,2022-09-10 00:00:00,XYO/BTC,0.0000003663,0.0000003696,0.00000036,0.0000003634,102839.8946,0.03752990727953
1662681600,2022-09-09 00:00:00,XYO/BTC,0.0000003851,0.0000003889,0.00000036,0.0000003655,378558.0282,0.1407556950402
1662595200,2022-09-08 00:00:00,XYO/BTC,0.0000003969,0.0000003974,0.0000003804,0.0000003851,409582.6756,0.15897201406009
1662508800,2022-09-07 00:00:00,XYO/BTC,0.0000003964,0.0000004027,0.0000003896,0.0000003966,146052.7732,0.05790605751303
1662422400,2022-09-06 00:00:00,XYO/BTC,0.000000397,0.0000004033,0.0000003851,0.0000003963,317936.5364,0.12517598634644
1662336000,2022-09-05 00:00:00,XYO/BTC,0.000000396,0.0000004011,0.0000003928,0.0000003963,122066.1603,0.04839143669333
1662249600,2022-09-04 00:00:00,XYO/BTC,0.0000003995,0.0000004115,0.0000003925,0.0000003951,323326.517,0.13003498241086
1662163200,2022-09-03 00:00:00,XYO/BTC,0.000000407,0.0000004088,0.0000003944,0.0000004002,126318.6511,0.05061236559886
1662076800,2022-09-02 00:00:00,XYO/BTC,0.0000003965,0.0000004087,0.0000003926,0.0000004069,320627.519,0.1294651030596
1661990400,2022-09-01 00:00:00,XYO/BTC,0.0000003985,0.0000004041,0.0000003925,0.0000003979,204147.5009,0.08139205778981
1661904000,2022-08-31 00:00:00,XYO/BTC,0.0000004095,0.0000004099,0.0000003939,0.0000003989,1268692.6983,0.51186223327275
1661817600,2022-08-30 00:00:00,XYO/BTC,0.000000421,0.0000004232,0.000000408,0.0000004095,485127.2539,0.20132494610645
1661731200,2022-08-29 00:00:00,XYO/BTC,0.0000004215,0.0000004699,0.0000003995,0.0000004209,4738222.3826,2.08083194802099
1661644800,2022-08-28 00:00:00,XYO/BTC,0.000000382,0.0000004494,0.0000003752,0.0000004203,2079243.4827,0.88099972574315
1661558400,2022-08-27 00:00:00,XYO/BTC,0.0000003755,0.0000003858,0.000000371,0.0000003809,252359.5029,0.0944308573548
1661472000,2022-08-26 00:00:00,XYO/BTC,0.0000003744,0.0000003859,0.000000363,0.000000376,403027.8169,0.15142303717781
1661385600,2022-08-25 00:00:00,XYO/BTC,0.0000003833,0.000000389,0.0000003727,0.0000003728,143311.0289,0.05439076601897
1661299200,2022-08-24 00:00:00,XYO/BTC,0.0000003788,0.0000003932,0.0000003738,0.0000003833,587671.983,0.22580293778986
1661212800,2022-08-23 00:00:00,XYO/BTC,0.0000003956,0.0000004043,0.0000003739,0.0000003765,698524.5229,0.27489488959709
1661126400,2022-08-22 00:00:00,XYO/BTC,0.0000004386,0.0000004508,0.0000003925,0.0000003951,5006806.6405,2.09255871011802
