https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume VEGA,Volume USDT
1663462800,2022-09-18 01:00:00,VEGA/USDT,1.2707,1.2707,1.2707,1.2707,0.1359,0.17268813
1663459200,2022-09-18 00:00:00,VEGA/USDT,1.2811,1.2811,1.2651,1.2707,1649.8487,2098.00165673
1663455600,2022-09-17 23:00:00,VEGA/USDT,1.2872,1.2907,1.2872,1.2907,2.061,2.6532797
1663452000,2022-09-17 22:00:00,VEGA/USDT,1.2906,1.2906,1.2906,1.2906,108.0123,139.40067438
1663448400,2022-09-17 21:00:00,VEGA/USDT,1.2906,1.2906,1.2906,1.2906,0.4256,0.54927936
1663444800,2022-09-17 20:00:00,VEGA/USDT,1.2831,1.2998,1.2831,1.2894,631.0216,818.77684839
1663441200,2022-09-17 19:00:00,VEGA/USDT,1.2831,1.2831,1.2766,1.2766,55.3269,70.65916774
1663437600,2022-09-17 18:00:00,VEGA/USDT,1.2981,1.3009,1.2831,1.2948,2752.666,3557.44930248
1663434000,2022-09-17 17:00:00,VEGA/USDT,1.3022,1.3151,1.298,1.3032,5991.2218,7855.00988393
1663430400,2022-09-17 16:00:00,VEGA/USDT,1.2876,1.3042,1.2815,1.3021,4958.6251,6408.09265852
1663426800,2022-09-17 15:00:00,VEGA/USDT,1.2649,1.2864,1.2617,1.2864,4139.2349,5284.70102911
1663423200,2022-09-17 14:00:00,VEGA/USDT,1.2633,1.2652,1.2595,1.2645,1333.6151,1686.21881666
1663419600,2022-09-17 13:00:00,VEGA/USDT,1.2625,1.2625,1.2625,1.2625,36.2708,45.791885
1663416000,2022-09-17 12:00:00,VEGA/USDT,1.2617,1.2754,1.2593,1.2725,2032.0312,2579.37536868
1663412400,2022-09-17 11:00:00,VEGA/USDT,1.2581,1.2604,1.2506,1.2564,2242.59,2822.22451421
1663408800,2022-09-17 10:00:00,VEGA/USDT,1.2561,1.2561,1.2523,1.2523,344.9201,432.07622055
1663405200,2022-09-17 09:00:00,VEGA/USDT,1.2597,1.2597,1.256,1.2592,28.7119,36.07836068
1663401600,2022-09-17 08:00:00,VEGA/USDT,1.2547,1.2547,1.2471,1.2471,239.9228,299.4474907
1663398000,2022-09-17 07:00:00,VEGA/USDT,1.2547,1.2547,1.2547,1.2547,36.0023,45.17208581
1663394400,2022-09-17 06:00:00,VEGA/USDT,1.2676,1.2677,1.2583,1.2583,7.7035,9.73952066
1663390800,2022-09-17 05:00:00,VEGA/USDT,1.2696,1.2701,1.2592,1.2592,4.6198,5.86592719
1663387200,2022-09-17 04:00:00,VEGA/USDT,1.2685,1.2696,1.2625,1.2629,241.2079,304.5650136
1663383600,2022-09-17 03:00:00,VEGA/USDT,1.2613,1.2652,1.2613,1.2652,395.9576,499.99987501
1663380000,2022-09-17 02:00:00,VEGA/USDT,1.2602,1.2602,1.2599,1.2599,3.6066,4.54499082
1663376400,2022-09-17 01:00:00,VEGA/USDT,1.2665,1.2676,1.2665,1.2676,0.3265,0.413625
1663372800,2022-09-17 00:00:00,VEGA/USDT,1.2579,1.2656,1.2579,1.2655,26.1653,32.98699213
1663369200,2022-09-16 23:00:00,VEGA/USDT,1.2553,1.2553,1.2553,1.2553,67.5423,84.78584919
1663365600,2022-09-16 22:00:00,VEGA/USDT,1.2631,1.2631,1.2631,1.2631,2.3135,2.92218185
