https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LACE,Volume USDT
1663459200,2022-09-18 00:00:00,LACE/USDT,0.0081,0.00848,0.00808,0.00819,644929.5224,5330.60061155
1663372800,2022-09-17 00:00:00,LACE/USDT,0.00777,0.0092,0.00775,0.00807,12864413.7439,108667.915102609
1663286400,2022-09-16 00:00:00,LACE/USDT,0.00794,0.0087,0.00763,0.00777,8058260.2109,64450.777974347
1663200000,2022-09-15 00:00:00,LACE/USDT,0.00771,0.00809,0.0076,0.00795,7928412.0587,61721.135444085
1663113600,2022-09-14 00:00:00,LACE/USDT,0.00823,0.00868,0.00761,0.00769,10946609.0849,87734.164328898
1663027200,2022-09-13 00:00:00,LACE/USDT,0.00805,0.01,0.00782,0.00823,20330373.3497,182624.504492214
1662940800,2022-09-12 00:00:00,LACE/USDT,0.00803,0.0089,0.00781,0.00804,6871032.9047,55742.24040231
1662854400,2022-09-11 00:00:00,LACE/USDT,0.00791,0.0085,0.00772,0.00803,7781274.5811,62267.736069902
1662768000,2022-09-10 00:00:00,LACE/USDT,0.00785,0.00992,0.00772,0.00791,10369013.6872,84666.572497293
1662681600,2022-09-09 00:00:00,LACE/USDT,0.00787,0.0079,0.0075,0.00788,7606216.7585,58590.292237775
1662595200,2022-09-08 00:00:00,LACE/USDT,0.00844,0.00846,0.00779,0.00791,8836332.4696,71276.597773815
1662508800,2022-09-07 00:00:00,LACE/USDT,0.00751,0.013,0.0074,0.00844,28960549.38,271813.72350679
1662422400,2022-09-06 00:00:00,LACE/USDT,0.00782,0.0085,0.00743,0.00753,7225854.0684,57475.401360447
1662336000,2022-09-05 00:00:00,LACE/USDT,0.00801,0.00804,0.0075,0.00782,6242757.4891,48269.021571032
1662249600,2022-09-04 00:00:00,LACE/USDT,0.00765,0.0089,0.00764,0.008,11266359.6593,93303.54867056
1662163200,2022-09-03 00:00:00,LACE/USDT,0.00782,0.00809,0.00752,0.00764,5724056.4037,44623.639726627
1662076800,2022-09-02 00:00:00,LACE/USDT,0.00844,0.00844,0.00774,0.0078,6282537.4105,50170.160437991
1661990400,2022-09-01 00:00:00,LACE/USDT,0.00834,0.00944,0.00829,0.00844,13877072.3493,121168.909344262
1661904000,2022-08-31 00:00:00,LACE/USDT,0.00768,0.0085,0.0075,0.00837,7434103.15,57926.044500997
1661817600,2022-08-30 00:00:00,LACE/USDT,0.00779,0.00818,0.00751,0.00768,7013268.7846,54323.620017824
1661731200,2022-08-29 00:00:00,LACE/USDT,0.00849,0.00854,0.00742,0.00779,6767290.7773,53878.406972969
1661644800,2022-08-28 00:00:00,LACE/USDT,0.00811,0.00866,0.00801,0.00849,5961769.0696,49092.939588497
1661558400,2022-08-27 00:00:00,LACE/USDT,0.00834,0.00838,0.00799,0.00811,6094082.944,49618.451067317
1661472000,2022-08-26 00:00:00,LACE/USDT,0.00881,0.00907,0.00815,0.00836,5323870.165,45915.730919092
1661385600,2022-08-25 00:00:00,LACE/USDT,0.00855,0.00914,0.00841,0.00881,5735780.2873,50117.595680065
1661299200,2022-08-24 00:00:00,LACE/USDT,0.00909,0.00909,0.00815,0.00856,5033926.7958,43253.602780814
1661212800,2022-08-23 00:00:00,LACE/USDT,0.00917,0.0092,0.0088,0.00908,4169494.0195,37872.856768139
1661126400,2022-08-22 00:00:00,LACE/USDT,0.00961,0.01,0.00902,0.00918,4298483.7514,40270.340996967
1661040000,2022-08-21 00:00:00,LACE/USDT,0.00855,0.01034,0.00844,0.00965,5438009.3749,48279.985333993
1660953600,2022-08-20 00:00:00,LACE/USDT,0.00852,0.00889,0.00839,0.00855,4028188.1341,34764.847889148
1660867200,2022-08-19 00:00:00,LACE/USDT,0.00955,0.00958,0.00834,0.00852,4810450.7688,42427.738398419
1660780800,2022-08-18 00:00:00,LACE/USDT,0.0096,0.01019,0.0095,0.00958,3952284.1348,38564.202659141
