https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LOKI,Volume USDT
1663376400,2022-09-17 01:00:00,LOKI/USDT,0.2093,0.21005,0.20877,0.21,10990.1834,2301.926894097
1663372800,2022-09-17 00:00:00,LOKI/USDT,0.20995,0.21121,0.20948,0.20953,81744.7081,17187.833165152
1663369200,2022-09-16 23:00:00,LOKI/USDT,0.2086,0.21002,0.20776,0.20972,88653.9847,18525.680659959
1663365600,2022-09-16 22:00:00,LOKI/USDT,0.20933,0.21048,0.20861,0.20861,66316.3383,13889.894084369
1663362000,2022-09-16 21:00:00,LOKI/USDT,0.20803,0.21048,0.20775,0.20965,59826.5027,12523.492507937
1663358400,2022-09-16 20:00:00,LOKI/USDT,0.20639,0.21897,0.20635,0.20795,89727.8345,18789.114856244
1663354800,2022-09-16 19:00:00,LOKI/USDT,0.20636,0.20714,0.20599,0.20601,73474.5916,15166.34936401
1663351200,2022-09-16 18:00:00,LOKI/USDT,0.20564,0.2071,0.20516,0.20636,97806.5414,20166.236943478
1663347600,2022-09-16 17:00:00,LOKI/USDT,0.2077,0.2077,0.20533,0.20559,107058.2359,22076.195127907
1663344000,2022-09-16 16:00:00,LOKI/USDT,0.20914,0.20914,0.20629,0.20756,87886.8816,18231.498930561
1663340400,2022-09-16 15:00:00,LOKI/USDT,0.209,0.20993,0.20837,0.20908,86772.8131,18145.093521174
1663336800,2022-09-16 14:00:00,LOKI/USDT,0.20722,0.21046,0.20673,0.20928,85356.5501,17799.661150416
1663333200,2022-09-16 13:00:00,LOKI/USDT,0.20956,0.21204,0.20719,0.20719,82177.6223,17248.253620316
1663329600,2022-09-16 12:00:00,LOKI/USDT,0.21273,0.21297,0.20959,0.20959,71291.5463,15048.733590985
1663326000,2022-09-16 11:00:00,LOKI/USDT,0.21117,0.21298,0.20958,0.21252,45675.3026,9625.816502559
1663322400,2022-09-16 10:00:00,LOKI/USDT,0.2102,0.21129,0.20822,0.21118,69098.1572,14489.266853506
1663318800,2022-09-16 09:00:00,LOKI/USDT,0.20753,0.21114,0.20741,0.21033,72496.8387,15166.663516731
1663315200,2022-09-16 08:00:00,LOKI/USDT,0.20755,0.20864,0.20676,0.20715,84317.2295,17519.815425131
1663311600,2022-09-16 07:00:00,LOKI/USDT,0.2052,0.20848,0.20475,0.20743,75368.3259,15561.338729562
1663308000,2022-09-16 06:00:00,LOKI/USDT,0.20563,0.20675,0.2049,0.2051,56908.9983,11713.113839308
1663304400,2022-09-16 05:00:00,LOKI/USDT,0.20679,0.20697,0.20547,0.20555,71039.1529,14647.828073417
1663300800,2022-09-16 04:00:00,LOKI/USDT,0.20707,0.20809,0.20525,0.20673,69120.3635,14260.222248155
1663297200,2022-09-16 03:00:00,LOKI/USDT,0.2062,0.20708,0.2057,0.20688,82837.9133,17087.269410354
1663293600,2022-09-16 02:00:00,LOKI/USDT,0.20641,0.20649,0.20506,0.2062,62137.5844,12802.961841726
1663290000,2022-09-16 01:00:00,LOKI/USDT,0.20659,0.20713,0.2055,0.20641,73983.1857,15268.597097712
1663286400,2022-09-16 00:00:00,LOKI/USDT,0.20563,0.20743,0.20525,0.20669,108994.8334,22476.217647649
1663282800,2022-09-15 23:00:00,LOKI/USDT,0.2059,0.2061,0.2049,0.20567,69027.4158,14194.44954878
