https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KAVA,Volume USDT
1663462800,2022-09-18 01:00:00,KAVA/USDT,1.5972,1.599,1.5955,1.5982,11786.19168954,18821.43811935691
1663459200,2022-09-18 00:00:00,KAVA/USDT,1.6041,1.605,1.5909,1.5971,55528.71708616,88661.611721908108
1663455600,2022-09-17 23:00:00,KAVA/USDT,1.6031,1.6087,1.6008,1.6036,46435.42611267,74519.364453046209
1663452000,2022-09-17 22:00:00,KAVA/USDT,1.5925,1.6079,1.5923,1.6064,42466.05200021,67860.816543015106
1663448400,2022-09-17 21:00:00,KAVA/USDT,1.596,1.5963,1.5897,1.5925,47325.97625107,75431.341369396222
1663444800,2022-09-17 20:00:00,KAVA/USDT,1.5893,1.5972,1.5892,1.5965,44343.64700181,70627.938698489891
1663441200,2022-09-17 19:00:00,KAVA/USDT,1.5941,1.5941,1.5872,1.5884,37956.33562852,60330.360892790026
1663437600,2022-09-17 18:00:00,KAVA/USDT,1.5996,1.6019,1.5928,1.594,51233.09517026,81852.829189300913
1663434000,2022-09-17 17:00:00,KAVA/USDT,1.5974,1.6095,1.5953,1.5999,73465.52288707,117762.983414523167
1663430400,2022-09-17 16:00:00,KAVA/USDT,1.5915,1.5998,1.5901,1.5975,41708.93526947,66525.366520526951
1663426800,2022-09-17 15:00:00,KAVA/USDT,1.5926,1.593,1.588,1.5914,43226.35659528,68758.59724586578
1663423200,2022-09-17 14:00:00,KAVA/USDT,1.5901,1.5961,1.5828,1.594,43099.4185575,68584.048927000672
1663419600,2022-09-17 13:00:00,KAVA/USDT,1.6001,1.603,1.5885,1.5894,45673.53865615,72740.305024983728
1663416000,2022-09-17 12:00:00,KAVA/USDT,1.6006,1.6018,1.5889,1.6,49667.56573686,79324.538756501678
1663412400,2022-09-17 11:00:00,KAVA/USDT,1.598,1.6197,1.598,1.6011,56381.46043683,90639.782252381129
1663408800,2022-09-17 10:00:00,KAVA/USDT,1.5792,1.6036,1.5792,1.5967,61168.4565875,97580.816950807996
1663405200,2022-09-17 09:00:00,KAVA/USDT,1.5678,1.5805,1.5668,1.5789,43462.2361015,68456.216491286588
1663401600,2022-09-17 08:00:00,KAVA/USDT,1.5616,1.5714,1.5605,1.5678,46984.62232081,73510.450946030688
1663398000,2022-09-17 07:00:00,KAVA/USDT,1.5617,1.5633,1.5583,1.5622,37706.60006528,58847.937628987651
1663394400,2022-09-17 06:00:00,KAVA/USDT,1.5646,1.5682,1.5586,1.5616,40290.95777668,62987.910258079814
1663390800,2022-09-17 05:00:00,KAVA/USDT,1.5691,1.5695,1.5603,1.5625,47598.61663862,74445.87158079856
1663387200,2022-09-17 04:00:00,KAVA/USDT,1.567,1.5774,1.5646,1.5701,40950.13566534,64373.780885596387
1663383600,2022-09-17 03:00:00,KAVA/USDT,1.568,1.5735,1.5661,1.5669,44683.69684617,70131.569851419851
1663380000,2022-09-17 02:00:00,KAVA/USDT,1.5771,1.5786,1.5685,1.5685,49272.01090241,77511.638127036648
1663376400,2022-09-17 01:00:00,KAVA/USDT,1.5706,1.578,1.5706,1.576,40176.47677,63265.049982794233
1663372800,2022-09-17 00:00:00,KAVA/USDT,1.5691,1.5872,1.5672,1.5705,49910.77960905,78587.557958929479
1663369200,2022-09-16 23:00:00,KAVA/USDT,1.5664,1.5704,1.5595,1.5704,43416.07923687,67952.260302954823
1663365600,2022-09-16 22:00:00,KAVA/USDT,1.5753,1.5753,1.5637,1.5676,41548.13976904,65202.369685359627
1663362000,2022-09-16 21:00:00,KAVA/USDT,1.572,1.578,1.5664,1.573,56976.4011824,89621.641349487464
1663358400,2022-09-16 20:00:00,KAVA/USDT,1.5662,1.5745,1.5646,1.572,55601.2890694,87227.165316163739
1663354800,2022-09-16 19:00:00,KAVA/USDT,1.557,1.5704,1.5562,1.5645,50437.95801007,78900.363961262363
1663351200,2022-09-16 18:00:00,KAVA/USDT,1.5525,1.5682,1.5379,1.5565,52399.05566906,81401.618181682067
1663347600,2022-09-16 17:00:00,KAVA/USDT,1.5501,1.555,1.5345,1.5507,51356.96299275,79431.995641762074
