https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume STC,Volume USDT
1663372800,2022-09-17 00:00:00,STC/USDT,0.00385,0.003974,0.003814,0.003863,5718063.488,22136.2133721362
1663286400,2022-09-16 00:00:00,STC/USDT,0.0039,0.004,0.003814,0.003841,7267386.58165397,28738.96217775654158
1663200000,2022-09-15 00:00:00,STC/USDT,0.003928,0.003989,0.0039,0.0039,6130598.6764,24152.3478730715
1663113600,2022-09-14 00:00:00,STC/USDT,0.00395,0.00395,0.0039,0.003906,8761620.4195,34351.1845673994
1663027200,2022-09-13 00:00:00,STC/USDT,0.00408,0.00412,0.0039,0.00395,12257722.7753,49285.2927872246
1662940800,2022-09-12 00:00:00,STC/USDT,0.00408,0.00417,0.004002,0.004081,6823845.3424,27917.7914415506
1662854400,2022-09-11 00:00:00,STC/USDT,0.004078,0.004124,0.004,0.004095,5746397.4083,23424.5975142886
1662768000,2022-09-10 00:00:00,STC/USDT,0.004125,0.00422,0.00404,0.004078,4591567.0334,18769.438106992
1662681600,2022-09-09 00:00:00,STC/USDT,0.004049,0.004203,0.00403,0.004125,8230405.0909,34343.5515017821
1662595200,2022-09-08 00:00:00,STC/USDT,0.00408,0.004146,0.004003,0.004049,5873837.4982,23854.251938494
1662508800,2022-09-07 00:00:00,STC/USDT,0.004016,0.004219,0.004,0.00408,12269774.9745,49619.4434780586
1662422400,2022-09-06 00:00:00,STC/USDT,0.004176,0.004314,0.004,0.004005,11748325.7308,48440.7779589198
1662336000,2022-09-05 00:00:00,STC/USDT,0.004003,0.004338,0.004,0.004176,10682108.3319,43546.1695958078
1662249600,2022-09-04 00:00:00,STC/USDT,0.004024,0.00406,0.004,0.004,9182471.5276,37010.0848658604
1662163200,2022-09-03 00:00:00,STC/USDT,0.004,0.00406,0.004,0.004024,7688426.5507,30909.5543394378
1662076800,2022-09-02 00:00:00,STC/USDT,0.004016,0.0041,0.004,0.004,8999707.6593,36419.0443727872
1661990400,2022-09-01 00:00:00,STC/USDT,0.00404,0.004203,0.004,0.004038,11144394.1601,45607.6077099234
1661904000,2022-08-31 00:00:00,STC/USDT,0.004017,0.004076,0.004,0.004048,9858486.0984,39775.6673149585
1661817600,2022-08-30 00:00:00,STC/USDT,0.00401,0.004104,0.004,0.004,21364811.3222,86174.9327215339
1661731200,2022-08-29 00:00:00,STC/USDT,0.004102,0.004148,0.004,0.00402,15982995.708,65844.4081225005
1661644800,2022-08-28 00:00:00,STC/USDT,0.004101,0.004203,0.004101,0.004102,15527252.2082,64873.7821043315
1661558400,2022-08-27 00:00:00,STC/USDT,0.0042,0.00427,0.0041,0.004101,17209974.6798,71484.1364576908
1661472000,2022-08-26 00:00:00,STC/USDT,0.004191,0.004374,0.004055,0.0042,23881661.3617,100445.4444562946
1661385600,2022-08-25 00:00:00,STC/USDT,0.004259,0.004259,0.004154,0.004191,24442950.1082,103151.745317839
1661299200,2022-08-24 00:00:00,STC/USDT,0.00439,0.00445,0.004207,0.004258,16481453.4393,72723.0612607699
1661212800,2022-08-23 00:00:00,STC/USDT,0.004626,0.004643,0.00439,0.004413,18449673.8659,85179.5964052086
1661126400,2022-08-22 00:00:00,STC/USDT,0.00472,0.004722,0.0046,0.004643,25744780.9958,119358.4613995714
1661040000,2022-08-21 00:00:00,STC/USDT,0.004361,0.004775,0.004359,0.004696,18159232.8348,80817.8282975396
1660953600,2022-08-20 00:00:00,STC/USDT,0.004491,0.004519,0.004358,0.004359,17738419.0125,78451.507526805
1660867200,2022-08-19 00:00:00,STC/USDT,0.0047,0.004784,0.004364,0.0045,19624832.8059,89990.2164486995
1660780800,2022-08-18 00:00:00,STC/USDT,0.00463,0.00484,0.0046,0.00468,21384985.6335,100019.7248419336
1660694400,2022-08-17 00:00:00,STC/USDT,0.004412,0.004874,0.004302,0.004631,24444941.2232,108629.6459018485
1660608000,2022-08-16 00:00:00,STC/USDT,0.004502,0.004717,0.004358,0.004412,23791410.7498,107765.7100918262
1660521600,2022-08-15 00:00:00,STC/USDT,0.004418,0.004622,0.004385,0.004502,16109236.8082,72201.6766228861
1660435200,2022-08-14 00:00:00,STC/USDT,0.004479,0.004622,0.004238,0.004418,18802363.4539,81256.9501244224
1660348800,2022-08-13 00:00:00,STC/USDT,0.004723,0.00474,0.00435,0.00445,19453244.358,89925.142099635
1660262400,2022-08-12 00:00:00,STC/USDT,0.00489,0.005049,0.004641,0.00475,18039409.3292,87485.4643607048
