https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SAND3L,Volume USDT
1663462800,2022-09-18 01:00:00,SAND3L/USDT,0.001993,0.001993,0.00199,0.00199,40350.3894,80.3730999435
1663459200,2022-09-18 00:00:00,SAND3L/USDT,0.002029,0.002041,0.001969,0.001977,1904116.1995,3798.3142460737
1663455600,2022-09-17 23:00:00,SAND3L/USDT,0.002032,0.002112,0.00203,0.00203,2761622.5463,5732.6675048161
1663452000,2022-09-17 22:00:00,SAND3L/USDT,0.001989,0.002027,0.001984,0.002005,4403368.7184,8788.3686006716
1663448400,2022-09-17 21:00:00,SAND3L/USDT,0.001989,0.002039,0.001983,0.001984,614060.399,1237.9625206587
1663444800,2022-09-17 20:00:00,SAND3L/USDT,0.001971,0.001989,0.001947,0.001989,327873.7449,647.2917459691
1663441200,2022-09-17 19:00:00,SAND3L/USDT,0.001941,0.00197,0.001929,0.00197,202039.3793,394.2733626589
1663437600,2022-09-17 18:00:00,SAND3L/USDT,0.001965,0.001965,0.001943,0.001943,191857.6184,373.9757512116
1663434000,2022-09-17 17:00:00,SAND3L/USDT,0.002002,0.002002,0.001953,0.001964,307200.4115,605.5169579035
1663430400,2022-09-17 16:00:00,SAND3L/USDT,0.001974,0.002076,0.001961,0.001998,5767893.9325,11623.9422570921
1663426800,2022-09-17 15:00:00,SAND3L/USDT,0.001967,0.001977,0.00195,0.001977,216224.0687,423.000634614
1663423200,2022-09-17 14:00:00,SAND3L/USDT,0.001939,0.00199,0.001927,0.001972,8027501.8286,15714.0225506696
1663419600,2022-09-17 13:00:00,SAND3L/USDT,0.001876,0.001943,0.001875,0.001915,2177604.32,4155.3705458919
1663416000,2022-09-17 12:00:00,SAND3L/USDT,0.001844,0.001876,0.001843,0.001857,912500.1903,1690.989364035
1663412400,2022-09-17 11:00:00,SAND3L/USDT,0.001834,0.001847,0.001831,0.001847,536602.8649,983.0993976738
1663408800,2022-09-17 10:00:00,SAND3L/USDT,0.001854,0.001854,0.001811,0.001841,178519.0405,327.0251210713
1663405200,2022-09-17 09:00:00,SAND3L/USDT,0.001854,0.001854,0.001831,0.001846,264190.1923,486.0644935128
1663401600,2022-09-17 08:00:00,SAND3L/USDT,0.001859,0.001867,0.00185,0.001854,1174673.4796,2183.8839348236
1663398000,2022-09-17 07:00:00,SAND3L/USDT,0.001835,0.001848,0.001829,0.001833,1273492.3817,2336.0468481497
1663394400,2022-09-17 06:00:00,SAND3L/USDT,0.001845,0.001853,0.001835,0.001841,76499.42,141.430625888
1663390800,2022-09-17 05:00:00,SAND3L/USDT,0.001873,0.001873,0.001829,0.00183,155197.8778,287.5713914353
1663387200,2022-09-17 04:00:00,SAND3L/USDT,0.001875,0.001894,0.001868,0.00188,1363474.2444,2558.0732381425
1663383600,2022-09-17 03:00:00,SAND3L/USDT,0.00187,0.001877,0.001869,0.001875,285630.4058,534.4610701616
1663380000,2022-09-17 02:00:00,SAND3L/USDT,0.001891,0.001902,0.001873,0.001875,2350479.9337,4436.8340693582
1663376400,2022-09-17 01:00:00,SAND3L/USDT,0.001885,0.001891,0.001881,0.001891,602970.477,1139.9542612779
