https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SUSHI,Volume BTC
1663545600000.0,2022-09-19 00:00:00,SUSHI/BTC,5.296e-05,5.311e-05,5.289e-05,5.309e-05,43.34799397249953,0.002301345
1663459200000.0,2022-09-18 00:00:00,SUSHI/BTC,5.869e-05,5.869e-05,5.075e-05,5.296e-05,5730.4778134441085,0.303486105
1663372800000.0,2022-09-17 00:00:00,SUSHI/BTC,5.733e-05,5.877e-05,5.658e-05,5.869e-05,4164.8003066962,0.24443213
1663286400000.0,2022-09-16 00:00:00,SUSHI/BTC,5.653e-05,5.803e-05,5.568e-05,5.733e-05,2642.4137449851737,0.15148958
1663200000000.0,2022-09-15 00:00:00,SUSHI/BTC,5.884e-05,5.884e-05,5.628e-05,5.653e-05,2818.59127896692,0.159334965
1663113600000.0,2022-09-14 00:00:00,SUSHI/BTC,5.808e-05,5.934e-05,5.786e-05,5.884e-05,2387.1499830047587,0.140459905
1663027200000.0,2022-09-13 00:00:00,SUSHI/BTC,5.666e-05,6.003e-05,5.48e-05,5.808e-05,10125.40401170799,0.588083465
1662940800000.0,2022-09-12 00:00:00,SUSHI/BTC,5.998e-05,6.086e-05,5.647e-05,5.666e-05,4365.940434168725,0.247374185
1662854400000.0,2022-09-11 00:00:00,SUSHI/BTC,6.162e-05,6.319e-05,5.933e-05,5.998e-05,3547.3090196732246,0.212767595
1662768000000.0,2022-09-10 00:00:00,SUSHI/BTC,6.215e-05,6.461e-05,6.071e-05,6.162e-05,6051.5557448880245,0.372896865
1662681600000.0,2022-09-09 00:00:00,SUSHI/BTC,6.866e-05,6.879e-05,6.17e-05,6.215e-05,9336.079243765083,0.580237325
1662595200000.0,2022-09-08 00:00:00,SUSHI/BTC,6.5e-05,6.923e-05,6.215e-05,6.866e-05,13192.97924555782,0.905829955
1662508800000.0,2022-09-07 00:00:00,SUSHI/BTC,6.108e-05,6.545e-05,5.799e-05,6.5e-05,8294.965153846153,0.539172735
1662422400000.0,2022-09-06 00:00:00,SUSHI/BTC,6.26e-05,6.293e-05,5.953e-05,6.108e-05,13671.907743942369,0.835080125
1662336000000.0,2022-09-05 00:00:00,SUSHI/BTC,5.788e-05,6.272e-05,5.685e-05,6.26e-05,18406.603833865815,1.1522534
1662249600000.0,2022-09-04 00:00:00,SUSHI/BTC,5.708e-05,5.838e-05,5.664e-05,5.788e-05,5865.283604008293,0.339482615
1662163200000.0,2022-09-03 00:00:00,SUSHI/BTC,5.577e-05,5.72e-05,5.484e-05,5.708e-05,3330.8048353188506,0.19012234
1662076800000.0,2022-09-02 00:00:00,SUSHI/BTC,5.266e-05,5.666e-05,5.236e-05,5.577e-05,5183.286085709162,0.289071865
