https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume ZRX
1663545600000,2022-09-19 00:00:00,ZRX/ETH,0.00019962,0.0002008,0.00019912,0.00020045,0.08098179999999999,404.0
1663459200000,2022-09-18 00:00:00,ZRX/ETH,0.0001986,0.00020495,0.00019761,0.0001999,1.889234866519751,9450.89978249
1663372800000,2022-09-17 00:00:00,ZRX/ETH,0.00019744,0.00020272,0.00019641,0.00019854,1.7372095150970503,8749.92200613
1663286400000,2022-09-16 00:00:00,ZRX/ETH,0.0001905,0.00019873,0.00018905,0.00019701,1.703084722454917,8644.66129869
1663200000000,2022-09-15 00:00:00,ZRX/ETH,0.0001801,0.00019148,0.00017634,0.00019105,1.5944508809065256,8345.72562631
1663113600000,2022-09-14 00:00:00,ZRX/ETH,0.00018524,0.000188,0.00017864,0.00017903,1.21883624,6808
1663027200000,2022-09-13 00:00:00,ZRX/ETH,0.00018743,0.00019195,0.00017966,0.00018451,1.490735501986255,8079.42930999
1662940800000,2022-09-12 00:00:00,ZRX/ETH,0.00017758,0.00018946,0.00017615,0.00018643,1.59418237819117,8551.104319
1662854400000,2022-09-11 00:00:00,ZRX/ETH,0.00017576,0.00018042,0.00017356,0.00017754,1.5449530800000002,8702
1662768000000,2022-09-10 00:00:00,ZRX/ETH,0.00018218,0.00018434,0.00017535,0.00017567,1.5577074598566605,8867.23663606
1662681600000,2022-09-09 00:00:00,ZRX/ETH,0.00018616,0.00018616,0.00017874,0.00018279,1.6057726951865627,8784.79509375
1662595200000,2022-09-08 00:00:00,ZRX/ETH,0.00017443,0.00018686,0.00017342,0.00018631,1.6114754322395617,8649.43069207
1662508800000,2022-09-07 00:00:00,ZRX/ETH,0.00017519,0.00018115,0.00017299,0.0001739,1.539970063792669,8855.49202871
1662422400000,2022-09-06 00:00:00,ZRX/ETH,0.00018491,0.0001853,0.00017335,0.000175,1.6981357941747501,9703.63310957
1662336000000,2022-09-05 00:00:00,ZRX/ETH,0.00018979,0.00019183,0.00018354,0.0001847,1.5487095,8385.0
1662249600000,2022-09-04 00:00:00,ZRX/ETH,0.0001884,0.00019162,0.00018718,0.00018926,1.59337994,8419
