https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CELO,Volume BTC
1663459200,2022-09-18 00:00:00,CELO/BTC,0.00004046,0.00004047,0.00004029,0.00004035,6.8251,0.000275812332
1663372800,2022-09-17 00:00:00,CELO/BTC,0.00004032,0.00004074,0.00004017,0.00004038,269.1193,0.010902341248
1663286400,2022-09-16 00:00:00,CELO/BTC,0.00003955,0.00004048,0.00003917,0.00004026,2820.6684,0.111964621494
1663200000,2022-09-15 00:00:00,CELO/BTC,0.0000397,0.00003988,0.00003875,0.00003958,2255.1351,0.088120697189
1663113600,2022-09-14 00:00:00,CELO/BTC,0.00003911,0.00004012,0.00003866,0.00003973,1800.763,0.071040869718
1663027200,2022-09-13 00:00:00,CELO/BTC,0.00003939,0.00004011,0.00003831,0.00003913,1510.8717,0.059578927482
1662940800,2022-09-12 00:00:00,CELO/BTC,0.00004039,0.00004099,0.00003922,0.00003958,4442.8075,0.17890216523
1662854400,2022-09-11 00:00:00,CELO/BTC,0.00004107,0.00004141,0.00004017,0.00004048,746.6684,0.03051800534
1662768000,2022-09-10 00:00:00,CELO/BTC,0.00004163,0.0000429,0.00004072,0.00004097,1236.9917,0.051672377777
1662681600,2022-09-09 00:00:00,CELO/BTC,0.0000435,0.00004555,0.00004106,0.00004159,16475.9983,0.691861650968
1662595200,2022-09-08 00:00:00,CELO/BTC,0.00004222,0.00004362,0.00004145,0.00004336,6643.4054,0.279453486181
1662508800,2022-09-07 00:00:00,CELO/BTC,0.00004113,0.00004275,0.00004096,0.00004211,901.4269,0.037950662246
1662422400,2022-09-06 00:00:00,CELO/BTC,0.00004249,0.00004413,0.0000411,0.00004119,6619.2,0.285433014016
1662336000,2022-09-05 00:00:00,CELO/BTC,0.00004203,0.00004284,0.00004084,0.00004235,857.2122,0.036024339217
1662249600,2022-09-04 00:00:00,CELO/BTC,0.0000417,0.00004247,0.00004147,0.00004198,111.4948,0.004675411089
1662163200,2022-09-03 00:00:00,CELO/BTC,0.00004172,0.00004248,0.00004134,0.00004173,559.2112,0.023258115896
1662076800,2022-09-02 00:00:00,CELO/BTC,0.0000423,0.00004276,0.00004158,0.00004166,983.2482,0.04161659717
1661990400,2022-09-01 00:00:00,CELO/BTC,0.0000414,0.00004249,0.00004093,0.00004218,1092.5059,0.045454341882
1661904000,2022-08-31 00:00:00,CELO/BTC,0.00004047,0.0000417,0.0000401,0.00004103,1379.1739,0.056269348779
1661817600,2022-08-30 00:00:00,CELO/BTC,0.00004082,0.00004099,0.00003991,0.00004033,2501.5995,0.101532681942
1661731200,2022-08-29 00:00:00,CELO/BTC,0.00004003,0.00004075,0.00003959,0.00004069,1350.0935,0.053668050278
1661644800,2022-08-28 00:00:00,CELO/BTC,0.00004052,0.00004117,0.00003999,0.00003999,3708.524,0.15048958846
1661558400,2022-08-27 00:00:00,CELO/BTC,0.00004001,0.00004091,0.00003982,0.00004078,392.6758,0.015906338442
1661472000,2022-08-26 00:00:00,CELO/BTC,0.00004182,0.00004233,0.00003967,0.00003989,1727.0012,0.070633795767
1661385600,2022-08-25 00:00:00,CELO/BTC,0.00004213,0.00004295,0.00004144,0.00004195,2088.2754,0.087133703162
1661299200,2022-08-24 00:00:00,CELO/BTC,0.000042,0.00004324,0.00004157,0.0000419,935.0806,0.039647711081
1661212800,2022-08-23 00:00:00,CELO/BTC,0.000042,0.0000424,0.00004107,0.00004223,4929.3654,0.203903518433
1661126400,2022-08-22 00:00:00,CELO/BTC,0.00004316,0.00004337,0.00004108,0.00004193,897.1804,0.03767209055
1661040000,2022-08-21 00:00:00,CELO/BTC,0.00004257,0.00004365,0.00004242,0.00004319,2920.5512,0.12623900977
1660953600,2022-08-20 00:00:00,CELO/BTC,0.00004178,0.00004336,0.00004122,0.00004242,2078.4678,0.088337661294
1660867200,2022-08-19 00:00:00,CELO/BTC,0.00004081,0.00004198,0.00003943,0.00004165,8026.0252,0.327655996948
1660780800,2022-08-18 00:00:00,CELO/BTC,0.0000427,0.00004318,0.00004022,0.00004104,1319.4585,0.055986294927
1660694400,2022-08-17 00:00:00,CELO/BTC,0.00004411,0.00004503,0.00004227,0.00004262,16323.8605,0.716195086396
1660608000,2022-08-16 00:00:00,CELO/BTC,0.0000445,0.00004487,0.00004391,0.00004402,4209.4236,0.186798764214
1660521600,2022-08-15 00:00:00,CELO/BTC,0.00004506,0.00004571,0.00004407,0.00004445,5455.5822,0.245452726843
1660435200,2022-08-14 00:00:00,CELO/BTC,0.00004682,0.00004761,0.00004482,0.00004507,12837.8369,0.594066208162
1660348800,2022-08-13 00:00:00,CELO/BTC,0.00004699,0.00004786,0.00004661,0.00004691,4530.3653,0.213844821287
1660262400,2022-08-12 00:00:00,CELO/BTC,0.00004709,0.00004791,0.00004638,0.00004701,6182.6685,0.290931184109
1660176000,2022-08-11 00:00:00,CELO/BTC,0.00004741,0.00004869,0.00004602,0.00004711,5671.0197,0.266810081755
1660089600,2022-08-10 00:00:00,CELO/BTC,0.00004673,0.00004758,0.00004585,0.00004738,7116.9339,0.332379143407
1660003200,2022-08-09 00:00:00,CELO/BTC,0.00004729,0.00004973,0.00004626,0.00004674,13094.4561,0.631858584417
1659916800,2022-08-08 00:00:00,CELO/BTC,0.0000468,0.00004916,0.00004675,0.00004734,7095.6912,0.339993408976
1659830400,2022-08-07 00:00:00,CELO/BTC,0.00004662,0.00004945,0.00004591,0.00004676,11188.8769,0.529552097727
1659744000,2022-08-06 00:00:00,CELO/BTC,0.00004723,0.0000479,0.00004623,0.00004677,12933.0497,0.609872032811
1659657600,2022-08-05 00:00:00,CELO/BTC,0.00004547,0.00004816,0.00004513,0.00004741,9076.6521,0.421068635123
1659571200,2022-08-04 00:00:00,CELO/BTC,0.00004377,0.00004561,0.00004362,0.00004557,1490.7864,0.066244598238
1659484800,2022-08-03 00:00:00,CELO/BTC,0.0000439,0.00004455,0.00004297,0.00004377,3784.7543,0.165770856958
1659398400,2022-08-02 00:00:00,CELO/BTC,0.0000465,0.00004671,0.00004317,0.00004377,3281.7772,0.145030987708
1659312000,2022-08-01 00:00:00,CELO/BTC,0.00004406,0.00004848,0.00004387,0.00004645,9206.3413,0.425610720264
1659225600,2022-07-31 00:00:00,CELO/BTC,0.00004435,0.00004563,0.00004332,0.00004402,13355.6006,0.595913306621
1659139200,2022-07-30 00:00:00,CELO/BTC,0.00004159,0.00004535,0.00004126,0.0000443,10485.2228,0.458320465836
1659052800,2022-07-29 00:00:00,CELO/BTC,0.0000415,0.00004309,0.00004062,0.00004159,8713.4473,0.36143930333
1658966400,2022-07-28 00:00:00,CELO/BTC,0.00004043,0.00004206,0.0000397,0.00004094,6957.264,0.28239748008
1658880000,2022-07-27 00:00:00,CELO/BTC,0.00004003,0.00004066,0.0000394,0.00004006,3171.9624,0.127270190541
1658793600,2022-07-26 00:00:00,CELO/BTC,0.00004002,0.00004035,0.00003914,0.00004006,1731.8457,0.068850845163
1658707200,2022-07-25 00:00:00,CELO/BTC,0.00004184,0.00004204,0.00003984,0.00004012,1363.7063,0.055752866572
1658620800,2022-07-24 00:00:00,CELO/BTC,0.00004224,0.00004249,0.00004161,0.00004184,903.914,0.037981724502
