https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume YGG,Volume USDT
1663459200,2022-09-18 00:00:00,YGG/USDT,0.4478,0.4489,0.438,0.4393,3895.17231619,1721.446790835527
1663372800,2022-09-17 00:00:00,YGG/USDT,0.4186,0.4495,0.4162,0.4494,245104.79462109,105409.952704425482
1663286400,2022-09-16 00:00:00,YGG/USDT,0.4189,0.429,0.4066,0.4189,231389.70467492,96396.675261523444
1663200000,2022-09-15 00:00:00,YGG/USDT,0.438,0.49,0.4132,0.4199,334090.72807726,147590.06750632547
1663113600,2022-09-14 00:00:00,YGG/USDT,0.4422,0.4548,0.4191,0.439,273913.19812849,119561.445216985579
1663027200,2022-09-13 00:00:00,YGG/USDT,0.4809,0.4854,0.4397,0.4431,390498.64389973,179831.944575320861
1662940800,2022-09-12 00:00:00,YGG/USDT,0.5172,0.5183,0.4733,0.4811,259496.31493276,128558.09388304953
1662854400,2022-09-11 00:00:00,YGG/USDT,0.5138,0.5368,0.504,0.5192,444396.88709852,231296.436493020595
1662768000,2022-09-10 00:00:00,YGG/USDT,0.4968,0.545,0.4938,0.5157,462710.14299848,237741.094875826596
1662681600,2022-09-09 00:00:00,YGG/USDT,0.4707,0.5074,0.4697,0.4953,373779.8755701,185087.905997889488
1662595200,2022-09-08 00:00:00,YGG/USDT,0.4928,0.5069,0.4601,0.4707,290921.28776053,137922.237505533677
1662508800,2022-09-07 00:00:00,YGG/USDT,0.441,0.5082,0.4365,0.4923,434634.23412803,207304.679563772685
1662422400,2022-09-06 00:00:00,YGG/USDT,0.4854,0.5096,0.4323,0.4424,295680.37709264,139358.925803910681
1662336000,2022-09-05 00:00:00,YGG/USDT,0.5029,0.5067,0.4778,0.4866,144708.00955568,70767.441032675629
1662249600,2022-09-04 00:00:00,YGG/USDT,0.5229,0.5276,0.489,0.5036,258956.87196787,131186.199646481846
1662163200,2022-09-03 00:00:00,YGG/USDT,0.4803,0.5454,0.4728,0.5229,622697.23452665,318370.792518753606
1662076800,2022-09-02 00:00:00,YGG/USDT,0.4887,0.5031,0.4701,0.4792,163743.69417301,79592.338370047478
1661990400,2022-09-01 00:00:00,YGG/USDT,0.4791,0.4925,0.4651,0.4883,267423.66037889,128232.333780021747
1661904000,2022-08-31 00:00:00,YGG/USDT,0.494,0.5201,0.474,0.4776,219379.73160229,108173.03928389865
1661817600,2022-08-30 00:00:00,YGG/USDT,0.5304,0.5703,0.4874,0.4929,220793.79352272,116514.293515770325
1661731200,2022-08-29 00:00:00,YGG/USDT,0.4799,0.5556,0.4732,0.5305,427762.75805066,222909.544210433852
1661644800,2022-08-28 00:00:00,YGG/USDT,0.5136,0.5299,0.4771,0.4799,173930.36236467,88573.73808197265
1661558400,2022-08-27 00:00:00,YGG/USDT,0.5154,0.524,0.5,0.5124,192342.40745869,98771.5314219674
1661472000,2022-08-26 00:00:00,YGG/USDT,0.5817,0.5889,0.5088,0.5151,226638.73764209,124581.754335650053
1661385600,2022-08-25 00:00:00,YGG/USDT,0.578,0.6053,0.5681,0.5815,162811.91507443,95670.910276356774
1661299200,2022-08-24 00:00:00,YGG/USDT,0.591,0.6018,0.5751,0.5768,133598.3548538,78293.680569767947
1661212800,2022-08-23 00:00:00,YGG/USDT,0.6043,0.6147,0.5806,0.5919,139245.61839397,82921.902589705883
1661126400,2022-08-22 00:00:00,YGG/USDT,0.6106,0.6506,0.5772,0.6064,353468.53008009,215654.080557083283
1661040000,2022-08-21 00:00:00,YGG/USDT,0.5674,0.6694,0.5626,0.612,805113.9820454,494001.991983588941
1660953600,2022-08-20 00:00:00,YGG/USDT,0.569,0.6,0.5326,0.5693,328792.38083441,185906.068120865467
1660867200,2022-08-19 00:00:00,YGG/USDT,0.6532,0.6536,0.5658,0.5692,346361.90317895,207008.548440730756
1660780800,2022-08-18 00:00:00,YGG/USDT,0.653,0.7185,0.6462,0.6532,575177.11934544,398486.899010174483
1660694400,2022-08-17 00:00:00,YGG/USDT,0.708,0.733,0.6486,0.6545,184537.14856453,125408.139931688939
1660608000,2022-08-16 00:00:00,YGG/USDT,0.7214,0.7539,0.7023,0.7102,151187.39499209,108305.05117893225
1660521600,2022-08-15 00:00:00,YGG/USDT,0.7466,0.7806,0.708,0.7228,151164.37220724,112386.547645000353
1660435200,2022-08-14 00:00:00,YGG/USDT,0.7835,0.8054,0.7419,0.7479,149900.31760373,116258.214030422312
1660348800,2022-08-13 00:00:00,YGG/USDT,0.7914,0.8117,0.7772,0.7831,168559.32538473,133423.532833023906
1660262400,2022-08-12 00:00:00,YGG/USDT,0.7667,0.7937,0.754,0.7932,83016.6495683,64133.81731365122
1660176000,2022-08-11 00:00:00,YGG/USDT,0.7902,0.8127,0.7629,0.7671,154606.97748913,122264.793096686185
1660089600,2022-08-10 00:00:00,YGG/USDT,0.7607,0.8088,0.7387,0.791,168981.24749826,130943.596026003179
1660003200,2022-08-09 00:00:00,YGG/USDT,0.8336,0.846,0.7368,0.7624,402818.01911421,315190.661692938318
1659916800,2022-08-08 00:00:00,YGG/USDT,0.7975,0.8537,0.7953,0.8321,332498.03114804,275458.924013318386
1659830400,2022-08-07 00:00:00,YGG/USDT,0.7992,0.8174,0.7829,0.7986,157689.3968121,125772.24194388355
1659744000,2022-08-06 00:00:00,YGG/USDT,0.825,0.849,0.7969,0.7994,204400.05786863,168074.500428717316
1659657600,2022-08-05 00:00:00,YGG/USDT,0.7938,0.8284,0.7924,0.8265,186947.2129315,151668.836607056823
