https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume RUB,tradecount
1663545600000,2022-09-19 00:00:00,ETH/RUB,80757.40000000,80757.40000000,80518.00000000,80542.00000000,0.81300000,65484.05490000,3
1663542000000,2022-09-18 23:00:00,ETH/RUB,81064.50000000,81505.10000000,80490.00000000,80490.00000000,0.80510000,65120.93943000,13
1663538400000,2022-09-18 22:00:00,ETH/RUB,80287.10000000,81000.00000000,80234.40000000,81000.00000000,1.45770000,117259.55156000,17
1663534800000,2022-09-18 21:00:00,ETH/RUB,82531.30000000,82789.40000000,80000.00000000,80580.40000000,18.94210000,1526792.72953000,131
1663531200000,2022-09-18 20:00:00,ETH/RUB,83413.90000000,83413.90000000,82687.20000000,82687.20000000,6.21740000,516950.53803000,44
1663527600000,2022-09-18 19:00:00,ETH/RUB,82824.30000000,83757.90000000,82700.00000000,83354.80000000,2.71780000,225803.49603000,34
1663524000000,2022-09-18 18:00:00,ETH/RUB,83384.00000000,83546.30000000,82578.80000000,83218.80000000,17.77750000,1480602.46235000,73
1663520400000,2022-09-18 17:00:00,ETH/RUB,84459.80000000,84459.80000000,82753.00000000,82753.00000000,10.75390000,899376.08244000,63
1663516800000,2022-09-18 16:00:00,ETH/RUB,85164.20000000,85164.20000000,83892.10000000,84158.20000000,5.69860000,480320.41253000,62
1663513200000,2022-09-18 15:00:00,ETH/RUB,85802.90000000,85984.90000000,85384.30000000,85490.80000000,1.19560000,102587.39518000,23
1663509600000,2022-09-18 14:00:00,ETH/RUB,86479.30000000,86479.30000000,85163.10000000,85803.70000000,5.91180000,507333.85015000,55
1663506000000,2022-09-18 13:00:00,ETH/RUB,86923.00000000,86923.00000000,86419.70000000,86569.90000000,8.15560000,706392.96391000,39
1663502400000,2022-09-18 12:00:00,ETH/RUB,86415.40000000,86829.30000000,86158.30000000,86829.30000000,2.82520000,244037.39891000,27
1663498800000,2022-09-18 11:00:00,ETH/RUB,86500.00000000,86703.30000000,86342.70000000,86415.50000000,2.98010000,257899.37951000,28
1663495200000,2022-09-18 10:00:00,ETH/RUB,85815.10000000,87112.20000000,85815.10000000,86547.90000000,2.41280000,208779.22638000,36
1663491600000,2022-09-18 09:00:00,ETH/RUB,87721.00000000,87902.00000000,86000.00000000,86000.00000000,10.80350000,934248.45191000,81
1663488000000,2022-09-18 08:00:00,ETH/RUB,87623.80000000,88054.50000000,87623.80000000,87909.10000000,3.32940000,292557.28546000,30
1663484400000,2022-09-18 07:00:00,ETH/RUB,87706.10000000,87889.80000000,87522.40000000,87831.60000000,2.41950000,211995.77362000,25
1663480800000,2022-09-18 06:00:00,ETH/RUB,87903.60000000,88139.90000000,87626.60000000,87706.10000000,0.99150000,87150.39639000,17
1663477200000,2022-09-18 05:00:00,ETH/RUB,87719.60000000,88125.90000000,87484.20000000,87884.00000000,2.75880000,242403.32825000,29
1663473600000,2022-09-18 04:00:00,ETH/RUB,87447.90000000,87797.80000000,87327.20000000,87737.60000000,0.89960000,78657.43113000,9
1663470000000,2022-09-18 03:00:00,ETH/RUB,87418.50000000,87418.50000000,87255.50000000,87416.50000000,0.43320000,37860.60691000,5
1663466400000,2022-09-18 02:00:00,ETH/RUB,87543.50000000,87798.70000000,87510.90000000,87798.70000000,1.00050000,87805.34763000,11
1663462800000,2022-09-18 01:00:00,ETH/RUB,87610.30000000,87922.00000000,87543.50000000,87543.50000000,0.37670000,33031.36664000,5
1663459200000,2022-09-18 00:00:00,ETH/RUB,88102.80000000,88102.80000000,87541.50000000,87697.90000000,0.83730000,73419.64256000,8
1663455600000,2022-09-17 23:00:00,ETH/RUB,88450.50000000,88914.50000000,88450.00000000,88914.50000000,0.12770000,11345.31905000,6
1663452000000,2022-09-17 22:00:00,ETH/RUB,87571.60000000,88303.70000000,87571.60000000,88303.70000000,1.47420000,129954.09769000,11
1663448400000,2022-09-17 21:00:00,ETH/RUB,88122.00000000,88154.70000000,87175.30000000,87399.90000000,2.89150000,253369.47941000,21
1663444800000,2022-09-17 20:00:00,ETH/RUB,88339.00000000,88339.00000000,88163.50000000,88207.60000000,1.23580000,109068.63420000,12
1663441200000,2022-09-17 19:00:00,ETH/RUB,88628.10000000,88628.10000000,88230.80000000,88546.70000000,0.82000000,72457.93971000,12
1663437600000,2022-09-17 18:00:00,ETH/RUB,89180.00000000,89180.00000000,88473.80000000,88628.10000000,3.43000000,304346.57491000,23
