https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MANA3S,Volume USDT
1663459200,2022-09-18 00:00:00,MANA3S/USDT,0.6849,0.6849,0.6849,0.6849,27.3451,18.72865899
1663372800,2022-09-17 00:00:00,MANA3S/USDT,0.7086,0.7311,0.6762,0.6762,20470.6828,14321.76067373
1663286400,2022-09-16 00:00:00,MANA3S/USDT,0.7729,0.8066,0.6948,0.7166,28658.3517,21133.69282251
1663200000,2022-09-15 00:00:00,MANA3S/USDT,0.7124,0.8091,0.7124,0.7743,20316.7279,15471.05150887
1663113600,2022-09-14 00:00:00,MANA3S/USDT,0.7555,0.7806,0.6873,0.7024,21427.9852,15747.25653254
1663027200,2022-09-13 00:00:00,MANA3S/USDT,0.609,0.7588,0.5881,0.7512,66308.1285,44032.16199118
1662940800,2022-09-12 00:00:00,MANA3S/USDT,0.5876,0.6315,0.5386,0.6073,40868.4003,24040.14175996
1662854400,2022-09-11 00:00:00,MANA3S/USDT,0.5641,0.6082,0.5467,0.5848,13399.8401,7697.6773979
1662768000,2022-09-10 00:00:00,MANA3S/USDT,0.5725,0.5918,0.5267,0.5659,23437.3969,13021.88212717
1662681600,2022-09-09 00:00:00,MANA3S/USDT,0.6617,0.6617,0.5403,0.5805,26474.1608,15793.96413141
1662595200,2022-09-08 00:00:00,MANA3S/USDT,0.6821,0.7251,0.6631,0.6669,29891.685,20687.71170449
1662508800,2022-09-07 00:00:00,MANA3S/USDT,0.7806,0.8211,0.6687,0.6905,33986.7045,25647.71250826
1662422400,2022-09-06 00:00:00,MANA3S/USDT,0.6442,0.7934,0.59,0.7756,60082.5954,42128.87148874
1662336000,2022-09-05 00:00:00,MANA3S/USDT,0.602,0.6674,0.5906,0.6415,34650.4451,22095.58548255
1662249600,2022-09-04 00:00:00,MANA3S/USDT,0.6525,0.6656,0.5703,0.6029,63134.9755,38638.85177393
1662163200,2022-09-03 00:00:00,MANA3S/USDT,0.6925,0.7162,0.6527,0.6543,12193.4773,8372.14871613
1662076800,2022-09-02 00:00:00,MANA3S/USDT,0.6784,0.7076,0.6251,0.6837,47095.6165,31019.44249454
1661990400,2022-09-01 00:00:00,MANA3S/USDT,0.7005,0.7555,0.6703,0.6785,48515.7232,34440.10868748
1661904000,2022-08-31 00:00:00,MANA3S/USDT,0.6897,0.6993,0.6265,0.6922,11747.61647388,7823.154151524447
1661817600,2022-08-30 00:00:00,MANA3S/USDT,0.6405,0.745,0.612,0.6935,44027.5525905,29669.236576030735
1661731200,2022-08-29 00:00:00,MANA3S/USDT,0.7853,0.8095,0.6253,0.6405,38380.03280249,27712.024610618578
1661644800,2022-08-28 00:00:00,MANA3S/USDT,0.7108,0.7976,0.6692,0.7886,46731.24586007,33749.042370746823
1661558400,2022-08-27 00:00:00,MANA3S/USDT,0.7181,0.7741,0.6981,0.71,38906.56865267,28356.866611562436
1661472000,2022-08-26 00:00:00,MANA3S/USDT,0.5854,0.7443,0.5626,0.7064,130893.88132507,84030.974583394973
1661385600,2022-08-25 00:00:00,MANA3S/USDT,0.5971,0.6099,0.5526,0.577,47491.22294488,27482.321122264781
1661299200,2022-08-24 00:00:00,MANA3S/USDT,0.5832,0.6406,0.5446,0.5962,50941.03314357,30233.575825503243
1661212800,2022-08-23 00:00:00,MANA3S/USDT,0.5995,0.659,0.5809,0.5889,73564.42483282,44710.603721082915
1661126400,2022-08-22 00:00:00,MANA3S/USDT,0.5591,0.6523,0.558,0.6002,132019.40083564,81905.062393485754
1661040000,2022-08-21 00:00:00,MANA3S/USDT,0.5955,0.6134,0.5358,0.5545,86044.52789118,48566.820741863824
1660953600,2022-08-20 00:00:00,MANA3S/USDT,0.572,0.6418,0.5315,0.5963,167147.07832669,96635.684791565697
1660867200,2022-08-19 00:00:00,MANA3S/USDT,0.4639,0.5999,0.4559,0.5764,191265.06613632,104532.861655252652
1660780800,2022-08-18 00:00:00,MANA3S/USDT,0.4038,0.4838,0.3756,0.4639,102303.15289793,42325.96528596505
1660694400,2022-08-17 00:00:00,MANA3S/USDT,0.3451,0.41,0.3141,0.4043,92250.40571788,34600.372673941243
1660608000,2022-08-16 00:00:00,MANA3S/USDT,0.3188,0.3513,0.3118,0.3483,98753.69895967,33299.830314248646
1660521600,2022-08-15 00:00:00,MANA3S/USDT,0.3081,0.3384,0.268,0.3196,249584.4808717,74734.466660690134
1660435200,2022-08-14 00:00:00,MANA3S/USDT,0.3153,0.3204,0.2564,0.3024,211077.43688036,61114.578739055811
1660348800,2022-08-13 00:00:00,MANA3S/USDT,0.308,0.3178,0.2842,0.3153,66118.7633103,20102.799102510397
1660262400,2022-08-12 00:00:00,MANA3S/USDT,0.3218,0.3447,0.307,0.3087,98337.9514818,32007.117144217541
1660176000,2022-08-11 00:00:00,MANA3S/USDT,0.3025,0.3287,0.2914,0.3221,196445.76437932,60595.457397401418
1660089600,2022-08-10 00:00:00,MANA3S/USDT,0.3646,0.3819,0.3005,0.3065,197083.83611903,65789.62179128742
1660003200,2022-08-09 00:00:00,MANA3S/USDT,0.3036,0.3775,0.2914,0.3599,369102.05678034,126714.367761689945
1659916800,2022-08-08 00:00:00,MANA3S/USDT,0.3284,0.3308,0.2745,0.3036,273055.74216879,80713.05732307318
1659830400,2022-08-07 00:00:00,MANA3S/USDT,0.3405,0.3647,0.3057,0.3291,207790.64051488,68536.553286004255
1659744000,2022-08-06 00:00:00,MANA3S/USDT,0.3163,0.341,0.3001,0.3376,364729.97134281,117923.605139879326
1659657600,2022-08-05 00:00:00,MANA3S/USDT,0.4108,0.4163,0.3116,0.3203,318327.66391335,118064.599170313619
1659571200,2022-08-04 00:00:00,MANA3S/USDT,0.4591,0.4602,0.3666,0.4133,399071.49899671,167410.042004275921
1659484800,2022-08-03 00:00:00,MANA3S/USDT,0.4664,0.4998,0.4048,0.4575,454968.49356424,199357.635660007667
1659398400,2022-08-02 00:00:00,MANA3S/USDT,0.3995,0.4867,0.3846,0.467,570346.75896,261742.4956551711
1659312000,2022-08-01 00:00:00,MANA3S/USDT,0.4529,0.4705,0.3642,0.3962,379202.98646405,160062.633683082577
1659225600,2022-07-31 00:00:00,MANA3S/USDT,0.412,0.4629,0.3674,0.4481,246282.96216017,99284.389037006799
1659139200,2022-07-30 00:00:00,MANA3S/USDT,0.4536,0.4545,0.2925,0.4106,559316.167696,205178.757900699567
1659052800,2022-07-29 00:00:00,MANA3S/USDT,0.4447,0.4916,0.377,0.461,267989.7489479,117905.137614021376
1658966400,2022-07-28 00:00:00,MANA3S/USDT,0.4872,0.5419,0.4215,0.4447,236359.74356067,115121.150820103061
1658880000,2022-07-27 00:00:00,MANA3S/USDT,0.6663,0.7266,0.4855,0.4883,254525.56585623,155753.264263321016
1658793600,2022-07-26 00:00:00,MANA3S/USDT,0.6706,0.7405,0.6617,0.6627,194583.33523077,135630.78212925181
1658707200,2022-07-25 00:00:00,MANA3S/USDT,0.5224,0.678,0.5145,0.6715,382012.64130084,231729.315037594309
1658620800,2022-07-24 00:00:00,MANA3S/USDT,0.5003,0.5304,0.4232,0.5245,292960.30294678,143702.00844293734
1658534400,2022-07-23 00:00:00,MANA3S/USDT,0.5882,0.6153,0.431,0.5054,486136.73510175,246466.78993842468
