https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDC,Volume USDT,tradecount
1663545600000,2022-09-19 00:00:00,USDC/USDT,1.00000000,1.00010000,1.00000000,1.00000000,479815.00000000,479839.60260000,290
1663542000000,2022-09-18 23:00:00,USDC/USDT,1.00000000,1.00010000,1.00000000,1.00000000,3332639.00000000,3332776.85330000,1530
1663538400000,2022-09-18 22:00:00,USDC/USDT,1.00000000,1.00010000,1.00000000,1.00000000,2534624.00000000,2534658.81690000,2409
1663534800000,2022-09-18 21:00:00,USDC/USDT,1.00010000,1.00010000,1.00000000,1.00000000,6848559.00000000,6848789.16740000,4878
1663531200000,2022-09-18 20:00:00,USDC/USDT,1.00010000,1.00010000,1.00000000,1.00010000,1657570.00000000,1657690.29640000,1510
1663527600000,2022-09-18 19:00:00,USDC/USDT,1.00010000,1.00010000,1.00000000,1.00010000,1597231.00000000,1597332.24220000,1469
1663524000000,2022-09-18 18:00:00,USDC/USDT,1.00010000,1.00010000,1.00000000,1.00010000,3926610.00000000,3926694.77250000,1763
1663520400000,2022-09-18 17:00:00,USDC/USDT,1.00000000,1.00010000,1.00000000,1.00000000,5601350.00000000,5601431.29840000,2060
1663516800000,2022-09-18 16:00:00,USDC/USDT,1.00000000,1.00010000,1.00000000,1.00000000,5422267.00000000,5422333.66180000,2271
1663513200000,2022-09-18 15:00:00,USDC/USDT,0.99990000,1.00010000,0.99990000,1.00000000,13420432.00000000,13420554.42720000,2018
1663509600000,2022-09-18 14:00:00,USDC/USDT,1.00000000,1.00010000,0.99990000,0.99990000,15555349.00000000,15555379.17390000,2477
1663506000000,2022-09-18 13:00:00,USDC/USDT,1.00000000,1.00010000,0.99990000,1.00000000,5845895.00000000,5845872.35280000,2433
1663502400000,2022-09-18 12:00:00,USDC/USDT,0.99990000,1.00000000,0.99990000,1.00000000,863950.00000000,863892.34450000,830
1663498800000,2022-09-18 11:00:00,USDC/USDT,1.00000000,1.00000000,0.99990000,1.00000000,803122.00000000,803071.23440000,744
1663495200000,2022-09-18 10:00:00,USDC/USDT,1.00000000,1.00000000,0.99990000,0.99990000,2699742.00000000,2699641.33640000,1304
1663491600000,2022-09-18 09:00:00,USDC/USDT,1.00000000,1.00000000,0.99990000,1.00000000,2368064.00000000,2367978.28770000,1524
1663488000000,2022-09-18 08:00:00,USDC/USDT,0.99990000,1.00000000,0.99990000,1.00000000,1269932.00000000,1269890.17080000,905
1663484400000,2022-09-18 07:00:00,USDC/USDT,0.99990000,1.00000000,0.99990000,0.99990000,1317346.00000000,1317310.17840000,686
1663480800000,2022-09-18 06:00:00,USDC/USDT,1.00000000,1.00000000,0.99990000,1.00000000,5933251.00000000,5933224.63130000,1114
1663477200000,2022-09-18 05:00:00,USDC/USDT,1.00000000,1.00000000,0.99990000,1.00000000,399987.00000000,399969.59900000,425
1663473600000,2022-09-18 04:00:00,USDC/USDT,1.00000000,1.00000000,0.99990000,0.99990000,1062349.00000000,1062274.51290000,531
1663470000000,2022-09-18 03:00:00,USDC/USDT,0.99990000,1.00000000,0.99990000,0.99990000,325307.00000000,325293.60230000,601
1663466400000,2022-09-18 02:00:00,USDC/USDT,1.00000000,1.00000000,0.99990000,0.99990000,2228152.00000000,2228063.32480000,1083
1663462800000,2022-09-18 01:00:00,USDC/USDT,1.00000000,1.00000000,0.99990000,1.00000000,843510.00000000,843491.60790000,1041
1663459200000,2022-09-18 00:00:00,USDC/USDT,0.99990000,1.00000000,0.99990000,0.99990000,1477136.00000000,1477081.74210000,990
1663455600000,2022-09-17 23:00:00,USDC/USDT,0.99990000,1.00000000,0.99990000,0.99990000,845371.00000000,845312.60900000,749
1663452000000,2022-09-17 22:00:00,USDC/USDT,1.00000000,1.00000000,0.99990000,0.99990000,726121.00000000,726088.38650000,970
1663448400000,2022-09-17 21:00:00,USDC/USDT,1.00000000,1.00000000,0.99990000,1.00000000,811977.00000000,811916.47700000,1180
1663444800000,2022-09-17 20:00:00,USDC/USDT,1.00000000,1.00000000,0.99990000,1.00000000,587724.00000000,587693.38450000,703
1663441200000,2022-09-17 19:00:00,USDC/USDT,0.99990000,1.00000000,0.99990000,0.99990000,477049.00000000,477021.98380000,624
1663437600000,2022-09-17 18:00:00,USDC/USDT,0.99990000,1.00000000,0.99990000,0.99990000,648002.00000000,647952.60060000,647
