https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume ETH
1663545600000,2022-09-19 00:00:00,ETH/EUR,1331.4044,1350.9512,1330.888,1350.5934,17218.470961265808,12.74881912
1663459200000,2022-09-18 00:00:00,ETH/EUR,1467.1091,1467.1091,1325.392,1332.0742,302989.77437248005,227.45712992
1663372800000,2022-09-17 00:00:00,ETH/EUR,1429.8172,1473.9818,1411.3761,1467.6604,336113.25526733877,229.0129619
1663286400000,2022-09-16 00:00:00,ETH/EUR,1476.3677,1484.2161,1409.9381,1430.5681,344380.65568019566,240.72999788
1663200000000,2022-09-15 00:00:00,ETH/EUR,1637.2549,1655.79,1464.4779,1474.6904,396425.3207074954,268.81935402
1663113600000,2022-09-14 00:00:00,ETH/EUR,1579.9474,1649.2672,1564.0557,1641.3352,309146.9884815233,188.35091606
1663027200000,2022-09-13 00:00:00,ETH/EUR,1694.4642,1725.06,1570.0464,1579.727,381381.6964108378,241.42253466
1662940800000,2022-09-12 00:00:00,ETH/EUR,1752.5279,1764.8434,1673.8326,1694.6407,389195.64538821275,229.66263314
1662854400000,2022-09-11 00:00:00,ETH/EUR,1767.3915,1775.43,1707.395,1750.7288,429580.36770363885,245.37230878
1662768000000,2022-09-10 00:00:00,ETH/EUR,1708.3275,1775.3492,1699.7914,1766.7195,450955.4605792168,255.25017445
1662681600000,2022-09-09 00:00:00,ETH/EUR,1635.1186,1733.09,1626.0135,1710.9455,456080.30455388466,266.56623753
1662595200000,2022-09-08 00:00:00,ETH/EUR,1627.9637,1659.9097,1600.8125,1636.5041,498874.5975728737,304.84164236
1662508800000,2022-09-07 00:00:00,ETH/EUR,1574.2816,1653.0489,1512.9349,1627.9966,394242.07443023677,242.16394213
1662422400000,2022-09-06 00:00:00,ETH/EUR,1624.3176,1696.9779,1574.3672,1574.3672,375293.4626113364,238.37733828
1662336000000,2022-09-05 00:00:00,ETH/EUR,1591.3229,1633.9719,1570.4699,1624.2169,373625.0915499261,230.03398841
1662249600000,2022-09-04 00:00:00,ETH/EUR,1562.6466,1591.3816,1549.9549,1591.344,360465.7089494131,226.51652248
1662163200000,2022-09-03 00:00:00,ETH/EUR,1582.4615,1587.5252,1544.3259,1564.2915,357021.6199836821,228.23215493
1662076800000,2022-09-02 00:00:00,ETH/EUR,1593.3038,1644.2191,1559.0884,1582.4319,372769.5916253768,235.56754109
