https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume VET,Volume USDT
1663459200,2022-09-18 00:00:00,VET/USDT,0.0243334,0.0243391,0.02407,0.024106,543253.56086906,13119.206893540756441
1663372800,2022-09-17 00:00:00,VET/USDT,0.0233753,0.024382,0.0233602,0.0243502,28850618.06292788,685438.76381908384699
1663286400,2022-09-16 00:00:00,VET/USDT,0.0232078,0.0235693,0.022923,0.0233797,24255391.337852,564129.184982299696417
1663200000,2022-09-15 00:00:00,VET/USDT,0.0240025,0.0241403,0.022936,0.0231921,63437282.78125737,1491605.935728432636919
1663113600,2022-09-14 00:00:00,VET/USDT,0.0235263,0.024236,0.0233434,0.0240086,59479114.77516414,1417211.821222869756711
1663027200,2022-09-13 00:00:00,VET/USDT,0.0257128,0.025774,0.02339,0.0235249,86161652.55878346,2117744.969015554353036
1662940800,2022-09-12 00:00:00,VET/USDT,0.0257319,0.0265564,0.02526,0.0257056,70922805.66445992,1838851.214763039565314
1662854400,2022-09-11 00:00:00,VET/USDT,0.0256961,0.026046,0.0251677,0.0257163,30026086.75194155,770643.177090766389711
1662768000,2022-09-10 00:00:00,VET/USDT,0.0256662,0.02604,0.0253241,0.025696,47774106.29043467,1227866.151987968943003
1662681600,2022-09-09 00:00:00,VET/USDT,0.0242668,0.0259333,0.0242137,0.0256649,49818486.98985673,1259616.102118634803215
1662595200,2022-09-08 00:00:00,VET/USDT,0.02379,0.0243929,0.023453,0.0242526,33570423.13441789,802534.446275086706622
1662508800,2022-09-07 00:00:00,VET/USDT,0.0229337,0.0239868,0.0225517,0.023804,60181923.47130951,1400586.215817915378074
1662422400,2022-09-06 00:00:00,VET/USDT,0.0244894,0.025276,0.0227031,0.0229195,74778422.09600699,1790577.854782019674094
1662336000,2022-09-05 00:00:00,VET/USDT,0.0250125,0.025162,0.0239858,0.0244642,34688495.68077149,849123.035793482073675
1662249600,2022-09-04 00:00:00,VET/USDT,0.02424,0.0251915,0.0240618,0.0250014,37943194.08014324,935678.578541089044484
1662163200,2022-09-03 00:00:00,VET/USDT,0.0241071,0.0243085,0.023746,0.024237,30058589.0212524,723648.280058698918669
1662076800,2022-09-02 00:00:00,VET/USDT,0.0243174,0.024886,0.023755,0.0241039,39561725.95702055,961402.943472618784707
1661990400,2022-09-01 00:00:00,VET/USDT,0.0242213,0.02442,0.023328,0.0243134,45679461.77501495,1090925.880458967759381
1661904000,2022-08-31 00:00:00,VET/USDT,0.0243588,0.025115,0.0240868,0.0242212,36178150.43376197,890447.747097741839132
1661817600,2022-08-30 00:00:00,VET/USDT,0.0248523,0.0253636,0.0237286,0.024325,40312482.41099152,986961.152034239241884
1661731200,2022-08-29 00:00:00,VET/USDT,0.0236585,0.024944,0.02341,0.0248698,35815739.74516433,867417.904739120509209
1661644800,2022-08-28 00:00:00,VET/USDT,0.0244352,0.02482,0.023558,0.0236572,29608950.37949153,722334.124054511139515
1661558400,2022-08-27 00:00:00,VET/USDT,0.0244217,0.024837,0.024,0.024419,30908730.58322489,754623.290291399603762
1661472000,2022-08-26 00:00:00,VET/USDT,0.0267259,0.027258,0.02412,0.0244318,79536727.28130988,2049965.21934343906214
1661385600,2022-08-25 00:00:00,VET/USDT,0.0262168,0.0271772,0.02621,0.0267263,34731729.46948104,926158.937655719040231
1661299200,2022-08-24 00:00:00,VET/USDT,0.0264524,0.0269457,0.02567,0.0262119,42300140.36359507,1114746.71205843691571
1661212800,2022-08-23 00:00:00,VET/USDT,0.026166,0.0266923,0.025272,0.026408,50791923.9237037,1326784.367321913133263
1661126400,2022-08-22 00:00:00,VET/USDT,0.0265671,0.0265745,0.0249435,0.026166,61679273.11648676,1585794.860343633095647
1661040000,2022-08-21 00:00:00,VET/USDT,0.0257561,0.027021,0.0256159,0.0265517,53770333.97917642,1418815.543857548413936
1660953600,2022-08-20 00:00:00,VET/USDT,0.0256949,0.0265414,0.0251951,0.0257637,67388715.46010432,1751577.153626273571267
1660867200,2022-08-19 00:00:00,VET/USDT,0.0281431,0.0281813,0.02542,0.0256949,75401279.36282017,2000101.729889576161684
1660780800,2022-08-18 00:00:00,VET/USDT,0.0292725,0.029856,0.0281223,0.028164,36010433.65572385,1052916.528018586774899
1660694400,2022-08-17 00:00:00,VET/USDT,0.0306896,0.0319855,0.028954,0.029274,58833300.07808834,1771941.383574367052785
1660608000,2022-08-16 00:00:00,VET/USDT,0.0313775,0.0315825,0.0305172,0.030687,35015731.57307877,1083925.388242861668547
1660521600,2022-08-15 00:00:00,VET/USDT,0.032223,0.033201,0.0308495,0.0313374,43628248.43701841,1389546.819892970236984
1660435200,2022-08-14 00:00:00,VET/USDT,0.0329842,0.033841,0.0320114,0.032223,44352427.70671788,1461863.194919090439371
1660348800,2022-08-13 00:00:00,VET/USDT,0.0333675,0.03368,0.032697,0.0329557,43120193.35873079,1434713.008385538752039
1660262400,2022-08-12 00:00:00,VET/USDT,0.0327121,0.0337459,0.0322976,0.033354,55106687.69168912,1822000.678898048660721
1660176000,2022-08-11 00:00:00,VET/USDT,0.0327226,0.0335954,0.0324112,0.0326978,62221036.59047006,2048358.795693659924456
1660089600,2022-08-10 00:00:00,VET/USDT,0.0301994,0.0330174,0.029297,0.0327226,78439509.64542779,2480606.322449271526563
1660003200,2022-08-09 00:00:00,VET/USDT,0.0315,0.0318883,0.029631,0.0301713,48881980.4911808,1497996.021787191929467
1659916800,2022-08-08 00:00:00,VET/USDT,0.0312846,0.0327724,0.0312119,0.0314972,81466609.46865335,2602655.696144323587483
1659830400,2022-08-07 00:00:00,VET/USDT,0.030887,0.0317935,0.03052,0.0312692,33156379.40902384,1036917.386724814657097
1659744000,2022-08-06 00:00:00,VET/USDT,0.0314136,0.031921,0.0307556,0.030835,44686494.10577437,1408490.082182568003214
1659657600,2022-08-05 00:00:00,VET/USDT,0.0295581,0.0315,0.029244,0.0313985,91030379.82506331,2803328.546668437009197
1659571200,2022-08-04 00:00:00,VET/USDT,0.0293362,0.030341,0.028837,0.0295449,70780993.11763812,2087189.363784002968314
1659484800,2022-08-03 00:00:00,VET/USDT,0.0277952,0.0308434,0.027103,0.0293319,116525353.32018894,3425786.426371696495561
1659398400,2022-08-02 00:00:00,VET/USDT,0.0275766,0.029312,0.026198,0.0277872,113418702.02702942,3131845.154993159570266
1659312000,2022-08-01 00:00:00,VET/USDT,0.027088,0.028127,0.026824,0.0275927,65954159.03648122,1806416.627343679309288
1659225600,2022-07-31 00:00:00,VET/USDT,0.027407,0.0286212,0.0269317,0.0270991,105090911.94198027,2935789.57263340348472
1659139200,2022-07-30 00:00:00,VET/USDT,0.0266898,0.0285212,0.02638,0.0274051,89706761.01708473,2463707.552881128548192
1659052800,2022-07-29 00:00:00,VET/USDT,0.026354,0.0275485,0.025916,0.0266808,88042992.4708708,2361506.960302010855519
1658966400,2022-07-28 00:00:00,VET/USDT,0.025183,0.0267705,0.024765,0.0263517,82326588.61882185,2122982.36229610196178
1658880000,2022-07-27 00:00:00,VET/USDT,0.0233181,0.0251821,0.02286,0.0251701,59327226.01717519,1420566.409036856074946
1658793600,2022-07-26 00:00:00,VET/USDT,0.0233336,0.023379,0.0225058,0.02333,72695655.23363058,1667661.070325893570924
1658707200,2022-07-25 00:00:00,VET/USDT,0.0250374,0.025179,0.0231978,0.0233212,61699998.57143053,1492479.445680599398791
1658620800,2022-07-24 00:00:00,VET/USDT,0.0250304,0.0257551,0.024816,0.0250423,47135077.01825832,1193518.002761963661193
1658534400,2022-07-23 00:00:00,VET/USDT,0.0252573,0.02586,0.024418,0.0250184,56673887.46266371,1423043.577405089601642
1658448000,2022-07-22 00:00:00,VET/USDT,0.0253433,0.026826,0.025125,0.0252449,96878063.82698722,2516487.373113263905981
1658361600,2022-07-21 00:00:00,VET/USDT,0.025321,0.0257145,0.024323,0.0253324,87504395.58987738,2197758.507424260922406
1658275200,2022-07-20 00:00:00,VET/USDT,0.026114,0.0273837,0.0253,0.0253199,162233075.16938076,4308985.106579517338561
1658188800,2022-07-19 00:00:00,VET/USDT,0.0247532,0.02645,0.0240202,0.026121,133114196.9899551,3366138.403249679689533
