https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KNC,Volume EUR
1663545600,2022-09-19 00:00:00,KNC/EUR,1.43160,1.43160,1.41480,1.41480,236.73898273,334.938312766404
1663459200,2022-09-18 00:00:00,KNC/EUR,1.92499,1.92499,1.30000,1.43209,91037.55367968,130373.97024913294
1663372800,2022-09-17 00:00:00,KNC/EUR,1.91537,1.97829,1.88106,1.88572,4530.20350436,8542.695352241739
1663286400,2022-09-16 00:00:00,KNC/EUR,1.99419,1.99419,1.88882,1.88882,2943.98413957,5560.656122502607
1663200000,2022-09-15 00:00:00,KNC/EUR,1.89787,2.05000,1.89787,2.01335,5924.78961399,11928.675169326767
1663113600,2022-09-14 00:00:00,KNC/EUR,1.94238,1.94238,1.87979,1.94047,2838.64572943,5508.306878587032
1663027200,2022-09-13 00:00:00,KNC/EUR,1.86976,1.98769,1.81628,1.95447,10208.56108690,19952.32638751344
1662940800,2022-09-12 00:00:00,KNC/EUR,1.99276,1.99276,1.89097,1.90894,2196.61852840,4193.212973603896
1662854400,2022-09-11 00:00:00,KNC/EUR,2.05569,2.06634,1.95185,1.97442,6031.92877824,11909.56081833262
1662768000,2022-09-10 00:00:00,KNC/EUR,1.84799,2.06346,1.84707,2.03756,17688.58089761,36041.54489373424
1662681600,2022-09-09 00:00:00,KNC/EUR,1.81000,1.86094,1.81000,1.83595,3653.39441890,6707.449483379454
1662595200,2022-09-08 00:00:00,KNC/EUR,1.75000,1.84538,1.74178,1.78900,1712.28415630,3063.2763556206996
1662508800,2022-09-07 00:00:00,KNC/EUR,1.75049,1.75049,1.69601,1.74500,6210.65597525,10837.59467681125
1662422400,2022-09-06 00:00:00,KNC/EUR,1.74658,1.76995,1.67912,1.70036,3427.04592556,5827.211809985201
1662336000,2022-09-05 00:00:00,KNC/EUR,1.70000,1.74657,1.65199,1.74452,1863.13595900,3250.27794319468
1662249600,2022-09-04 00:00:00,KNC/EUR,1.70061,1.80734,1.66282,1.80324,4008.11137362,7227.586753366529
1662163200,2022-09-03 00:00:00,KNC/EUR,1.75000,1.75311,1.71000,1.71000,388.39431553,664.1542795562999
1662076800,2022-09-02 00:00:00,KNC/EUR,1.79311,1.82827,1.75832,1.82827,1189.05256905,2173.9091404170435
1661990400,2022-09-01 00:00:00,KNC/EUR,1.79469,1.79469,1.70236,1.76449,6118.21364925,10795.526801965132
