https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1663473600000,2022-09-18 04:00:00,ETH/USD,1451.05,1460.0,1325.0,1352.18,13294.928639,17977136.60708302
1663387200000,2022-09-17 04:00:00,ETH/USD,1439.59,1476.02,1409.75,1451.05,6534.034616,9481210.9295468
1663300800000,2022-09-16 04:00:00,ETH/USD,1473.87,1473.87,1406.0,1439.59,7738.755516,11140635.053278439
1663214400000,2022-09-15 04:00:00,ETH/USD,1606.83,1653.09,1446.94,1473.87,27326.420047,40275590.71467189
1663128000000,2022-09-14 04:00:00,ETH/USD,1603.24,1653.09,1558.5,1606.83,10364.912604,16654652.519485317
1663041600000,2022-09-13 04:00:00,ETH/USD,1715.79,1762.0,1552.78,1603.24,34398.988758,55149834.73637592
1662955200000,2022-09-12 04:00:00,ETH/USD,1728.65,1766.03,1676.19,1715.79,15671.564253,26889113.22965487
1662868800000,2022-09-11 04:00:00,ETH/USD,1764.9,1789.18,1714.45,1728.65,10324.378137,17847236.26652505
1662782400000,2022-09-10 04:00:00,ETH/USD,1734.65,1789.0,1709.02,1764.9,6552.820662,11565073.186363801
1662696000000,2022-09-09 04:00:00,ETH/USD,1671.96,1746.77,1670.66,1734.65,25841.475406,44825915.313017905
1662609600000,2022-09-08 04:00:00,ETH/USD,1630.38,1675.98,1595.54,1671.96,20799.066994,34775208.05128824
1662523200000,2022-09-07 04:00:00,ETH/USD,1509.78,1657.19,1509.78,1630.38,11158.466084,18192539.934031922
1662436800000,2022-09-06 04:00:00,ETH/USD,1640.61,1686.66,1492.0,1509.78,32410.418336,48932601.39532608
1662350400000,2022-09-05 04:00:00,ETH/USD,1575.56,1675.0,1557.7,1640.61,11716.633723,19222426.45229103
1662264000000,2022-09-04 04:00:00,ETH/USD,1552.39,1592.51,1541.41,1575.56,6022.632986,9489019.62742216
1662177600000,2022-09-03 04:00:00,ETH/USD,1561.43,1573.1,1535.0,1552.39,6203.790538,9630702.39328582
1662091200000,2022-09-02 04:00:00,ETH/USD,1597.07,1648.13,1547.0,1561.43,15929.089092,24872157.58092156
1662004800000,2022-09-01 04:00:00,ETH/USD,1550.09,1605.23,1513.18,1597.07,17772.838129,28384466.59068203
1661918400000,2022-08-31 04:00:00,ETH/USD,1606.37,1606.37,1529.02,1550.09,11661.61751,18076556.6860759
1661832000000,2022-08-30 04:00:00,ETH/USD,1543.57,1614.25,1474.0,1606.37,38506.389347,61855508.65534038
1661745600000,2022-08-29 04:00:00,ETH/USD,1455.89,1560.0,1439.97,1543.57,18798.366943,29016595.26220651
1661659200000,2022-08-28 04:00:00,ETH/USD,1492.24,1504.43,1422.14,1455.89,10169.920367,14806285.363111632
1661572800000,2022-08-27 04:00:00,ETH/USD,1501.8,1510.58,1449.0,1492.24,12180.961435,18176917.8917644
