https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UST,Volume EUR
1663545600000,2022-09-19 00:00:00,EUR/UST,1.0017,1.0028,1.0007,1.0014,9118.758230733785,9106.00981699
1663459200000,2022-09-18 00:00:00,EUR/UST,1.0008,1.0025,1.0001,1.002,164219.52596895798,163891.74248399
1663372800000,2022-09-17 00:00:00,EUR/UST,1.001,1.0026,1.0002,1.0016,70986.76823107038,70873.37083773
1663286400000,2022-09-16 00:00:00,EUR/UST,0.99833,1.0028,0.99411,1.0012,727295.9092023047,726424.20016211
1663200000000,2022-09-15 00:00:00,EUR/UST,0.99799,1.0024,0.99458,0.99833,862863.9938577355,864307.38719435
1663113600000,2022-09-14 00:00:00,EUR/UST,0.99716,1.0022,0.99615,0.99744,771497.6297079286,773477.73270365
1663027200000,2022-09-13 00:00:00,EUR/UST,1.0127,1.0258,0.99493,0.9976,1529060.6789547105,1532739.2531623
1662940800000,2022-09-12 00:00:00,EUR/UST,1.007,1.0195,1.0059,1.013,1062890.7325718154,1049250.47637889
1662854400000,2022-09-11 00:00:00,EUR/UST,1.0053,1.0109,1.0037,1.007,397696.1051906435,394931.58410193
1662768000000,2022-09-10 00:00:00,EUR/UST,1.0166,1.03,1.0036,1.0044,887146.429280199,883260.08490661
1662681600000,2022-09-09 00:00:00,EUR/UST,1.0011,1.03,0.99795,1.03,1234949.0367914091,1198979.6473703
1662595200000,2022-09-08 00:00:00,EUR/UST,0.99991,1.01,0.99398,1.0011,818078.4529923495,817179.55548132
1662508800000,2022-09-07 00:00:00,EUR/UST,0.98981,1.01,0.988,0.99953,422608.5936167147,422807.31305385
1662422400000,2022-09-06 00:00:00,EUR/UST,0.99477,1.0001,0.988,0.98976,453212.79190332926,457901.70536628
1662336000000,2022-09-05 00:00:00,EUR/UST,0.99144,0.99612,0.98803,0.99476,264182.6308010155,265574.23981766
1662249600000,2022-09-04 00:00:00,EUR/UST,0.9962,0.99687,0.99053,0.99104,133792.57090265298,135002.1905298
1662163200000,2022-09-03 00:00:00,EUR/UST,0.99449,1.0,0.9942,0.99545,281225.11957407097,282510.54254264
1662076800000,2022-09-02 00:00:00,EUR/UST,0.99444,1.0033,0.99395,0.99503,679899.8982014979,683295.87871873
1661990400000,2022-09-01 00:00:00,EUR/UST,1.0033,1.0049,0.99215,0.99443,757873.4668752364,762118.46673495
1661904000000,2022-08-31 00:00:00,EUR/UST,1.0023,1.0071,0.9966,1.0035,541440.7199775359,539552.28697313
1661817600000,2022-08-30 00:00:00,EUR/UST,1.0003,1.0045,0.99754,1.0026,359637.24715530535,358704.6151559
1661731200000,2022-08-29 00:00:00,EUR/UST,0.99333,1.002,0.9906,1.0002,829230.9708984534,829065.1578668801
1661644800000,2022-08-28 00:00:00,EUR/UST,0.99653,0.99807,0.99169,0.99333,283943.87851749826,285850.50136158
1661558400000,2022-08-27 00:00:00,EUR/UST,0.99582,0.99732,0.99451,0.996,165808.64727563015,166474.54545746
