https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KZT,Volume USDT
1663549200000,2022-09-19 01:00:00,USDT/KZT,470.896,471.8543,469.186,469.4222,41778.5758,89.0
1663545600000,2022-09-19 00:00:00,USDT/KZT,472.0124,474.0,469.1797,470.7707,170800.68280146262,362.81077561
1663542000000,2022-09-18 23:00:00,USDT/KZT,471.8383,475.0,468.7327,471.2611,164059.61523620205,348.1289146
1663538400000,2022-09-18 22:00:00,USDT/KZT,469.5072,472.293,468.7429,469.1564,187193.40360000002,399.0
1663534800000,2022-09-18 21:00:00,USDT/KZT,467.9133,473.1533,467.9093,471.7567,190182.23587601178,403.13626892
1663531200000,2022-09-18 20:00:00,USDT/KZT,468.6896,472.0,467.9019,468.8844,185194.42822629504,394.9682016
1663527600000,2022-09-18 19:00:00,USDT/KZT,472.0,472.0,466.0,469.7841,210486.35898405578,448.0491336
1663524000000,2022-09-18 18:00:00,USDT/KZT,470.1,472.0,467.8223,467.8359,214664.81657827608,458.84639588
1663520400000,2022-09-18 17:00:00,USDT/KZT,469.7282,470.1795,467.8107,468.8806,170672.53840000002,364.0
1663516800000,2022-09-18 16:00:00,USDT/KZT,469.2798,470.1893,467.8988,468.9475,161786.88749999998,345.0
1663513200000,2022-09-18 15:00:00,USDT/KZT,469.4385,470.1534,466.0,468.9832,310144.2115802285,661.3119864
1663509600000,2022-09-18 14:00:00,USDT/KZT,468.8367,470.185,466.0,470.1153,183520.32239038456,390.37300507
1663506000000,2022-09-18 13:00:00,USDT/KZT,472.6222,472.6222,467.8415,468.2503,169506.6086,362.0
1663502400000,2022-09-18 12:00:00,USDT/KZT,472.0583,472.6988,466.0,471.5233,178113.17199809584,377.73991656
1663498800000,2022-09-18 11:00:00,USDT/KZT,471.7581,472.6916,469.1127,470.833,191629.03100000002,407.0
1663495200000,2022-09-18 10:00:00,USDT/KZT,472.5195,472.7869,466.0,470.8608,289172.0630257444,614.13492698
1663491600000,2022-09-18 09:00:00,USDT/KZT,474.2632,475.7875,466.0,472.7903,240640.47078737573,508.9792891
1663488000000,2022-09-18 08:00:00,USDT/KZT,467.6042,480.0,467.0179,472.5181,189045.89568039673,400.08180783
1663484400000,2022-09-18 07:00:00,USDT/KZT,473.4852,474.1852,466.7929,472.6838,177729.10880000002,376.0
1663480800000,2022-09-18 06:00:00,USDT/KZT,470.1025,474.1414,467.0812,471.4456,177263.5456,376.0
1663477200000,2022-09-18 05:00:00,USDT/KZT,473.2712,474.1655,466.7387,470.4396,187705.40039999998,399.0
1663473600000,2022-09-18 04:00:00,USDT/KZT,470.4089,474.2785,466.6462,471.975,184070.25,390.0
1663470000000,2022-09-18 03:00:00,USDT/KZT,472.6406,475.1856,469.02,470.1548,166904.954,355.0
1663466400000,2022-09-18 02:00:00,USDT/KZT,474.4717,475.2072,469.4754,473.7872,185250.7952,391.0
1663462800000,2022-09-18 01:00:00,USDT/KZT,475.0708,475.0708,468.9221,472.6022,190931.28879999998,404.0
