https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume EUR
1663545600,2022-09-19 00:00:00,LINK/EUR,7.53,7.53,7.50,7.50,99.34000000,745.0500000000001
1663459200,2022-09-18 00:00:00,LINK/EUR,8.07,8.13,7.37,7.47,52903.08733195,395186.0623696665
1663372800,2022-09-17 00:00:00,LINK/EUR,7.66,8.13,7.66,8.09,26609.60661229,215271.7174934261
1663286400,2022-09-16 00:00:00,LINK/EUR,7.56,7.80,7.43,7.60,32865.37421751,249776.84405307597
1663200000,2022-09-15 00:00:00,LINK/EUR,7.46,7.60,7.03,7.59,58371.94806011,443043.0857762349
1663113600,2022-09-14 00:00:00,LINK/EUR,7.02,7.50,7.02,7.49,39212.35321011,293700.5255437239
1663027200,2022-09-13 00:00:00,LINK/EUR,7.62,7.82,7.06,7.09,55182.23671620,391242.058317858
1662940800,2022-09-12 00:00:00,LINK/EUR,7.96,8.21,7.53,7.64,35613.16538573,272084.58354697714
1662854400,2022-09-11 00:00:00,LINK/EUR,7.89,8.13,7.71,7.97,51308.31596716,408927.27825826517
1662768000,2022-09-10 00:00:00,LINK/EUR,7.69,7.97,7.59,7.87,34841.11462250,274199.572079075
1662681600,2022-09-09 00:00:00,LINK/EUR,7.40,8.06,7.40,7.69,79513.22146136,611456.6730378583
1662595200,2022-09-08 00:00:00,LINK/EUR,7.10,7.50,7.02,7.40,61656.32493336,456256.80450686405
1662508800,2022-09-07 00:00:00,LINK/EUR,6.70,7.14,6.67,7.09,36224.41936483,256831.1332966447
1662422400,2022-09-06 00:00:00,LINK/EUR,7.41,7.57,6.65,6.78,57744.01715247,391504.4362937466
1662336000,2022-09-05 00:00:00,LINK/EUR,7.26,7.45,7.15,7.41,49206.75744081,364622.0726364021
1662249600,2022-09-04 00:00:00,LINK/EUR,6.89,7.29,6.83,7.14,8848.26129227,63176.58562680779
1662163200,2022-09-03 00:00:00,LINK/EUR,6.94,6.99,6.77,6.88,19683.90172737,135425.24388430562
1662076800,2022-09-02 00:00:00,LINK/EUR,6.93,7.21,6.83,6.94,42999.35965010,298415.555971694
1661990400,2022-09-01 00:00:00,LINK/EUR,6.63,7.00,6.45,6.94,28935.21620590,200810.40046894603
1661904000,2022-08-31 00:00:00,LINK/EUR,6.58,6.87,6.53,6.60,31358.91057328,206968.809783648
1661817600,2022-08-30 00:00:00,LINK/EUR,6.68,6.81,6.37,6.55,36851.31198092,241376.093475026
1661731200,2022-08-29 00:00:00,LINK/EUR,6.30,6.71,6.24,6.71,31955.32771387,214420.2489600677
1661644800,2022-08-28 00:00:00,LINK/EUR,6.55,6.65,6.27,6.27,42130.17119220,264156.173375094
1661558400,2022-08-27 00:00:00,LINK/EUR,6.52,6.64,6.45,6.56,60121.89725471,394399.64599089755
1661472000,2022-08-26 00:00:00,LINK/EUR,7.07,7.16,6.44,6.50,65230.27396515,423996.780773475
1661385600,2022-08-25 00:00:00,LINK/EUR,7.15,7.36,7.04,7.14,50927.26080503,363620.64214791416
1661299200,2022-08-24 00:00:00,LINK/EUR,7.27,7.40,7.06,7.15,41141.42879991,294161.2159193565
1661212800,2022-08-23 00:00:00,LINK/EUR,7.10,7.37,6.83,7.27,83524.33640419,607221.9256584613
1661126400,2022-08-22 00:00:00,LINK/EUR,7.06,7.09,6.69,7.07,63550.16275540,449299.650680678
1661040000,2022-08-21 00:00:00,LINK/EUR,6.88,7.14,6.86,7.09,73354.73599973,520085.07823808567
1660953600,2022-08-20 00:00:00,LINK/EUR,6.88,7.18,6.65,6.88,106115.66417923,730075.7695531024
1660867200,2022-08-19 00:00:00,LINK/EUR,7.57,7.62,6.81,6.86,103849.74704275,712409.264713265
1660780800,2022-08-18 00:00:00,LINK/EUR,7.91,8.10,7.56,7.57,95565.66698701,723432.0990916657
1660694400,2022-08-17 00:00:00,LINK/EUR,8.30,8.58,7.85,7.92,93989.08856164,744393.5814081888
1660608000,2022-08-16 00:00:00,LINK/EUR,8.52,8.67,8.24,8.31,73504.80884560,610824.961506936
1660521600,2022-08-15 00:00:00,LINK/EUR,8.53,8.82,8.33,8.51,75890.24272808,645825.9656159608
1660435200,2022-08-14 00:00:00,LINK/EUR,8.92,9.13,8.46,8.55,88534.55544512,756970.4490557761
1660348800,2022-08-13 00:00:00,LINK/EUR,9.08,9.23,8.83,8.89,63736.12261223,566614.1300227247
1660262400,2022-08-12 00:00:00,LINK/EUR,8.67,9.26,8.54,9.11,86265.01128741,785874.2528283051
1660176000,2022-08-11 00:00:00,LINK/EUR,8.80,8.96,8.56,8.69,105040.03325308,912797.888969265
1660089600,2022-08-10 00:00:00,LINK/EUR,8.51,9.01,8.13,8.80,157593.11711974,1386819.430653712
1660003200,2022-08-09 00:00:00,LINK/EUR,8.40,8.79,8.08,8.61,155350.06011159,1337564.0175607898
1659916800,2022-08-08 00:00:00,LINK/EUR,8.18,8.61,8.11,8.45,89433.37751502,755712.0400019189
1659830400,2022-08-07 00:00:00,LINK/EUR,7.65,8.21,7.52,8.18,48539.67633684,397054.5524353512
1659744000,2022-08-06 00:00:00,LINK/EUR,7.73,7.92,7.61,7.65,68886.11300246,526978.764468819
1659657600,2022-08-05 00:00:00,LINK/EUR,7.18,7.75,7.18,7.72,67090.33342927,517937.3740739644
1659571200,2022-08-04 00:00:00,LINK/EUR,7.17,7.41,7.03,7.19,58647.83944170,421677.96558582305
1659484800,2022-08-03 00:00:00,LINK/EUR,7.06,7.49,6.95,7.18,62901.57372271,451633.2993290578
1659398400,2022-08-02 00:00:00,LINK/EUR,7.38,7.47,6.85,7.05,69691.53394671,491325.31432430545
1659312000,2022-08-01 00:00:00,LINK/EUR,7.49,7.69,7.23,7.39,64267.82417868,474939.2206804452
1659225600,2022-07-31 00:00:00,LINK/EUR,7.63,7.91,7.44,7.52,61998.15061568,466226.0926299136
