https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume USDT
1663545600000,2022-09-19 00:00:00,USDT/USD,1.106797,1.107497,1.106797,1.107497,9736.699538147956,8791.62610657
1663459200000,2022-09-18 00:00:00,USDT/USD,1.10189,1.109,1.10014,1.106798,306738.47004242725,277140.42674673
1663372800000,2022-09-17 00:00:00,USDT/USD,1.103151,1.104502,1.100907,1.101889,261909.53260337046,237691.3941453
1663286400000,2022-09-16 00:00:00,USDT/USD,1.104814,1.106666,1.102808,1.103067,263959.32812195935,239295.82529616
1663200000000,2022-09-15 00:00:00,USDT/USD,1.098239,1.10548,1.097926,1.10497,207135.72426289282,187458.23349312
1663113600000,2022-09-14 00:00:00,USDT/USD,1.096144,1.1,1.094877,1.098239,145211.22919311927,132221.88357281
1663027200000,2022-09-13 00:00:00,USDT/USD,1.083846,1.096067,1.075949,1.096067,469619.4516293115,428458.70884655
1662940800000,2022-09-12 00:00:00,USDT/USD,1.085216,1.085947,1.081187,1.083846,131658.69380444774,121473.61692016
1662854400000,2022-09-11 00:00:00,USDT/USD,1.087915,1.088085,1.084956,1.085384,87946.41516081298,81027.92667002
1662768000000,2022-09-10 00:00:00,USDT/USD,1.094404,1.094838,1.087777,1.087916,101712.24536860536,93492.73782958
1662681600000,2022-09-09 00:00:00,USDT/USD,1.10188,1.110387,1.094384,1.09444,207512.31132308766,189605.9275274
1662595200000,2022-09-08 00:00:00,USDT/USD,1.105034,1.108065,1.101449,1.101831,110788.51462945178,100549.46233084
1662508800000,2022-09-07 00:00:00,USDT/USD,1.102829,1.109278,1.101749,1.105034,136031.36088151377,123101.51622621
1662422400000,2022-09-06 00:00:00,USDT/USD,1.102901,1.108613,1.098,1.102829,216998.1160495555,196764.9708609
1662336000000,2022-09-05 00:00:00,USDT/USD,1.1024,1.11,1.101046,1.102976,242818.0309236773,220148.06389593
1662249600000,2022-09-04 00:00:00,USDT/USD,1.103845,1.103987,1.1024,1.102401,76472.2678764033,69368.83028626
1662163200000,2022-09-03 00:00:00,USDT/USD,1.10303,1.103975,1.102167,1.103845,70131.13585375347,63533.49958894
1662076800000,2022-09-02 00:00:00,USDT/USD,1.102702,1.104479,1.10081,1.103029,164839.70406548763,149442.76539011
1661990400000,2022-09-01 00:00:00,USDT/USD,1.112285,1.122973,1.098249,1.102702,387817.1549378219,351697.15384376
1661904000000,2022-08-31 00:00:00,USDT/USD,1.106837,1.112345,1.103368,1.112298,143548.4258476392,129055.72593643
1661817600000,2022-08-30 00:00:00,USDT/USD,1.103705,1.107314,1.103554,1.106837,143720.13874310735,129847.60966891
1661731200000,2022-08-29 00:00:00,USDT/USD,1.105483,1.106491,1.103014,1.103705,124395.39813570245,112707.10754749
1661644800000,2022-08-28 00:00:00,USDT/USD,1.104789,1.105483,1.102125,1.105483,80067.264171869,72427.40428561
1661558400000,2022-08-27 00:00:00,USDT/USD,1.10574,1.106489,1.103716,1.104789,106546.18534760251,96440.30248998
1661472000000,2022-08-26 00:00:00,USDT/USD,1.100511,1.105847,1.096123,1.10574,265977.79449759354,240542.7989379
1661385600000,2022-08-25 00:00:00,USDT/USD,1.100434,1.106768,1.098337,1.100511,194349.46563292807,176599.29399427
1661299200000,2022-08-24 00:00:00,USDT/USD,1.100489,1.102759,1.09938,1.100417,99009.80766637782,89974.8074288
1661212800000,2022-08-23 00:00:00,USDT/USD,1.102185,1.102185,1.098995,1.10049,131178.1851609435,119199.79750924
1661126400000,2022-08-22 00:00:00,USDT/USD,1.098223,1.098925,1.098223,1.098696,1740.7002837216503,1584.33295809
1661040000000,2022-08-21 00:00:00,USDT/USD,1.103947,1.104555,1.078555,1.098224,515067.35702194646,469000.27409886
1660953600000,2022-08-20 00:00:00,USDT/USD,1.1,1.103972,1.099538,1.103972,178783.63059975082,161945.80170489
1660867200000,2022-08-19 00:00:00,USDT/USD,1.084264,1.101122,1.084237,1.099999,514450.11548507365,467682.34833402
