https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume EUR
1663545600,2022-09-19 00:00:00,ADA/EUR,0.44388,0.44388,0.44388,0.44388,258.35579962,114.67897233532561
1663542000,2022-09-18 23:00:00,ADA/EUR,0.44598,0.44598,0.44598,0.44598,24.53241222,10.940965201875601
1663538400,2022-09-18 22:00:00,ADA/EUR,0.44757,0.44757,0.44247,0.44660,35583.06474451,15891.396714898165
1663534800,2022-09-18 21:00:00,ADA/EUR,0.46079,0.46079,0.44000,0.44831,72419.79198221,32466.51694354456
1663531200,2022-09-18 20:00:00,ADA/EUR,0.46667,0.46667,0.46319,0.46319,9390.60437316,4349.63403960398
1663527600,2022-09-18 19:00:00,ADA/EUR,0.46538,0.46770,0.46538,0.46758,1138.69261075,532.429890934485
1663524000,2022-09-18 18:00:00,ADA/EUR,0.46414,0.46566,0.46310,0.46310,15284.60160466,7078.299003118046
1663520400,2022-09-18 17:00:00,ADA/EUR,0.46360,0.46588,0.46335,0.46372,20331.40908956,9428.081023010764
1663516800,2022-09-18 16:00:00,ADA/EUR,0.46846,0.46852,0.46511,0.46575,50811.48826928,23665.450661417162
1663513200,2022-09-18 15:00:00,ADA/EUR,0.47072,0.47140,0.47065,0.47071,2137.20644980,1006.0044479853581
1663509600,2022-09-18 14:00:00,ADA/EUR,0.47448,0.47448,0.46772,0.46887,55321.15888629,25938.431767014794
1663506000,2022-09-18 13:00:00,ADA/EUR,0.47791,0.47826,0.47660,0.47693,3744.26828504,1785.7538731841273
1663502400,2022-09-18 12:00:00,ADA/EUR,0.47449,0.47791,0.47449,0.47791,17465.68992164,8347.027870450973
1663498800,2022-09-18 11:00:00,ADA/EUR,0.47646,0.47721,0.47646,0.47721,3063.00079653,1461.6946101120814
1663495200,2022-09-18 10:00:00,ADA/EUR,0.47466,0.47965,0.47466,0.47758,22934.87907146,10953.239546947867
1663491600,2022-09-18 09:00:00,ADA/EUR,0.48713,0.48713,0.47539,0.47551,54918.95540048,26114.512482482245
1663488000,2022-09-18 08:00:00,ADA/EUR,0.48821,0.48856,0.48595,0.48595,3659.00328707,1778.0926473516665
1663484400,2022-09-18 07:00:00,ADA/EUR,0.48455,0.48800,0.48455,0.48800,3825.96526448,1867.07104906624
1663480800,2022-09-18 06:00:00,ADA/EUR,0.48233,0.48283,0.48233,0.48276,1002.48242681,483.95841636679563
1663477200,2022-09-18 05:00:00,ADA/EUR,0.48345,0.48345,0.48345,0.48345,0.00000000,0.0
1663473600,2022-09-18 04:00:00,ADA/EUR,0.48310,0.48345,0.48310,0.48345,287.77713347,139.1258551760715
