https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NDAU,Volume USDT
1663459200,2022-09-18 00:00:00,NDAU/USDT,14.449,14.612,14.407,14.507,1223.8299,17726.5624389
1663372800,2022-09-17 00:00:00,NDAU/USDT,14.741,14.9,14.041,14.423,10126.47,147571.6174961
1663286400,2022-09-16 00:00:00,NDAU/USDT,15.331,15.446,14.725,14.743,10857.2039,164043.935437
1663200000,2022-09-15 00:00:00,NDAU/USDT,14.864,15.446,14.601,15.282,6689.0909,100059.1456274
1663113600,2022-09-14 00:00:00,NDAU/USDT,15.003,15.45,14.501,14.932,16847.6584,251363.2850088
1663027200,2022-09-13 00:00:00,NDAU/USDT,14.887,15.45,14.55,14.985,19174.8096,287082.4575254
1662940800,2022-09-12 00:00:00,NDAU/USDT,15.443,15.45,14.53,14.88,7079.6977,106236.5958901
1662854400,2022-09-11 00:00:00,NDAU/USDT,14.96,15.45,14.53,15.449,7347.0595,109863.5484238
1662768000,2022-09-10 00:00:00,NDAU/USDT,15.041,15.45,14.533,14.977,5084.8503,76300.8500715
1662681600,2022-09-09 00:00:00,NDAU/USDT,14.74,15.45,14.322,15.042,6894.6398,101433.6117084
1662595200,2022-09-08 00:00:00,NDAU/USDT,14.69,14.83,14.585,14.714,5922.4961,86988.8137152
1662508800,2022-09-07 00:00:00,NDAU/USDT,14.807,14.98,14.5,14.679,9279.1155,137313.4972195
1662422400,2022-09-06 00:00:00,NDAU/USDT,14.851,15,14.5,14.81,4176.1769,61645.1046326
1662336000,2022-09-05 00:00:00,NDAU/USDT,15.044,15.249,14.838,14.85,5363.2923,80576.8767453
1662249600,2022-09-04 00:00:00,NDAU/USDT,14.8,15.15,14.5,15.032,7793.6249,115666.4486403
1662163200,2022-09-03 00:00:00,NDAU/USDT,15.05,15.2,14.1,14.931,7210.2502,105737.7725312
1662076800,2022-09-02 00:00:00,NDAU/USDT,15.235,15.249,14.172,15.053,6916.2705,101908.587549
1661990400,2022-09-01 00:00:00,NDAU/USDT,14.259,15.25,14.102,15.237,8585.4101,125945.412899
1661904000,2022-08-31 00:00:00,NDAU/USDT,14.43,14.74,14.112,14.3,13149.3151,189044.7008966
1661817600,2022-08-30 00:00:00,NDAU/USDT,14.608,14.74,14.14,14.353,8506.1657,122707.5233434
1661731200,2022-08-29 00:00:00,NDAU/USDT,14.59,14.736,14.103,14.554,7114.0936,102163.1660672
1661644800,2022-08-28 00:00:00,NDAU/USDT,14.625,14.749,14.101,14.592,9040.6004,129969.8656955
1661558400,2022-08-27 00:00:00,NDAU/USDT,14.109,14.65,14,14.6,13819.2705,197823.1109201
1661472000,2022-08-26 00:00:00,NDAU/USDT,14.027,14.995,14.025,14.1,16347.3274,234392.490039
1661385600,2022-08-25 00:00:00,NDAU/USDT,14.8,15.249,14,14.02,30037.192,430388.7682196
1661299200,2022-08-24 00:00:00,NDAU/USDT,14.832,14.832,14.001,14.769,10956.3451,157795.3710025
1661212800,2022-08-23 00:00:00,NDAU/USDT,14.441,14.9,14.002,14.83,7958.1142,114592.264465
1661126400,2022-08-22 00:00:00,NDAU/USDT,13.625,15.249,13.505,14.451,14057.0334,203799.0914736
1661040000,2022-08-21 00:00:00,NDAU/USDT,13.833,14.77,13.502,13.507,15006.6067,210318.7609401
1660953600,2022-08-20 00:00:00,NDAU/USDT,13.964,14.213,13.5,13.833,31576.4303,438077.785308
1660867200,2022-08-19 00:00:00,NDAU/USDT,14.947,15.051,12.157,13.965,21559.2986,307862.9645064
1660780800,2022-08-18 00:00:00,NDAU/USDT,14.916,15.23,14,14.994,16769.6593,248604.5028703
1660694400,2022-08-17 00:00:00,NDAU/USDT,15.552,15.554,14.798,14.918,28243.1504,428431.9364769
1660608000,2022-08-16 00:00:00,NDAU/USDT,15.845,16.089,15.478,15.508,21187.3632,330871.1920681
1660521600,2022-08-15 00:00:00,NDAU/USDT,16,16,15.555,15.845,3304.8336,52214.0400317
1660435200,2022-08-14 00:00:00,NDAU/USDT,15.68,15.999,15.68,15.996,14110.8459,223473.1788709
1660348800,2022-08-13 00:00:00,NDAU/USDT,15.675,16,15.648,15.68,5438.2157,86088.3373425
1660262400,2022-08-12 00:00:00,NDAU/USDT,15.876,15.876,15.55,15.659,27881.8441,436634.4089295
1660176000,2022-08-11 00:00:00,NDAU/USDT,15.58,15.899,15.5,15.877,9853.3529,154821.8879293
1660089600,2022-08-10 00:00:00,NDAU/USDT,15.738,16.1,15.5,15.586,18731.7151,295073.9631163
1660003200,2022-08-09 00:00:00,NDAU/USDT,15.945,16.1,15.7,15.737,24343.3062,388841.17564
1659916800,2022-08-08 00:00:00,NDAU/USDT,15.995,16.068,15.6,15.934,26428.0175,418353.0882715
1659830400,2022-08-07 00:00:00,NDAU/USDT,15.504,16,15.5,15.989,18677.4942,294043.4895101
1659744000,2022-08-06 00:00:00,NDAU/USDT,16.041,16.077,15.5,15.5,14637.8778,231738.8418139
1659657600,2022-08-05 00:00:00,NDAU/USDT,16.034,16.077,15.534,16.044,23577.3285,376451.9336105
1659571200,2022-08-04 00:00:00,NDAU/USDT,16.072,16.076,15.802,16.037,21582.6227,346140.9718446
1659484800,2022-08-03 00:00:00,NDAU/USDT,15.966,16.076,15.955,16.071,31411.7439,503798.6317719
1659398400,2022-08-02 00:00:00,NDAU/USDT,15.993,16.075,15.9,15.969,41027.196,656235.2181337
1659312000,2022-08-01 00:00:00,NDAU/USDT,16.025,16.075,15.849,16.072,51567.8976,825980.0016322
1659225600,2022-07-31 00:00:00,NDAU/USDT,15.845,16.075,15.845,16.026,36624.1324,586707.9060193
1659139200,2022-07-30 00:00:00,NDAU/USDT,15.79,16.075,15.71,15.929,25338.9905,403800.6665946
1659052800,2022-07-29 00:00:00,NDAU/USDT,15.97,16.015,15.5,15.757,29099.7641,462530.8284237
1658966400,2022-07-28 00:00:00,NDAU/USDT,15.899,16.015,15.6,15.973,29665.344,472759.4101707
1658880000,2022-07-27 00:00:00,NDAU/USDT,15.911,16.017,15.55,15.893,10331.2702,163478.0282409
1658793600,2022-07-26 00:00:00,NDAU/USDT,15.856,15.913,15.395,15.908,13548.3083,213888.4906867
1658707200,2022-07-25 00:00:00,NDAU/USDT,15.743,15.912,15.3,15.84,12184.2096,191537.180129
1658620800,2022-07-24 00:00:00,NDAU/USDT,15.69,15.879,15.42,15.748,10019.0185,157827.9736615
1658534400,2022-07-23 00:00:00,NDAU/USDT,15.725,15.86,15.33,15.705,5925.3658,92737.0551705
1658448000,2022-07-22 00:00:00,NDAU/USDT,15.79,15.86,15.39,15.714,21983.0033,345751.0305561
1658361600,2022-07-21 00:00:00,NDAU/USDT,15.767,15.86,15.009,15.792,18196.8381,284660.57098904094
1658275200,2022-07-20 00:00:00,NDAU/USDT,15.748,15.8,15.008,15.717,22248.9869888,348247.482272756
1658188800,2022-07-19 00:00:00,NDAU/USDT,15.794,15.8,15.325,15.73,11101.91304526,172937.4954740517
1658102400,2022-07-18 00:00:00,NDAU/USDT,15.515,15.8,15.056,15.791,12143.18803577,187494.78683052354
1658016000,2022-07-17 00:00:00,NDAU/USDT,15.613,15.615,14.954,15.519,12406.56045463,191373.06716427945
1657929600,2022-07-16 00:00:00,NDAU/USDT,15.611,15.615,15.204,15.615,14995.693,231316.4026633
1657843200,2022-07-15 00:00:00,NDAU/USDT,15.609,15.615,15.016,15.608,11033.14882848,169783.2086601672
1657756800,2022-07-14 00:00:00,NDAU/USDT,15.613,15.615,14.957,15.602,7258.73562139,111102.67445488511
1657670400,2022-07-13 00:00:00,NDAU/USDT,15.531,15.615,15.025,15.611,5130.51692237,78524.71767584242
1657584000,2022-07-12 00:00:00,NDAU/USDT,15.05,15.615,15.007,15.531,7785.87781773,119456.65209140413
1657497600,2022-07-11 00:00:00,NDAU/USDT,15.122,15.615,15.002,15.06,25244.16321448,384793.610749295
1657411200,2022-07-10 00:00:00,NDAU/USDT,15.13,15.419,15.01,15.164,28264.16665943,429882.68612564304
1657324800,2022-07-09 00:00:00,NDAU/USDT,15.416,15.42,15.016,15.079,21190.94941426,321593.8589671892
1657238400,2022-07-08 00:00:00,NDAU/USDT,15.416,15.419,15,15.416,22762.87964154,346827.37220740526
1657152000,2022-07-07 00:00:00,NDAU/USDT,15.38,15.419,15.01,15.416,11534.59581087,175887.22037390453
1657065600,2022-07-06 00:00:00,NDAU/USDT,15.353,15.42,15.027,15.385,24842.0747,379633.8362932
1656979200,2022-07-05 00:00:00,NDAU/USDT,15.37,15.42,15,15.419,14583.05996913,222333.752385202
1656892800,2022-07-04 00:00:00,NDAU/USDT,15.189,15.42,15,15.28,9452.98503173,143420.13696159693
1656806400,2022-07-03 00:00:00,NDAU/USDT,15.38,15.42,15,15.185,8199.78197595,125131.4831945573
1656720000,2022-07-02 00:00:00,NDAU/USDT,15.412,15.42,15,15.38,11412.86052134,173824.23967578916
1656633600,2022-07-01 00:00:00,NDAU/USDT,15.419,15.42,15,15.42,21140.7476221,319846.46466402432
1656547200,2022-06-30 00:00:00,NDAU/USDT,15.387,15.409,14.856,15.289,10682.4274029,162410.76807671734
1656460800,2022-06-29 00:00:00,NDAU/USDT,15.331,15.388,11.93,15.387,29710.8390113,423217.71990380808
1656374400,2022-06-28 00:00:00,NDAU/USDT,15.184,15.388,14.229,15.331,20557.55464431,307578.51871540704
1656288000,2022-06-27 00:00:00,NDAU/USDT,15.2,15.25,14.874,15.157,31189.53943554,473140.24683681218
1656201600,2022-06-26 00:00:00,NDAU/USDT,15.018,15.25,14.874,15.081,7597.1638,114377.1116655
1656115200,2022-06-25 00:00:00,NDAU/USDT,15.001,15.25,15.001,15.032,14386.8553,216820.2029694
1656028800,2022-06-24 00:00:00,NDAU/USDT,15.242,15.249,15.001,15.006,8369.67874819,126729.6348516337
1655942400,2022-06-23 00:00:00,NDAU/USDT,15.117,15.244,14.874,15.239,15463.97916619,233257.55639307091
1655856000,2022-06-22 00:00:00,NDAU/USDT,15.003,15.244,14.92,15.119,12245.82575759,185350.65769557304
1655769600,2022-06-21 00:00:00,NDAU/USDT,15.004,15.243,14.92,15.003,26778.25584,404599.22638062468
1655683200,2022-06-20 00:00:00,NDAU/USDT,14.961,15.198,14.675,14.97,22676.9522,340196.307543
1655596800,2022-06-19 00:00:00,NDAU/USDT,14.95,14.977,14.675,14.966,11896.93124212,177377.43034728441
1655510400,2022-06-18 00:00:00,NDAU/USDT,14.869,14.95,14.688,14.95,11858.14467225,176879.7868303375
1655424000,2022-06-17 00:00:00,NDAU/USDT,14.561,14.87,14.458,14.869,17384.56869935,256572.056208046
1655337600,2022-06-16 00:00:00,NDAU/USDT,14.557,14.67,14.1,14.665,20048.37788579,292478.60599715898
1655251200,2022-06-15 00:00:00,NDAU/USDT,14.391,14.557,14.075,14.557,16381.71123965,237180.47511063323
1655164800,2022-06-14 00:00:00,NDAU/USDT,13.724,14.45,13.526,14.45,19877.01063832,279406.654812024
1655078400,2022-06-13 00:00:00,NDAU/USDT,13.359,13.709,13.31,13.709,18719.80618626,251784.88471176132
1654992000,2022-06-12 00:00:00,NDAU/USDT,13.32,13.376,13.14,13.357,19867.92172943,264696.7905917143
1654905600,2022-06-11 00:00:00,NDAU/USDT,13.14,13.32,12.868,13.32,17804.50113427,236063.4854495764
