https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NORD,Volume BTC
1663459200,2022-09-18 00:00:00,NORD/BTC,0.00001277,0.00001283,0.00001268,0.00001277,3178.275,0.040548314197
1663372800,2022-09-17 00:00:00,NORD/BTC,0.00001288,0.00001302,0.00001239,0.00001278,172355.5832,2.206507863642
1663286400,2022-09-16 00:00:00,NORD/BTC,0.00001276,0.00001313,0.00001263,0.00001286,128725.5709,1.656461245447
1663200000,2022-09-15 00:00:00,NORD/BTC,0.000013,0.0000134,0.00001259,0.00001278,223657.8135,2.909321621827
1663113600,2022-09-14 00:00:00,NORD/BTC,0.00001321,0.00001343,0.00001273,0.00001305,266773.3409,3.47584784033
1663027200,2022-09-13 00:00:00,NORD/BTC,0.00001281,0.00001361,0.00001211,0.00001327,266189.25,3.384980720611
1662940800,2022-09-12 00:00:00,NORD/BTC,0.0000125,0.00001321,0.00001215,0.00001281,217441.8634,2.73703257242
1662854400,2022-09-11 00:00:00,NORD/BTC,0.0000128,0.00001305,0.00001244,0.00001251,207224.2598,2.615053416302
1662768000,2022-09-10 00:00:00,NORD/BTC,0.00001272,0.00001318,0.00001253,0.00001279,214317.5038,2.75830447056
1662681600,2022-09-09 00:00:00,NORD/BTC,0.00001329,0.0000137,0.00001256,0.00001271,266257.0712,3.466574359572
1662595200,2022-09-08 00:00:00,NORD/BTC,0.00001318,0.00001434,0.00001315,0.00001327,270493.6642,3.654362146529
1662508800,2022-09-07 00:00:00,NORD/BTC,0.00001279,0.00001348,0.0000127,0.00001315,244942.4643,3.193644870823
1662422400,2022-09-06 00:00:00,NORD/BTC,0.00001262,0.00001307,0.00001251,0.00001279,264176.4015,3.363556971264
1662336000,2022-09-05 00:00:00,NORD/BTC,0.00001264,0.0000131,0.00001243,0.00001266,269696.8544,3.418547190079
1662249600,2022-09-04 00:00:00,NORD/BTC,0.00001284,0.00001293,0.00001261,0.00001263,268423.9228,3.416117142505
1662163200,2022-09-03 00:00:00,NORD/BTC,0.00001273,0.00001314,0.00001255,0.00001285,266096.5061,3.388229255538
