https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SUSHI3S,Volume USDT
1663459200,2022-09-18 00:00:00,SUSHI3S/USDT,1.1325,1.1789,1.1299,1.1789,8211.1031,9323.50356746
1663372800,2022-09-17 00:00:00,SUSHI3S/USDT,1.2887,1.3278,1.1091,1.1385,26865.4305,33466.62060278
1663286400,2022-09-16 00:00:00,SUSHI3S/USDT,1.3629,1.4339,1.2384,1.2954,27665.0837,36728.6839854
1663200000,2022-09-15 00:00:00,SUSHI3S/USDT,1.1462,1.4002,1.1441,1.3759,65459.3273,83771.95315515
1663113600,2022-09-14 00:00:00,SUSHI3S/USDT,1.1902,1.2514,1.1005,1.1362,54115.5669,62662.76302377
1663027200,2022-09-13 00:00:00,SUSHI3S/USDT,0.9905,1.2036,0.933,1.2036,143523.7297,154339.12653534
1662940800,2022-09-12 00:00:00,SUSHI3S/USDT,0.9106,1.0157,0.8077,0.9757,100732.3625,93170.73760723
1662854400,2022-09-11 00:00:00,SUSHI3S/USDT,0.8453,0.9667,0.7897,0.9084,84689.4895,74738.50979078
1662768000,2022-09-10 00:00:00,SUSHI3S/USDT,0.8591,0.9315,0.7653,0.8476,89310.15310168,76489.989901749312
1662681600,2022-09-09 00:00:00,SUSHI3S/USDT,0.8578,0.9575,0.8,0.8591,143989.8404,123293.35273625
1662595200,2022-09-08 00:00:00,SUSHI3S/USDT,1.027,1.2124,0.8577,0.8823,191719.81129679,198745.163872143646
1662508800,2022-09-07 00:00:00,SUSHI3S/USDT,1.4252,1.63,0.9839,1.0423,141320.74965548,184233.832537909472
1662422400,2022-09-06 00:00:00,SUSHI3S/USDT,1.1678,1.4747,1.0915,1.4197,198121.4443,253041.42747737
1662336000,2022-09-05 00:00:00,SUSHI3S/USDT,1.4827,1.6299,1.1603,1.1707,109344.6299,147363.49526926
1662249600,2022-09-04 00:00:00,SUSHI3S/USDT,1.5903,1.661,1.4835,1.5045,29869.8387,46784.82964281
1662163200,2022-09-03 00:00:00,SUSHI3S/USDT,1.6694,1.8102,1.5574,1.6071,35767.1818,60434.25175548
1662076800,2022-09-02 00:00:00,SUSHI3S/USDT,1.9609,2.0485,1.5137,1.6844,77851.10677612,139919.416004790624
1661990400,2022-09-01 00:00:00,SUSHI3S/USDT,2.1382,2.2971,1.95,1.962,24782.0824,52900.32964397
1661904000,2022-08-31 00:00:00,SUSHI3S/USDT,2.0168,2.1356,1.7925,2.126,18513.41718556,35845.76407748869
1661817600,2022-08-30 00:00:00,SUSHI3S/USDT,1.8102,2.2223,1.7338,2.0224,55653.36980804,107807.74463079811
1661731200,2022-08-29 00:00:00,SUSHI3S/USDT,2.54,2.5949,1.76,1.8095,52982.05340691,111929.25210691203
1661644800,2022-08-28 00:00:00,SUSHI3S/USDT,2.199,2.55,2.0994,2.5498,19002.58731224,43576.079501295654
1661558400,2022-08-27 00:00:00,SUSHI3S/USDT,2.1623,2.2911,2.0486,2.1426,23315.06083299,50411.582800439539
1661472000,2022-08-26 00:00:00,SUSHI3S/USDT,1.6483,2.25,1.5892,2.1622,57137.98216281,108211.66643560059
1661385600,2022-08-25 00:00:00,SUSHI3S/USDT,1.6405,1.705,1.3899,1.6159,30767.64146971,48849.838936263984
1661299200,2022-08-24 00:00:00,SUSHI3S/USDT,1.5933,1.7411,1.5001,1.6414,18046.02763845,29108.688384352121
1661212800,2022-08-23 00:00:00,SUSHI3S/USDT,1.6729,1.8517,1.5405,1.5934,24980.61741659,41827.164108120574
1661126400,2022-08-22 00:00:00,SUSHI3S/USDT,1.6669,1.9508,1.6326,1.6732,28384.71686714,51084.211405437527
1661040000,2022-08-21 00:00:00,SUSHI3S/USDT,1.8067,1.8388,1.5828,1.6715,35657.75996984,60370.217642764972
1660953600,2022-08-20 00:00:00,SUSHI3S/USDT,1.7463,1.9889,1.5744,1.8214,46685.20128569,83353.447033864518
1660867200,2022-08-19 00:00:00,SUSHI3S/USDT,1.3933,1.8148,1.3696,1.7523,70879.23079637,116534.247906073063
1660780800,2022-08-18 00:00:00,SUSHI3S/USDT,1.201,1.3975,1.1286,1.3885,54306.55863218,65741.25942211762
