https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CHZ,Volume USDT,tradecount
1655856000000,2022-06-22 00:00:00,CHZ/USDT,0.09542,0.09548,0.09260,0.09390,17412578,1628981.06171,6223
1655852400000,2022-06-21 23:00:00,CHZ/USDT,0.09650,0.09713,0.09450,0.09539,13583753,1297443.78587,5811
1655848800000,2022-06-21 22:00:00,CHZ/USDT,0.09537,0.09670,0.09464,0.09651,10612286,1013972.63165,5045
1655845200000,2022-06-21 21:00:00,CHZ/USDT,0.09506,0.09588,0.09452,0.09537,9679103,921566.12365,4429
1655841600000,2022-06-21 20:00:00,CHZ/USDT,0.09540,0.09572,0.09324,0.09508,29722318,2808406.57323,11205
1655838000000,2022-06-21 19:00:00,CHZ/USDT,0.09670,0.09784,0.09533,0.09543,16387124,1580772.78461,7055
1655834400000,2022-06-21 18:00:00,CHZ/USDT,0.09715,0.09736,0.09621,0.09666,8200039,794937.91577,4309
1655830800000,2022-06-21 17:00:00,CHZ/USDT,0.09800,0.09873,0.09691,0.09711,11124241,1088401.00463,5349
1655827200000,2022-06-21 16:00:00,CHZ/USDT,0.09798,0.09901,0.09773,0.09798,9212785,905687.76093,4524
1655823600000,2022-06-21 15:00:00,CHZ/USDT,0.09954,0.09958,0.09777,0.09803,14979157,1472631.15789,6634
1655820000000,2022-06-21 14:00:00,CHZ/USDT,0.09877,0.10035,0.09834,0.09956,23268997,2309118.71919,9370
1655816400000,2022-06-21 13:00:00,CHZ/USDT,0.09668,0.09889,0.09571,0.09874,18526791,1807643.09441,8734
1655812800000,2022-06-21 12:00:00,CHZ/USDT,0.09588,0.09691,0.09532,0.09674,14388312,1383642.68986,6385
1655809200000,2022-06-21 11:00:00,CHZ/USDT,0.09784,0.09861,0.09571,0.09590,17316783,1681284.69575,7672
1655805600000,2022-06-21 10:00:00,CHZ/USDT,0.09679,0.09792,0.09606,0.09786,12384798,1201538.07385,5670
1655802000000,2022-06-21 09:00:00,CHZ/USDT,0.09825,0.09861,0.09657,0.09683,20081516,1958210.91276,8681
1655798400000,2022-06-21 08:00:00,CHZ/USDT,0.09473,0.09900,0.09435,0.09817,34483720,3342109.15863,11572
1655794800000,2022-06-21 07:00:00,CHZ/USDT,0.09569,0.09582,0.09453,0.09476,22405143,2130462.16920,8380
1655791200000,2022-06-21 06:00:00,CHZ/USDT,0.09538,0.09690,0.09538,0.09569,22688390,2181590.34995,8268
1655787600000,2022-06-21 05:00:00,CHZ/USDT,0.09377,0.09635,0.09376,0.09536,33707228,3204540.54241,10260
