https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume DOG
1650672000000,2022-04-23 00:00:00,DOG/BTC,3.443,3.443,3.3982,3.4429,0.003979957971,0.00115599
1650585600000,2022-04-22 00:00:00,DOG/BTC,3.3935,3.443,3.2864,3.443,0.06711333167,0.01949269
1650499200000,2022-04-21 00:00:00,DOG/BTC,3.4286,3.45,3.2341,3.4348,0.081136124292,0.02362179
1650412800000,2022-04-20 00:00:00,DOG/BTC,3.4615,3.5133,3.3321,3.4286,0.144005760038,0.04200133
1650326400000,2022-04-19 00:00:00,DOG/BTC,3.4413,3.4999,3.37,3.4014,0.067211936112,0.01976008
1650240000000,2022-04-18 00:00:00,DOG/BTC,3.4522,3.5503,3.3701,3.4414,0.132411031088,0.038475920000000004
1650153600000,2022-04-17 00:00:00,DOG/BTC,3.5996,3.6031,3.452,3.5277,0.084518506281,0.02395853
1650067200000,2022-04-16 00:00:00,DOG/BTC,3.6225,3.6997,3.5001,3.582,0.08054653554,0.02248647
1649980800000,2022-04-15 00:00:00,DOG/BTC,3.5733,3.7402,3.55,3.5632,0.091233526816,0.02560438
1649894400000,2022-04-14 00:00:00,DOG/BTC,3.4497,3.6497,3.3321,3.6275,0.17204187780000002,0.04742712
1649808000000,2022-04-13 00:00:00,DOG/BTC,3.4055,3.6,3.3501,3.3546,0.13876869827399999,0.04136669
1649721600000,2022-04-12 00:00:00,DOG/BTC,3.4184,3.5997,3.3501,3.4052,0.127009056512,0.03729856
1649635200000,2022-04-11 00:00:00,DOG/BTC,3.4939,3.5997,3.3501,3.3622,0.147491106768,0.04386744
1649548800000,2022-04-10 00:00:00,DOG/BTC,3.3925,3.6997,3.3273,3.5,0.19780904500000002,0.056516870000000004
1649462400000,2022-04-09 00:00:00,DOG/BTC,3.3775,3.4495,3.3001,3.4,0.065641046,0.01930619
1649376000000,2022-04-08 00:00:00,DOG/BTC,3.3998,3.4938,3.2625,3.35,0.0710567495,0.02121097
1649289600000,2022-04-07 00:00:00,DOG/BTC,3.3302,3.4696,3.1676,3.372,0.0723005694,0.02144145
1649203200000,2022-04-06 00:00:00,DOG/BTC,3.7992,3.8861,3.213,3.3212,0.20099244802400001,0.06051802
1649116800000,2022-04-05 00:00:00,DOG/BTC,3.2051,3.8991,3.0913,3.8708,0.20721503319600001,0.05353287
1649030400000,2022-04-04 00:00:00,DOG/BTC,3.1579,3.4233,3.0472,3.2383,0.080661875593,0.02490871
1648944000000,2022-04-03 00:00:00,DOG/BTC,3.0549,3.2607,2.8814,3.1579,0.093899461762,0.02973478
1648857600000,2022-04-02 00:00:00,DOG/BTC,2.9965,3.1469,2.9759,3.0682,0.06577061020399999,0.02143622
1648771200000,2022-04-01 00:00:00,DOG/BTC,3.05,3.1223,2.9752,3.1116,0.062798995752,0.02018222
1648684800000,2022-03-31 00:00:00,DOG/BTC,3.0579,3.1701,2.9257,2.9866,0.06355702821800001,0.02128073
1648598400000,2022-03-30 00:00:00,DOG/BTC,3.0337,3.1118,2.9238,3.0595,0.06327511043999999,0.02068152
1648512000000,2022-03-29 00:00:00,DOG/BTC,2.9808,3.1343,2.9566,3.0338,0.061098122931999996,0.02013914
1648425600000,2022-03-28 00:00:00,DOG/BTC,3.0913,3.2442,2.8814,3.0292,0.4475438529,0.14774325
1648339200000,2022-03-27 00:00:00,DOG/BTC,3.0338,3.235,3.0013,3.0914,0.082890450136,0.02681324
1648252800000,2022-03-26 00:00:00,DOG/BTC,2.9742,3.1199,2.9282,3.0628,0.05866575941200001,0.01915429
1648166400000,2022-03-25 00:00:00,DOG/BTC,3.0709,3.1505,2.8815,2.9281,0.07477401127,0.0255367
