https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XCUR,Volume USDT
1663459200,2022-09-18 00:00:00,XCUR/USDT,0.05836,0.05867,0.0577,0.05828,39835.3608,2312.393988817
1663372800,2022-09-17 00:00:00,XCUR/USDT,0.06157,0.06196,0.055,0.05834,1882482.7214,110364.62060311
1663286400,2022-09-16 00:00:00,XCUR/USDT,0.06244,0.06493,0.0608,0.06156,1498015.7701,93335.356176023
1663200000,2022-09-15 00:00:00,XCUR/USDT,0.06224,0.067,0.06,0.06245,1565919.8823,97499.306183694
1663113600,2022-09-14 00:00:00,XCUR/USDT,0.06251,0.06505,0.06071,0.06223,1579406.7134,99219.707649321
1663027200,2022-09-13 00:00:00,XCUR/USDT,0.0648,0.066,0.0608,0.06283,1427356.1086,90309.850406555
1662940800,2022-09-12 00:00:00,XCUR/USDT,0.0649,0.067,0.0634,0.0648,1923066.101,124116.365978545
1662854400,2022-09-11 00:00:00,XCUR/USDT,0.06504,0.06599,0.06405,0.06481,1047256.4667,68163.006993791
1662768000,2022-09-10 00:00:00,XCUR/USDT,0.06329,0.06558,0.063,0.06502,1399173.757,89790.761390339
1662681600,2022-09-09 00:00:00,XCUR/USDT,0.06182,0.06597,0.0603,0.06342,1501559.43,95012.785056938
1662595200,2022-09-08 00:00:00,XCUR/USDT,0.06505,0.06597,0.06,0.06177,1999744.7259,125569.186699896
1662508800,2022-09-07 00:00:00,XCUR/USDT,0.06297,0.06601,0.06096,0.06506,1425420.3854,90150.399143248
1662422400,2022-09-06 00:00:00,XCUR/USDT,0.06466,0.066,0.06193,0.06292,1312498.8838,84253.785426274
1662336000,2022-09-05 00:00:00,XCUR/USDT,0.06476,0.06648,0.06306,0.06402,633533.412,40793.760708734
1662249600,2022-09-04 00:00:00,XCUR/USDT,0.06467,0.06664,0.0635,0.06496,866564.3794,55994.444262814
1662163200,2022-09-03 00:00:00,XCUR/USDT,0.06401,0.06589,0.0631,0.06474,928661.8213,60063.879235836
1662076800,2022-09-02 00:00:00,XCUR/USDT,0.06581,0.07354,0.0634,0.06454,2168156.0106,146141.651907085
1661990400,2022-09-01 00:00:00,XCUR/USDT,0.06237,0.069,0.0601,0.06568,1875538.0271,118882.227886334
1661904000,2022-08-31 00:00:00,XCUR/USDT,0.06376,0.06543,0.06161,0.06249,1396644.8194,88901.312671919
1661817600,2022-08-30 00:00:00,XCUR/USDT,0.06588,0.06652,0.0615,0.0637,1711961.2495,109677.005960402
1661731200,2022-08-29 00:00:00,XCUR/USDT,0.06397,0.06694,0.06252,0.06588,1137751.2387,72962.700638093
1661644800,2022-08-28 00:00:00,XCUR/USDT,0.06383,0.06693,0.06345,0.06398,1701227.3905,111178.081764329
1661558400,2022-08-27 00:00:00,XCUR/USDT,0.06498,0.06601,0.063,0.0637,1336229.8665,85841.963520828
1661472000,2022-08-26 00:00:00,XCUR/USDT,0.07011,0.071,0.06451,0.06499,1921396.2932,129844.526197587
1661385600,2022-08-25 00:00:00,XCUR/USDT,0.07077,0.07344,0.069,0.07029,1133253.8108,80367.126952676
1661299200,2022-08-24 00:00:00,XCUR/USDT,0.06839,0.07855,0.06564,0.07078,3228306.9888,229963.537545794
1661212800,2022-08-23 00:00:00,XCUR/USDT,0.07632,0.08398,0.06749,0.06842,4590100.9058,340657.387868367
