https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GRT,Volume EUR
1663545600,2022-09-19 00:00:00,GRT/EUR,0.09962,0.09962,0.09962,0.09962,1149.02022695,114.465395008759
1663542000,2022-09-18 23:00:00,GRT/EUR,0.10100,0.10100,0.10100,0.10100,1187.73055222,119.96078577422
1663538400,2022-09-18 22:00:00,GRT/EUR,0.09969,0.09969,0.09885,0.09952,9866.40247670,981.9043744811839
1663534800,2022-09-18 21:00:00,GRT/EUR,0.10333,0.10333,0.09644,0.10058,66363.16639560,6674.807276069448
1663531200,2022-09-18 20:00:00,GRT/EUR,0.10450,0.10450,0.10450,0.10450,46415.49037099,4850.418743768455
1663527600,2022-09-18 19:00:00,GRT/EUR,0.10500,0.10500,0.10500,0.10500,281.98733934,29.6086706307
1663524000,2022-09-18 18:00:00,GRT/EUR,0.10426,0.10426,0.10426,0.10426,200.00000000,20.852
1663520400,2022-09-18 17:00:00,GRT/EUR,0.10432,0.10439,0.10432,0.10439,36680.00000000,3829.0252
1663516800,2022-09-18 16:00:00,GRT/EUR,0.10514,0.10514,0.10514,0.10514,367.11527487,38.5984999998318
1663513200,2022-09-18 15:00:00,GRT/EUR,0.10563,0.10563,0.10563,0.10563,0.00000000,0.0
1663509600,2022-09-18 14:00:00,GRT/EUR,0.10563,0.10563,0.10563,0.10563,1030.75133136,108.8782631315568
1663506000,2022-09-18 13:00:00,GRT/EUR,0.10693,0.10693,0.10693,0.10693,173.23875432,18.5244199994376
1663502400,2022-09-18 12:00:00,GRT/EUR,0.10705,0.10705,0.10705,0.10705,0.00000000,0.0
1663498800,2022-09-18 11:00:00,GRT/EUR,0.10705,0.10705,0.10705,0.10705,0.00000000,0.0
1663495200,2022-09-18 10:00:00,GRT/EUR,0.10744,0.10744,0.10705,0.10705,10539.55546467,1128.2594124929235
1663491600,2022-09-18 09:00:00,GRT/EUR,0.10907,0.10907,0.10907,0.10907,0.00000000,0.0
1663488000,2022-09-18 08:00:00,GRT/EUR,0.10907,0.10907,0.10907,0.10907,331.48891312,36.1554957539984
1663484400,2022-09-18 07:00:00,GRT/EUR,0.10850,0.10850,0.10850,0.10850,187.79275269,20.375513666864997
1663480800,2022-09-18 06:00:00,GRT/EUR,0.10742,0.10742,0.10742,0.10742,0.00000000,0.0
1663477200,2022-09-18 05:00:00,GRT/EUR,0.10742,0.10742,0.10742,0.10742,0.00000000,0.0
1663473600,2022-09-18 04:00:00,GRT/EUR,0.10742,0.10742,0.10742,0.10742,0.00000000,0.0
1663470000,2022-09-18 03:00:00,GRT/EUR,0.10742,0.10742,0.10742,0.10742,0.00000000,0.0
1663466400,2022-09-18 02:00:00,GRT/EUR,0.10742,0.10742,0.10742,0.10742,0.00000000,0.0
1663462800,2022-09-18 01:00:00,GRT/EUR,0.10742,0.10742,0.10742,0.10742,0.00000000,0.0
1663459200,2022-09-18 00:00:00,GRT/EUR,0.10742,0.10742,0.10742,0.10742,0.00000000,0.0
1663455600,2022-09-17 23:00:00,GRT/EUR,0.10742,0.10742,0.10742,0.10742,0.00000000,0.0
1663452000,2022-09-17 22:00:00,GRT/EUR,0.10742,0.10742,0.10742,0.10742,0.00000000,0.0
1663448400,2022-09-17 21:00:00,GRT/EUR,0.10742,0.10742,0.10742,0.10742,0.00000000,0.0
1663444800,2022-09-17 20:00:00,GRT/EUR,0.10742,0.10742,0.10742,0.10742,0.00000000,0.0
1663441200,2022-09-17 19:00:00,GRT/EUR,0.10779,0.10789,0.10742,0.10742,21587.20031270,2318.897057590234
1663437600,2022-09-17 18:00:00,GRT/EUR,0.10828,0.10829,0.10828,0.10829,13065.94154046,1414.9108094164135
1663434000,2022-09-17 17:00:00,GRT/EUR,0.10844,0.10844,0.10844,0.10844,0.00000000,0.0
1663430400,2022-09-17 16:00:00,GRT/EUR,0.10844,0.10844,0.10844,0.10844,410.00000000,44.4604
1663426800,2022-09-17 15:00:00,GRT/EUR,0.10840,0.10840,0.10840,0.10840,0.00000000,0.0
1663423200,2022-09-17 14:00:00,GRT/EUR,0.10796,0.10840,0.10796,0.10840,20998.65688411,2276.254406237524
1663419600,2022-09-17 13:00:00,GRT/EUR,0.10737,0.10737,0.10737,0.10737,43993.88124043,4723.6230287849685
1663416000,2022-09-17 12:00:00,GRT/EUR,0.10718,0.10718,0.10718,0.10718,0.00000000,0.0
1663412400,2022-09-17 11:00:00,GRT/EUR,0.10718,0.10718,0.10718,0.10718,102.63108788,10.9999999989784
1663408800,2022-09-17 10:00:00,GRT/EUR,0.10723,0.10723,0.10723,0.10723,0.00000000,0.0
1663405200,2022-09-17 09:00:00,GRT/EUR,0.10723,0.10723,0.10723,0.10723,9186.04553130,985.019662321299
1663401600,2022-09-17 08:00:00,GRT/EUR,0.10714,0.10714,0.10714,0.10714,102.26040694,10.9561799995516
1663398000,2022-09-17 07:00:00,GRT/EUR,0.10690,0.10690,0.10690,0.10690,3137.86153700,335.4373983053
1663394400,2022-09-17 06:00:00,GRT/EUR,0.10728,0.10728,0.10728,0.10728,0.00000000,0.0
