https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MTA,Volume USDT
1663545600000.0,2022-09-19 00:00:00,MTA/USDT,0.143,0.143,0.143,0.143,300.0,42.9
1663542000000.0,2022-09-18 23:00:00,MTA/USDT,0.143,0.143,0.143,0.143,0.0,0.0
1663538400000.0,2022-09-18 22:00:00,MTA/USDT,0.145,0.145,0.143,0.143,2.0,0.286
1663534800000.0,2022-09-18 21:00:00,MTA/USDT,0.1435,0.145,0.143,0.145,5.958620689655173,0.864
1663531200000.0,2022-09-18 20:00:00,MTA/USDT,0.143,0.145,0.143,0.1435,1.0,0.1435
1663527600000.0,2022-09-18 19:00:00,MTA/USDT,0.143,0.143,0.143,0.143,0.0,0.0
1663524000000.0,2022-09-18 18:00:00,MTA/USDT,0.143,0.143,0.143,0.143,0.0,0.0
1663520400000.0,2022-09-18 17:00:00,MTA/USDT,0.143,0.143,0.143,0.143,0.0,0.0
1663516800000.0,2022-09-18 16:00:00,MTA/USDT,0.143,0.1465,0.143,0.143,15821.716783216785,2262.5055
1663513200000.0,2022-09-18 15:00:00,MTA/USDT,0.1445,0.1465,0.143,0.143,1352.3496503496503,193.386
1663509600000.0,2022-09-18 14:00:00,MTA/USDT,0.1445,0.1445,0.1445,0.1445,0.0,0.0
1663506000000.0,2022-09-18 13:00:00,MTA/USDT,0.1445,0.1445,0.1445,0.1445,0.0,0.0
1663502400000.0,2022-09-18 12:00:00,MTA/USDT,0.1445,0.1445,0.1445,0.1445,0.0,0.0
1663498800000.0,2022-09-18 11:00:00,MTA/USDT,0.1445,0.1445,0.1445,0.1445,0.0,0.0
1663495200000.0,2022-09-18 10:00:00,MTA/USDT,0.1425,0.145,0.1425,0.1445,4220.30795847751,609.8345
1663491600000.0,2022-09-18 09:00:00,MTA/USDT,0.143,0.143,0.1425,0.1425,0.0,0.0
1663488000000.0,2022-09-18 08:00:00,MTA/USDT,0.143,0.143,0.143,0.143,0.0,0.0
1663484400000.0,2022-09-18 07:00:00,MTA/USDT,0.143,0.1435,0.1425,0.143,0.0,0.0
1663480800000.0,2022-09-18 06:00:00,MTA/USDT,0.143,0.143,0.143,0.143,0.0,0.0
1663477200000.0,2022-09-18 05:00:00,MTA/USDT,0.1425,0.143,0.1425,0.143,0.0,0.0
1663473600000.0,2022-09-18 04:00:00,MTA/USDT,0.1425,0.1425,0.1425,0.1425,0.0,0.0
1663470000000.0,2022-09-18 03:00:00,MTA/USDT,0.1425,0.1425,0.1425,0.1425,0.0,0.0
1663466400000.0,2022-09-18 02:00:00,MTA/USDT,0.1425,0.1425,0.1425,0.1425,0.0,0.0
1663462800000.0,2022-09-18 01:00:00,MTA/USDT,0.1425,0.1425,0.1425,0.1425,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,MTA/USDT,0.146,0.146,0.1425,0.1425,1675.5298245614038,238.763
1663455600000.0,2022-09-17 23:00:00,MTA/USDT,0.146,0.146,0.146,0.146,0.0,0.0
1663452000000.0,2022-09-17 22:00:00,MTA/USDT,0.1455,0.146,0.1455,0.146,0.0,0.0
1663448400000.0,2022-09-17 21:00:00,MTA/USDT,0.146,0.146,0.1455,0.1455,0.0,0.0
1663444800000.0,2022-09-17 20:00:00,MTA/USDT,0.146,0.146,0.1455,0.146,0.0,0.0
1663441200000.0,2022-09-17 19:00:00,MTA/USDT,0.146,0.146,0.146,0.146,0.0,0.0
1663437600000.0,2022-09-17 18:00:00,MTA/USDT,0.146,0.146,0.146,0.146,0.0,0.0
1663434000000.0,2022-09-17 17:00:00,MTA/USDT,0.146,0.146,0.146,0.146,0.0,0.0
1663430400000.0,2022-09-17 16:00:00,MTA/USDT,0.146,0.146,0.146,0.146,0.0,0.0
1663426800000.0,2022-09-17 15:00:00,MTA/USDT,0.146,0.146,0.146,0.146,0.0,0.0
1663423200000.0,2022-09-17 14:00:00,MTA/USDT,0.146,0.146,0.1455,0.146,2.0,0.292
1663419600000.0,2022-09-17 13:00:00,MTA/USDT,0.146,0.146,0.1455,0.146,0.0,0.0
1663416000000.0,2022-09-17 12:00:00,MTA/USDT,0.146,0.146,0.146,0.146,0.0,0.0
1663412400000.0,2022-09-17 11:00:00,MTA/USDT,0.146,0.146,0.146,0.146,2.0,0.292
1663408800000.0,2022-09-17 10:00:00,MTA/USDT,0.1445,0.147,0.1445,0.146,274.86986301369865,40.131
1663405200000.0,2022-09-17 09:00:00,MTA/USDT,0.1445,0.145,0.1445,0.1445,0.0,0.0
1663401600000.0,2022-09-17 08:00:00,MTA/USDT,0.1455,0.1455,0.1445,0.1445,420.0,60.69
1663398000000.0,2022-09-17 07:00:00,MTA/USDT,0.1455,0.146,0.1455,0.1455,0.0,0.0
1663394400000.0,2022-09-17 06:00:00,MTA/USDT,0.1455,0.1455,0.1455,0.1455,0.0,0.0
1663390800000.0,2022-09-17 05:00:00,MTA/USDT,0.15,0.15,0.1455,0.1455,5662.9415807560135,823.958
1663387200000.0,2022-09-17 04:00:00,MTA/USDT,0.1475,0.1515,0.1455,0.15,7616.876666666667,1142.5315
1663383600000.0,2022-09-17 03:00:00,MTA/USDT,0.1475,0.1475,0.1475,0.1475,0.0,0.0
1663380000000.0,2022-09-17 02:00:00,MTA/USDT,0.1475,0.1475,0.1475,0.1475,0.0,0.0
1663376400000.0,2022-09-17 01:00:00,MTA/USDT,0.145,0.1475,0.144,0.1475,2.0,0.295
1663372800000.0,2022-09-17 00:00:00,MTA/USDT,0.144,0.146,0.1435,0.145,0.0,0.0
1663369200000.0,2022-09-16 23:00:00,MTA/USDT,0.144,0.1455,0.1435,0.144,0.0,0.0
1663365600000.0,2022-09-16 22:00:00,MTA/USDT,0.144,0.1455,0.1435,0.144,0.0,0.0
1663362000000.0,2022-09-16 21:00:00,MTA/USDT,0.144,0.145,0.1435,0.144,0.0,0.0
1663358400000.0,2022-09-16 20:00:00,MTA/USDT,0.144,0.145,0.1435,0.144,0.0,0.0
1663354800000.0,2022-09-16 19:00:00,MTA/USDT,0.144,0.144,0.1435,0.144,0.0,0.0
1663351200000.0,2022-09-16 18:00:00,MTA/USDT,0.144,0.1445,0.1435,0.144,0.0,0.0
1663347600000.0,2022-09-16 17:00:00,MTA/USDT,0.1445,0.145,0.1435,0.144,82.98611111111111,11.95
1663344000000.0,2022-09-16 16:00:00,MTA/USDT,0.1445,0.1445,0.1445,0.1445,0.0,0.0
1663340400000.0,2022-09-16 15:00:00,MTA/USDT,0.146,0.146,0.1445,0.1445,3092.0,446.794
1663336800000.0,2022-09-16 14:00:00,MTA/USDT,0.146,0.146,0.145,0.146,0.0,0.0
1663333200000.0,2022-09-16 13:00:00,MTA/USDT,0.146,0.147,0.145,0.146,83.05479452054794,12.126
1663329600000.0,2022-09-16 12:00:00,MTA/USDT,0.146,0.147,0.146,0.146,0.0,0.0
1663326000000.0,2022-09-16 11:00:00,MTA/USDT,0.146,0.146,0.146,0.146,21.0,3.066
1663322400000.0,2022-09-16 10:00:00,MTA/USDT,0.146,0.146,0.146,0.146,36.00000000000001,5.256
1663318800000.0,2022-09-16 09:00:00,MTA/USDT,0.146,0.146,0.146,0.146,0.0,0.0
1663315200000.0,2022-09-16 08:00:00,MTA/USDT,0.1475,0.1475,0.146,0.146,150.0,21.9
1663311600000.0,2022-09-16 07:00:00,MTA/USDT,0.1445,0.1475,0.144,0.1475,136.0,20.06
1663308000000.0,2022-09-16 06:00:00,MTA/USDT,0.1445,0.1455,0.144,0.1445,0.0,0.0
1663304400000.0,2022-09-16 05:00:00,MTA/USDT,0.1475,0.1475,0.144,0.1445,1974.3494809688582,285.2935
1663300800000.0,2022-09-16 04:00:00,MTA/USDT,0.1475,0.1475,0.1475,0.1475,0.0,0.0
1663297200000.0,2022-09-16 03:00:00,MTA/USDT,0.1475,0.1475,0.1475,0.1475,0.0,0.0
1663293600000.0,2022-09-16 02:00:00,MTA/USDT,0.1475,0.1475,0.1475,0.1475,7.0,1.0325
1663290000000.0,2022-09-16 01:00:00,MTA/USDT,0.1475,0.1475,0.1475,0.1475,3.0,0.4425
1663286400000.0,2022-09-16 00:00:00,MTA/USDT,0.145,0.1475,0.145,0.1475,13.0,1.9175
1663282800000.0,2022-09-15 23:00:00,MTA/USDT,0.145,0.1455,0.145,0.145,0.0,0.0
1663279200000.0,2022-09-15 22:00:00,MTA/USDT,0.146,0.146,0.1445,0.145,1137.6655172413793,164.9615
1663275600000.0,2022-09-15 21:00:00,MTA/USDT,0.1475,0.15,0.146,0.146,832.9383561643835,121.609
