https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CFX,Volume USDT
1663459200,2022-09-18 00:00:00,CFX/USDT,0.049116,0.049116,0.04885,0.049116,32160.9192,1574.2707960441
1663372800,2022-09-17 00:00:00,CFX/USDT,0.048916,0.050367,0.047909,0.049116,302948.1792,14774.5908402973
1663286400,2022-09-16 00:00:00,CFX/USDT,0.051203,0.051207,0.047997,0.048815,383653.641,18919.2759066817
1663200000,2022-09-15 00:00:00,CFX/USDT,0.060753,0.063688,0.050967,0.051424,2068583.329,119484.3655489153
1663113600,2022-09-14 00:00:00,CFX/USDT,0.04795,0.066,0.047935,0.060999,3553986.4156,204602.0855597217
1663027200,2022-09-13 00:00:00,CFX/USDT,0.052774,0.05547,0.0469,0.04795,464921.42510233,23111.29623114547524
1662940800,2022-09-12 00:00:00,CFX/USDT,0.054139,0.055326,0.0512,0.052736,207881.3167,11127.1930767337
1662854400,2022-09-11 00:00:00,CFX/USDT,0.056058,0.0574,0.053224,0.054224,291615.7538,16045.595741484
1662768000,2022-09-10 00:00:00,CFX/USDT,0.05571,0.0579,0.054818,0.056149,290908.0028,16307.9174945453
1662681600,2022-09-09 00:00:00,CFX/USDT,0.052209,0.056178,0.052186,0.055399,519145.1476,28066.5925643047
1662595200,2022-09-08 00:00:00,CFX/USDT,0.052074,0.052661,0.050975,0.052209,105881.3577,5488.1832215841
1662508800,2022-09-07 00:00:00,CFX/USDT,0.050544,0.052456,0.050246,0.051812,88215.4723,4519.4353511251
1662422400,2022-09-06 00:00:00,CFX/USDT,0.053026,0.056712,0.050075,0.050544,468838.0702,24488.9978703487
1662336000,2022-09-05 00:00:00,CFX/USDT,0.052516,0.054492,0.050668,0.053285,199622.276,10514.5287395406
1662249600,2022-09-04 00:00:00,CFX/USDT,0.05107,0.05273,0.051033,0.052567,189440.7495,9804.6069976271
1662163200,2022-09-03 00:00:00,CFX/USDT,0.050459,0.051071,0.050402,0.050951,66252.5047,3373.0723385179
1662076800,2022-09-02 00:00:00,CFX/USDT,0.050477,0.052084,0.04993,0.050543,246898.6962,12544.7702762908
1661990400,2022-09-01 00:00:00,CFX/USDT,0.050197,0.051331,0.049376,0.050477,194747.9796,9755.5115225687
1661904000,2022-08-31 00:00:00,CFX/USDT,0.050529,0.052065,0.050108,0.0503,68770.4295,3511.7104288194
1661817600,2022-08-30 00:00:00,CFX/USDT,0.05229,0.053667,0.049349,0.050222,265572.7116,13421.7816634994
1661731200,2022-08-29 00:00:00,CFX/USDT,0.0507,0.0525,0.050365,0.05249,160401.6516,8188.2631577786
1661644800,2022-08-28 00:00:00,CFX/USDT,0.054258,0.054258,0.050526,0.05054,181192.4021,9565.0431805214
1661558400,2022-08-27 00:00:00,CFX/USDT,0.057378,0.0629,0.052138,0.054204,2314143.1451,132802.1780929807
1661472000,2022-08-26 00:00:00,CFX/USDT,0.054712,0.061076,0.054491,0.057372,2035128.9805,118654.0418770871
1661385600,2022-08-25 00:00:00,CFX/USDT,0.054616,0.055326,0.054,0.054949,135122.4102,7385.1438458749
1661299200,2022-08-24 00:00:00,CFX/USDT,0.053922,0.055287,0.053083,0.054483,443395.8041,24059.8586659573
1661212800,2022-08-23 00:00:00,CFX/USDT,0.0526,0.060894,0.052203,0.053957,1028559.9292,56919.8071034533
1661126400,2022-08-22 00:00:00,CFX/USDT,0.053022,0.053022,0.051157,0.052605,258990.7938,13485.5857125788
1661040000,2022-08-21 00:00:00,CFX/USDT,0.052164,0.053962,0.052164,0.053009,175761.4905,9331.2296819526
1660953600,2022-08-20 00:00:00,CFX/USDT,0.051802,0.053082,0.051566,0.052278,267172.0403,13933.5112387995
1660867200,2022-08-19 00:00:00,CFX/USDT,0.060747,0.063099,0.0512,0.051702,1648510.3257,91080.0623967871
1660780800,2022-08-18 00:00:00,CFX/USDT,0.057847,0.064764,0.057655,0.060748,3036358.0803,185725.8844593756
1660694400,2022-08-17 00:00:00,CFX/USDT,0.057527,0.061798,0.055174,0.0576,1500826.3176,86581.0663553629
1660608000,2022-08-16 00:00:00,CFX/USDT,0.056999,0.0585,0.05597,0.057445,767045.1673,43836.8141091248
1660521600,2022-08-15 00:00:00,CFX/USDT,0.059955,0.061384,0.054743,0.057,1988703.2744,114563.5208195097
1660435200,2022-08-14 00:00:00,CFX/USDT,0.062356,0.06336,0.059182,0.059927,1664527.6069,102595.2469092691
1660348800,2022-08-13 00:00:00,CFX/USDT,0.064142,0.065722,0.062332,0.062416,1624297.1306,103503.9886731935
1660262400,2022-08-12 00:00:00,CFX/USDT,0.0616,0.065,0.060828,0.064094,1836142.1138,115203.7134900885
1660176000,2022-08-11 00:00:00,CFX/USDT,0.060875,0.064326,0.0605,0.061599,1837873.0374,113997.7238684474
1660089600,2022-08-10 00:00:00,CFX/USDT,0.058172,0.062314,0.056301,0.06095,2003049.4784,118470.5440363654
1660003200,2022-08-09 00:00:00,CFX/USDT,0.064003,0.064006,0.057856,0.058073,1632349.1353,97420.9117729904
1659916800,2022-08-08 00:00:00,CFX/USDT,0.059296,0.0654,0.059206,0.063954,2897808.8533,178041.1849932562
1659830400,2022-08-07 00:00:00,CFX/USDT,0.0587,0.061199,0.058372,0.059272,2072549.6598,123699.6755950405
1659744000,2022-08-06 00:00:00,CFX/USDT,0.058324,0.062641,0.057209,0.058714,3132862.8488,187514.5047233795
1659657600,2022-08-05 00:00:00,CFX/USDT,0.057649,0.059693,0.055907,0.058241,2562310.4744,147653.5317622706
1659571200,2022-08-04 00:00:00,CFX/USDT,0.054713,0.057636,0.054145,0.057487,2444148.812,135570.2063541672
1659484800,2022-08-03 00:00:00,CFX/USDT,0.053908,0.056556,0.053001,0.054714,2018870.9244,111268.3409774565
1659398400,2022-08-02 00:00:00,CFX/USDT,0.055797,0.057971,0.05263,0.053864,3725525.8817,203104.0678872267
1659312000,2022-08-01 00:00:00,CFX/USDT,0.054563,0.057728,0.054101,0.055705,2727109.9574,152884.402057935
1659225600,2022-07-31 00:00:00,CFX/USDT,0.053846,0.058231,0.051372,0.054506,2506073.4615,140270.507361979
1659139200,2022-07-30 00:00:00,CFX/USDT,0.054085,0.0595,0.050472,0.053846,3239960.6697,179589.8903964327
1659052800,2022-07-29 00:00:00,CFX/USDT,0.054286,0.056437,0.052622,0.054083,2144079.7832,116761.1560909778
1658966400,2022-07-28 00:00:00,CFX/USDT,0.051714,0.054778,0.051067,0.05439,2496963.163,132280.0676147928
1658880000,2022-07-27 00:00:00,CFX/USDT,0.048758,0.05185,0.048085,0.05185,1908364.7619,94367.3059584361
1658793600,2022-07-26 00:00:00,CFX/USDT,0.051128,0.05117,0.0472,0.048813,1990584.994,97143.5135234286
1658707200,2022-07-25 00:00:00,CFX/USDT,0.056077,0.056579,0.05111,0.05111,2087474.1751,111100.3952938438
1658620800,2022-07-24 00:00:00,CFX/USDT,0.056873,0.057943,0.055735,0.05608,1622424.5526,92276.6176398641
1658534400,2022-07-23 00:00:00,CFX/USDT,0.054951,0.057968,0.054137,0.056857,1950194.8693,108817.3859795925
1658448000,2022-07-22 00:00:00,CFX/USDT,0.058625,0.061188,0.054213,0.054948,1751214.8483,99924.6718392092
1658361600,2022-07-21 00:00:00,CFX/USDT,0.052348,0.06259,0.050171,0.058868,2814041.638,155217.7718507687
1658275200,2022-07-20 00:00:00,CFX/USDT,0.054775,0.0571,0.051735,0.052324,1418517.35507438,77383.16271161626412
1658188800,2022-07-19 00:00:00,CFX/USDT,0.053987,0.056996,0.052423,0.054804,1971726.05355987,106974.05028181156198
1658102400,2022-07-18 00:00:00,CFX/USDT,0.051239,0.060705,0.050333,0.054103,3106170.41861322,169219.8981890850592
1658016000,2022-07-17 00:00:00,CFX/USDT,0.049333,0.0561,0.049,0.051311,2402491.51346505,124130.70528919853759
1657929600,2022-07-16 00:00:00,CFX/USDT,0.049546,0.051109,0.047443,0.049339,1852198.7822055,90209.83567631216126
1657843200,2022-07-15 00:00:00,CFX/USDT,0.049033,0.0505,0.048444,0.049307,1710947.6118639,84638.83772421664126
1657756800,2022-07-14 00:00:00,CFX/USDT,0.049552,0.060047,0.047911,0.049112,4457705.02798952,227361.98671140781288
1657670400,2022-07-13 00:00:00,CFX/USDT,0.043622,0.052032,0.042394,0.049541,2510414.30598393,115382.05521356382716
1657584000,2022-07-12 00:00:00,CFX/USDT,0.04573,0.045843,0.0436,0.043601,1961328.74550886,88250.64102707076972
1657497600,2022-07-11 00:00:00,CFX/USDT,0.048496,0.0489,0.04535,0.045822,1753525.46454577,83663.75390449141192
1657411200,2022-07-10 00:00:00,CFX/USDT,0.051501,0.051593,0.047963,0.048464,1618443.61317614,79988.4451832313133
1657324800,2022-07-09 00:00:00,CFX/USDT,0.050958,0.053,0.05085,0.051497,1576797.35472528,81433.79379961294244
1657238400,2022-07-08 00:00:00,CFX/USDT,0.052519,0.0535,0.050025,0.051005,1703515.37390453,87667.20207513283136
1657152000,2022-07-07 00:00:00,CFX/USDT,0.051107,0.054499,0.050726,0.052479,1899621.1061002,98504.87944532112468
1657065600,2022-07-06 00:00:00,CFX/USDT,0.047906,0.054143,0.047424,0.051104,2698736.06318006,135157.86104987585958
1656979200,2022-07-05 00:00:00,CFX/USDT,0.04963,0.049895,0.047186,0.047931,1784448.78761236,86401.76156878864104
1656892800,2022-07-04 00:00:00,CFX/USDT,0.047743,0.049772,0.047126,0.049583,1973310.50912128,95219.1831052638446
1656806400,2022-07-03 00:00:00,CFX/USDT,0.048976,0.049358,0.044856,0.04791,1953715.00353732,94178.77451692786005
1656720000,2022-07-02 00:00:00,CFX/USDT,0.050035,0.05045,0.04857,0.048853,1725701.51284179,85452.18122195982668
1656633600,2022-07-01 00:00:00,CFX/USDT,0.053148,0.054603,0.049067,0.049899,2621117.66694555,135508.84243959596648
1656547200,2022-06-30 00:00:00,CFX/USDT,0.05054,0.055,0.0465,0.053027,2979531.29210206,147810.10701157520228
1656460800,2022-06-29 00:00:00,CFX/USDT,0.051747,0.052355,0.05026,0.050617,1766949.32570487,90240.50583126673429
1656374400,2022-06-28 00:00:00,CFX/USDT,0.05368,0.055751,0.051576,0.051751,1881776.41769404,100379.27555726915859
1656288000,2022-06-27 00:00:00,CFX/USDT,0.053942,0.055871,0.053078,0.05368,1637998.94709309,89352.45280174517533
1656201600,2022-06-26 00:00:00,CFX/USDT,0.058004,0.060262,0.053794,0.053942,1565282.84973662,89748.1605399837617
1656115200,2022-06-25 00:00:00,CFX/USDT,0.054697,0.062572,0.054396,0.057929,2458796.34553533,141008.10068816054897
1656028800,2022-06-24 00:00:00,CFX/USDT,0.053042,0.055499,0.052239,0.054552,1761313.58930001,94990.82304359213551
1655942400,2022-06-23 00:00:00,CFX/USDT,0.050432,0.058178,0.050432,0.053001,1204842.78132653,62746.44027953542877
1655856000,2022-06-22 00:00:00,CFX/USDT,0.053147,0.053356,0.049724,0.050049,1142779.24418354,59216.58078294840757
1655769600,2022-06-21 00:00:00,CFX/USDT,0.0515,0.0564,0.051024,0.053035,1506336.06999194,80689.0050997987668
1655683200,2022-06-20 00:00:00,CFX/USDT,0.0517,0.052498,0.049298,0.0516,808815.86207266,41014.98063658954722
1655596800,2022-06-19 00:00:00,CFX/USDT,0.0485,0.0518,0.0468,0.0516,1000410.34954398,49183.26572981728332
