https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GBP,Volume ETH
1663549200000,2022-09-19 01:00:00,ETH/GBP,1174.6099,1182.4642,1173.9598,1182.4642,1321.52198992,1.1176
1663545600000,2022-09-19 00:00:00,ETH/GBP,1168.4766,1186.7285,1168.4766,1177.7964,4043.3750411999995,3.433
1663542000000,2022-09-18 23:00:00,ETH/GBP,1174.8967,1183.8689,1164.6733,1167.5136,5113.94307072,4.3802
1663538400000,2022-09-18 22:00:00,ETH/GBP,1168.5097,1176.4412,1164.4088,1171.0089,4573.60946073,3.9057
1663534800000,2022-09-18 21:00:00,ETH/GBP,1205.0772,1205.0772,1164.4733,1166.7864,5334.5625073481515,4.57201293
1663531200000,2022-09-18 20:00:00,ETH/GBP,1212.086,1212.4804,1200.0235,1200.9314,5178.7764762199995,4.3123
1663527600000,2022-09-18 19:00:00,ETH/GBP,1201.8708,1215.8391,1198.3308,1212.7706,4367.1869306,3.601
1663524000000,2022-09-18 18:00:00,ETH/GBP,1204.3661,1217.3157,1198.3889,1204.926,5539.406299799999,4.5973
1663520400000,2022-09-18 17:00:00,ETH/GBP,1226.4174,1229.5788,1200.1484,1203.6331,4500.556485050927,3.73914317
1663516800000,2022-09-18 16:00:00,ETH/GBP,1248.1975,1252.2838,1225.7971,1226.3107,5426.267487310975,4.42487168
1663513200000,2022-09-18 15:00:00,ETH/GBP,1249.0226,1262.7905,1247.0913,1250.0235,4308.70600215,3.4469
1663509600000,2022-09-18 14:00:00,ETH/GBP,1263.2092,1265.6624,1246.2114,1250.7948,4426.687876679999,3.5391
1663506000000,2022-09-18 13:00:00,ETH/GBP,1261.4318,1267.0955,1254.2584,1267.0955,5084.0939842,4.0124
1663502400000,2022-09-18 12:00:00,ETH/GBP,1261.6568,1266.9005,1249.745,1265.8739,5720.99050366,4.5194
1663498800000,2022-09-18 11:00:00,ETH/GBP,1254.3668,1264.0999,1253.6436,1256.9844,6004.74017724,4.7771
1663495200000,2022-09-18 10:00:00,ETH/GBP,1253.6439,1270.0056,1249.2149,1257.8996,5085.562292840001,4.0429
