https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ALPINE,Volume USDT
1663459200,2022-09-18 00:00:00,ALPINE/USDT,3.744,3.744,3.719,3.719,5.1119,19.0613326
1663372800,2022-09-17 00:00:00,ALPINE/USDT,3.7,3.746,3.636,3.71,1538.7267,5695.689639
1663286400,2022-09-16 00:00:00,ALPINE/USDT,3.701,4.033,3.578,3.683,3166.7903,12092.1033029
1663200000,2022-09-15 00:00:00,ALPINE/USDT,3.818,3.832,3.441,3.735,5443.5468,19941.3265354
1663113600,2022-09-14 00:00:00,ALPINE/USDT,4.125,4.125,3.702,3.84,3487.1416,13467.9925616
1663027200,2022-09-13 00:00:00,ALPINE/USDT,4.538,4.554,4.133,4.133,5264.8542,22951.8907569
1662940800,2022-09-12 00:00:00,ALPINE/USDT,4.679,4.77,4.43,4.567,2843.9622,13085.6428825
1662854400,2022-09-11 00:00:00,ALPINE/USDT,4.583,5.194,4,4.691,16020.20246823,77600.68478642
1662768000,2022-09-10 00:00:00,ALPINE/USDT,4.466,5.044,4.37,4.59,12736.8929,58644.8656408
1662681600,2022-09-09 00:00:00,ALPINE/USDT,4.48,4.627,4.43,4.466,3343.6492,15113.7980062
1662595200,2022-09-08 00:00:00,ALPINE/USDT,4.664,4.741,3.374,4.484,32419.4892,145446.9822276
1662508800,2022-09-07 00:00:00,ALPINE/USDT,4.427,4.842,4.421,4.644,14221.772,65953.1151605
1662422400,2022-09-06 00:00:00,ALPINE/USDT,4.93,4.931,4.285,4.44,17025.7868,78947.497647
1662336000,2022-09-05 00:00:00,ALPINE/USDT,4.645,5.206,4.599,4.919,19779.2804,97409.1735498
1662249600,2022-09-04 00:00:00,ALPINE/USDT,4.8,4.877,4.513,4.65,5948.5351,27933.8779233
1662163200,2022-09-03 00:00:00,ALPINE/USDT,5.15,5.694,4.758,4.79,33856.6607,174904.7572753
1662076800,2022-09-02 00:00:00,ALPINE/USDT,4.16,5.453,4.078,5.132,50031.2852,241020.617277
1661990400,2022-09-01 00:00:00,ALPINE/USDT,4.088,4.353,3.95,4.155,3967.1574,16469.3101803
1661904000,2022-08-31 00:00:00,ALPINE/USDT,3.852,4.367,3.84,4.07,23078.965,96748.0232863
1661817600,2022-08-30 00:00:00,ALPINE/USDT,3.917,3.99,3.644,3.845,3729.7399,14007.2777977
1661731200,2022-08-29 00:00:00,ALPINE/USDT,3.651,3.932,3.628,3.894,4065.0076,15383.3738356
1661644800,2022-08-28 00:00:00,ALPINE/USDT,3.779,4.266,3.651,3.651,13929.4719,55576.2738827
1661558400,2022-08-27 00:00:00,ALPINE/USDT,3.686,3.845,3.534,3.75,2835.5234,10425.1348801
1661472000,2022-08-26 00:00:00,ALPINE/USDT,4.245,4.245,3.651,3.655,6238.0214,25070.8782808
1661385600,2022-08-25 00:00:00,ALPINE/USDT,4.353,4.466,4.24,4.247,5038.9558,21844.0025691
1661299200,2022-08-24 00:00:00,ALPINE/USDT,4.353,4.434,4.163,4.323,4604.5942,19668.6321822
1661212800,2022-08-23 00:00:00,ALPINE/USDT,4.502,4.637,4.218,4.356,13409.9431,59335.5563253
1661126400,2022-08-22 00:00:00,ALPINE/USDT,3.699,4.854,3.699,4.498,54655.8319,236706.0726989
1661040000,2022-08-21 00:00:00,ALPINE/USDT,3.488,3.952,3.413,3.661,22787.8234,85991.60728
1660953600,2022-08-20 00:00:00,ALPINE/USDT,3.75,3.914,3.325,3.48,16644.5486,58941.1654347
1660867200,2022-08-19 00:00:00,ALPINE/USDT,3.88,4.681,3.5,3.72,110314.8983,451064.9124329
1660780800,2022-08-18 00:00:00,ALPINE/USDT,3.096,5.564,3.096,3.88,124855.81998851,525719.75263041746
1660694400,2022-08-17 00:00:00,ALPINE/USDT,3.15,3.198,3.057,3.07,3971.9712,12546.7083949
1660608000,2022-08-16 00:00:00,ALPINE/USDT,3.11,3.21,3.065,3.128,955.0625,2999.8017836
1660521600,2022-08-15 00:00:00,ALPINE/USDT,3.163,3.593,3.061,3.08,8838.6131,28484.4893497
1660435200,2022-08-14 00:00:00,ALPINE/USDT,3.004,3.38,2.995,3.169,13034.9041,40889.5637584
1660348800,2022-08-13 00:00:00,ALPINE/USDT,3.009,3.032,2.964,2.99,1354.6635,4071.1580598
1660262400,2022-08-12 00:00:00,ALPINE/USDT,2.932,3,2.905,3,801.2975,2343.5238464
1660176000,2022-08-11 00:00:00,ALPINE/USDT,2.956,3,2.94,2.94,333.2782,989.9279858
1660089600,2022-08-10 00:00:00,ALPINE/USDT,2.83,2.97,2.793,2.961,489.4908,1410.8295347
1660003200,2022-08-09 00:00:00,ALPINE/USDT,2.997,3.025,2.793,2.847,4396.2349,12758.1644729
1659916800,2022-08-08 00:00:00,ALPINE/USDT,2.985,3.03,2.98,2.997,277.9152,834.9227911
1659830400,2022-08-07 00:00:00,ALPINE/USDT,2.973,3.072,2.96,2.983,2347.6124,7017.7441454
1659744000,2022-08-06 00:00:00,ALPINE/USDT,2.996,3.042,2.957,2.957,459.8081,1377.430294
1659657600,2022-08-05 00:00:00,ALPINE/USDT,2.916,3.072,2.901,2.991,3413.5063,10190.0613938
1659571200,2022-08-04 00:00:00,ALPINE/USDT,2.853,3.273,2.837,2.905,13915.195,42193.187687
1659484800,2022-08-03 00:00:00,ALPINE/USDT,2.808,2.892,2.774,2.84,5616.1946,15891.5882829
1659398400,2022-08-02 00:00:00,ALPINE/USDT,2.8,2.89,2.725,2.818,5494.6004,15480.7168145
1659312000,2022-08-01 00:00:00,ALPINE/USDT,2.714,2.847,2.69,2.78,5779.3631,15913.0405657
1659225600,2022-07-31 00:00:00,ALPINE/USDT,2.708,2.819,2.688,2.721,1284.126,3521.0382066
1659139200,2022-07-30 00:00:00,ALPINE/USDT,2.838,2.986,2.694,2.694,9810.3945,27817.5335807
1659052800,2022-07-29 00:00:00,ALPINE/USDT,2.523,3.3,2.378,2.846,63036.2073,177892.4516883
1658966400,2022-07-28 00:00:00,ALPINE/USDT,2.424,2.537,2.411,2.496,538.9492,1343.5197592
1658880000,2022-07-27 00:00:00,ALPINE/USDT,2.308,2.508,2.283,2.418,6614.3719,15906.2877684
1658793600,2022-07-26 00:00:00,ALPINE/USDT,2.298,2.311,2.238,2.309,1024.1758,2324.1787091
1658707200,2022-07-25 00:00:00,ALPINE/USDT,2.458,2.525,2.307,2.307,1065.4598,2551.3602782
1658620800,2022-07-24 00:00:00,ALPINE/USDT,2.448,2.523,2.448,2.458,1346.5254,3336.8034639
1658534400,2022-07-23 00:00:00,ALPINE/USDT,2.508,2.509,2.413,2.434,2382.8079,5814.141908
1658448000,2022-07-22 00:00:00,ALPINE/USDT,2.532,2.554,2.477,2.496,1749.1201,4426.6427918
1658361600,2022-07-21 00:00:00,ALPINE/USDT,2.452,2.568,2.42,2.518,9443.9731,23518.0858456
1658275200,2022-07-20 00:00:00,ALPINE/USDT,2.574,2.673,2.433,2.467,4100.304,10528.3835046
1658188800,2022-07-19 00:00:00,ALPINE/USDT,2.598,2.622,2.544,2.58,4193.2938,10821.1948286
1658102400,2022-07-18 00:00:00,ALPINE/USDT,2.523,2.823,2.483,2.598,12120.0665,31232.2713885
1658016000,2022-07-17 00:00:00,ALPINE/USDT,2.568,2.613,2.494,2.514,2656.7087,6765.099646
1657929600,2022-07-16 00:00:00,ALPINE/USDT,2.428,3.17,2.428,2.544,61689.7116,169312.0594866
1657843200,2022-07-15 00:00:00,ALPINE/USDT,2.31,2.604,2.31,2.428,21274.3724,52564.2082624
1657756800,2022-07-14 00:00:00,ALPINE/USDT,2.253,2.373,2.253,2.313,259.2809,594.2440673
1657670400,2022-07-13 00:00:00,ALPINE/USDT,2.226,2.294,2.161,2.268,749.9953,1662.1653561
1657584000,2022-07-12 00:00:00,ALPINE/USDT,2.279,2.298,2.238,2.238,999.3748,2282.1561787
1657497600,2022-07-11 00:00:00,ALPINE/USDT,2.413,2.413,2.279,2.281,7862.507,18346.8328667
1657411200,2022-07-10 00:00:00,ALPINE/USDT,2.446,2.456,2.403,2.412,2814.3602,6800.3428749
1657324800,2022-07-09 00:00:00,ALPINE/USDT,2.422,2.465,2.421,2.444,29.994,73.3559578
1657238400,2022-07-08 00:00:00,ALPINE/USDT,2.478,2.508,2.412,2.433,7923.8582,19441.7895776
1657152000,2022-07-07 00:00:00,ALPINE/USDT,2.422,2.473,2.41,2.473,446.75961652,1092.49467876595
1657065600,2022-07-06 00:00:00,ALPINE/USDT,2.411,2.436,2.378,2.418,1107.15831806,2664.43964292478
1656979200,2022-07-05 00:00:00,ALPINE/USDT,2.484,2.647,2.379,2.418,6012.94477529,14643.67532344816
1656892800,2022-07-04 00:00:00,ALPINE/USDT,2.418,2.478,2.403,2.478,1004.7687862,2451.92938076265
1656806400,2022-07-03 00:00:00,ALPINE/USDT,2.448,2.463,2.414,2.432,1124.68140489,2730.12095376597
1656720000,2022-07-02 00:00:00,ALPINE/USDT,2.399,2.56,2.388,2.448,2311.44772752,5739.16227215232
1656633600,2022-07-01 00:00:00,ALPINE/USDT,2.415,2.778,2.36,2.403,7032.47220366,17446.1267926464
1656547200,2022-06-30 00:00:00,ALPINE/USDT,2.508,2.508,2.307,2.403,2026.26475596,4798.0328217863
1656460800,2022-06-29 00:00:00,ALPINE/USDT,2.565,2.849,2.493,2.523,1183.74000243,3028.17558592307
1656374400,2022-06-28 00:00:00,ALPINE/USDT,2.61,2.657,2.528,2.528,5562.52041258,14489.95561507364
1656288000,2022-06-27 00:00:00,ALPINE/USDT,2.603,2.728,2.571,2.609,3434.01372659,9064.15095327406
1656201600,2022-06-26 00:00:00,ALPINE/USDT,2.613,2.698,2.602,2.631,3474.60424536,9168.6604169194
1656115200,2022-06-25 00:00:00,ALPINE/USDT,2.631,2.661,2.57,2.617,2934.49444891,7673.38428086208
1656028800,2022-06-24 00:00:00,ALPINE/USDT,2.577,2.685,2.542,2.658,1918.22766791,4998.61777893255
1655942400,2022-06-23 00:00:00,ALPINE/USDT,2.523,2.581,2.52,2.581,1447.07858605,3680.49479597079
1655856000,2022-06-22 00:00:00,ALPINE/USDT,2.469,2.617,2.442,2.495,13218.99994322,33035.9609852054
1655769600,2022-06-21 00:00:00,ALPINE/USDT,2.46,2.702,2.403,2.481,11817.48318427,30100.28904238633
1655683200,2022-06-20 00:00:00,ALPINE/USDT,2.429,2.489,2.405,2.453,3711.28847113,9118.00857132659
1655596800,2022-06-19 00:00:00,ALPINE/USDT,2.346,2.498,2.26,2.434,7021.54847812,16599.25236359804
1655510400,2022-06-18 00:00:00,ALPINE/USDT,2.447,2.561,2.166,2.349,12554.49118284,29193.34904011299
1655424000,2022-06-17 00:00:00,ALPINE/USDT,2.396,2.523,2.382,2.447,1485.23392849,3655.28145958064
1655337600,2022-06-16 00:00:00,ALPINE/USDT,2.634,2.634,2.368,2.396,8706.78592515,21977.04929503676
1655251200,2022-06-15 00:00:00,ALPINE/USDT,2.646,2.73,2.361,2.607,20993.66860491,53271.0807610941
1655164800,2022-06-14 00:00:00,ALPINE/USDT,2.307,3.376,2.192,2.644,37828.30977324,110750.20860686855
1655078400,2022-06-13 00:00:00,ALPINE/USDT,2.345,2.481,2.141,2.294,9244.14013991,20889.67686948436
1654992000,2022-06-12 00:00:00,ALPINE/USDT,2.685,2.739,2.307,2.361,12187.17138902,30484.5906266853
1654905600,2022-06-11 00:00:00,ALPINE/USDT,2.968,3.036,2.673,2.702,2254.76830771,6356.91164682875
1654819200,2022-06-10 00:00:00,ALPINE/USDT,3.07,3.15,2.917,2.938,1251.31930032,3797.25779519392
1654732800,2022-06-09 00:00:00,ALPINE/USDT,3.117,3.222,2.793,3.068,12353.00447181,37244.3531737054
1654646400,2022-06-08 00:00:00,ALPINE/USDT,3.137,3.219,3.063,3.12,8000.26466348,25102.54460552031
1654560000,2022-06-07 00:00:00,ALPINE/USDT,3.223,3.46,3.117,3.151,5879.04069888,18732.66823553027
1654473600,2022-06-06 00:00:00,ALPINE/USDT,3.179,3.309,3.177,3.243,2117.60286992,6870.92656184968
1654387200,2022-06-05 00:00:00,ALPINE/USDT,3.214,3.23,3.1,3.181,6026.6434,19180.3105185
1654300800,2022-06-04 00:00:00,ALPINE/USDT,3.15,3.416,2.928,3.225,11708.33842925,37713.63584002096
1654214400,2022-06-03 00:00:00,ALPINE/USDT,3.2,3.468,3.117,3.16,7276.41913774,23001.74098361565
1654128000,2022-06-02 00:00:00,ALPINE/USDT,3.118,3.49,3.116,3.229,9312.67612817,30266.71856285095
1654041600,2022-06-01 00:00:00,ALPINE/USDT,3.3,3.437,3.081,3.112,4210.07475077,13758.06269483393
1653955200,2022-05-31 00:00:00,ALPINE/USDT,3.399,3.576,2.98,3.29,10531.44465052,34384.59158784841
1653868800,2022-05-30 00:00:00,ALPINE/USDT,3.252,3.42,3.252,3.402,7073.83656034,23559.51592882204
1653782400,2022-05-29 00:00:00,ALPINE/USDT,3.293,3.304,3.208,3.248,2472.00332091,8100.06138696364
