https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NEO,Volume USDT
1663459200,2022-09-18 00:00:00,NEO/USDT,9.079,9.0848,9.0057,9.0389,563.56287396,5091.725343240108
1663372800,2022-09-17 00:00:00,NEO/USDT,8.9956,9.1139,8.8632,9.0753,11349.48348508,102237.740510429203
1663286400,2022-09-16 00:00:00,NEO/USDT,9.1315,9.254,8.7382,9.0011,14903.48228201,133811.027831652911
1663200000,2022-09-15 00:00:00,NEO/USDT,9.0946,9.3173,8.726,9.1281,58245.7804277,523774.132301139661
1663113600,2022-09-14 00:00:00,NEO/USDT,8.905,9.155,8.8457,9.0993,41878.45745382,378495.467952247811
1663027200,2022-09-13 00:00:00,NEO/USDT,9.9066,9.946,8.8905,8.9056,43200.01787983,403747.676787044504
1662940800,2022-09-12 00:00:00,NEO/USDT,9.8086,10.25,9.6356,9.9079,29493.63828054,294286.254091388602
1662854400,2022-09-11 00:00:00,NEO/USDT,9.8877,10.0188,9.6136,9.8088,12707.68696646,124694.760866691497
1662768000,2022-09-10 00:00:00,NEO/USDT,9.8784,10.1006,9.7271,9.8874,19655.31278307,194190.68770730266
1662681600,2022-09-09 00:00:00,NEO/USDT,9.4457,9.9334,9.3486,9.8714,30991.77879268,300037.368554619143
1662595200,2022-09-08 00:00:00,NEO/USDT,8.8778,9.584,8.72,9.4454,32867.30374061,300024.387761056565
1662508800,2022-09-07 00:00:00,NEO/USDT,8.5409,8.9525,8.352,8.8775,14246.77605944,122781.100635379031
1662422400,2022-09-06 00:00:00,NEO/USDT,9.3619,9.5509,8.5269,8.5396,23066.61770233,209416.64132986236
1662336000,2022-09-05 00:00:00,NEO/USDT,9.5082,9.5909,9.0682,9.3553,9850.50645197,91038.181552562595
1662249600,2022-09-04 00:00:00,NEO/USDT,9.1614,9.5545,9.0759,9.5007,13509.37772623,125889.192926300593
1662163200,2022-09-03 00:00:00,NEO/USDT,9.0413,9.1766,8.9786,9.1541,5709.73565142,51903.552695619093
1662076800,2022-09-02 00:00:00,NEO/USDT,9.163,9.3416,8.9481,9.0445,11423.00164606,104700.517330162502
