https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ACT,Volume USDT
1663459200,2022-09-18 00:00:00,ACT/USDT,0.00247,0.00247,0.00247,0.00247,978186.4,2416.120408
1663372800,2022-09-17 00:00:00,ACT/USDT,0.00244,0.002508,0.002427,0.00247,31123503.325,76849.9914173293
1663286400,2022-09-16 00:00:00,ACT/USDT,0.00248,0.002581,0.002364,0.002424,11477261.6134,28561.8532225037
1663200000,2022-09-15 00:00:00,ACT/USDT,0.002519,0.002564,0.002449,0.00249,19412443.5057,48434.1228943318
1663113600,2022-09-14 00:00:00,ACT/USDT,0.00247,0.002556,0.002449,0.002502,19920075.4997,49502.3158771243
1663027200,2022-09-13 00:00:00,ACT/USDT,0.002501,0.002889,0.002467,0.00248,26574106.7198,67241.4022107612
1662940800,2022-09-12 00:00:00,ACT/USDT,0.002487,0.002522,0.00245,0.00251,29383436.752,73125.5339213079
1662854400,2022-09-11 00:00:00,ACT/USDT,0.00247,0.002549,0.002443,0.00247,28162971.7495,69907.039580797
1662768000,2022-09-10 00:00:00,ACT/USDT,0.002424,0.002501,0.002408,0.002476,32251010.8572,79389.9431250025
1662681600,2022-09-09 00:00:00,ACT/USDT,0.00251,0.002514,0.002354,0.002424,33055155.4482,81807.4818788555
1662595200,2022-09-08 00:00:00,ACT/USDT,0.002525,0.002533,0.00251,0.00251,9649731.5889,24235.7350374054
1662508800,2022-09-07 00:00:00,ACT/USDT,0.002321,0.002579,0.00231,0.002511,57363164.8403,142076.81847186
1662422400,2022-09-06 00:00:00,ACT/USDT,0.00222,0.002725,0.002178,0.00231,55428188.4933,128301.0712226271
1662336000,2022-09-05 00:00:00,ACT/USDT,0.00222,0.002224,0.00217,0.002214,28536561.5965,62943.0090607467
1662249600,2022-09-04 00:00:00,ACT/USDT,0.00214,0.002379,0.00213,0.00222,39625530.7396,86576.8853483791
1662163200,2022-09-03 00:00:00,ACT/USDT,0.00211,0.002174,0.002078,0.00214,35510000.8719,75600.4097320465
1662076800,2022-09-02 00:00:00,ACT/USDT,0.002004,0.002478,0.001966,0.00212,59874806.225,124942.5900342476
1661990400,2022-09-01 00:00:00,ACT/USDT,0.001909,0.00356,0.0019,0.002,70073210.086,149191.4665049631
1661904000,2022-08-31 00:00:00,ACT/USDT,0.00198,0.002077,0.0019,0.00192,32363618.9334,63462.4913664487
1661817600,2022-08-30 00:00:00,ACT/USDT,0.00199,0.002076,0.001947,0.00198,35700414.7513,71895.0715924676
1661731200,2022-08-29 00:00:00,ACT/USDT,0.002157,0.00231,0.001967,0.00199,56015381.1877,116062.4369921415
1661644800,2022-08-28 00:00:00,ACT/USDT,0.00193,0.002475,0.00193,0.00214,53579569.7673,110543.7309955617
1661558400,2022-08-27 00:00:00,ACT/USDT,0.002008,0.002052,0.001902,0.00196,44743529.7251,89054.3838393413
1661472000,2022-08-26 00:00:00,ACT/USDT,0.002183,0.002202,0.001977,0.002008,54860687.6376,116882.0572520637
1661385600,2022-08-25 00:00:00,ACT/USDT,0.00219,0.0026,0.00205,0.002182,193027179.9261,431175.7874153267
1661299200,2022-08-24 00:00:00,ACT/USDT,0.001836,0.00488,0.001785,0.002198,232012921.69531952,564040.0326633876265
1661212800,2022-08-23 00:00:00,ACT/USDT,0.001738,0.001855,0.001719,0.001793,3851649.8909,6897.8500164786
1661126400,2022-08-22 00:00:00,ACT/USDT,0.0018,0.001844,0.001717,0.001738,11918592.3129,21482.4147178408
1661040000,2022-08-21 00:00:00,ACT/USDT,0.001724,0.001839,0.0017,0.00179,102701848.5783,180263.6210073431
1660953600,2022-08-20 00:00:00,ACT/USDT,0.00173,0.001794,0.001695,0.00174,102863295.5923,179360.2277110543
1660867200,2022-08-19 00:00:00,ACT/USDT,0.001938,0.001954,0.001703,0.00173,113494531.073,206962.3812270034
1660780800,2022-08-18 00:00:00,ACT/USDT,0.00193,0.002001,0.0019,0.00191,102812661.7119,199464.3817963322
1660694400,2022-08-17 00:00:00,ACT/USDT,0.001968,0.002049,0.00191,0.001921,103972549.484,204580.9047563658
1660608000,2022-08-16 00:00:00,ACT/USDT,0.00202,0.002041,0.001958,0.00197,91523765.9059,182242.3136804014
1660521600,2022-08-15 00:00:00,ACT/USDT,0.0021,0.002115,0.00199,0.00201,106773041.9992,219186.7540592042
1660435200,2022-08-14 00:00:00,ACT/USDT,0.00197,0.002706,0.001949,0.002113,210673829.7264,468893.1976306752
1660348800,2022-08-13 00:00:00,ACT/USDT,0.001909,0.002054,0.00188,0.00197,96628118.6046,188460.3972868531
1660262400,2022-08-12 00:00:00,ACT/USDT,0.00196,0.00196,0.001872,0.001909,106646400.329,204150.3259799176
1660176000,2022-08-11 00:00:00,ACT/USDT,0.001984,0.002073,0.001915,0.00195,106101063.2075,210868.178256155
1660089600,2022-08-10 00:00:00,ACT/USDT,0.00196,0.002123,0.001925,0.002,105438843.2054,210903.9211225344
1660003200,2022-08-09 00:00:00,ACT/USDT,0.00195,0.002001,0.001942,0.00198,99398965.3903,194834.1431686286
1659916800,2022-08-08 00:00:00,ACT/USDT,0.00203,0.00208,0.001828,0.00195,107852244.1742,213902.654524538
1659830400,2022-08-07 00:00:00,ACT/USDT,0.00206,0.002079,0.002011,0.00202,109043627.8503,222031.6714848304
1659744000,2022-08-06 00:00:00,ACT/USDT,0.00206,0.002144,0.002014,0.00206,97380231.2082,201529.5101537336
1659657600,2022-08-05 00:00:00,ACT/USDT,0.00202,0.002145,0.001994,0.00203,97070946.0321,198007.3531037308
1659571200,2022-08-04 00:00:00,ACT/USDT,0.00211,0.002145,0.001996,0.00202,103247901.7918,211756.0677068005
1659484800,2022-08-03 00:00:00,ACT/USDT,0.00199,0.002168,0.00196,0.00212,100265811.4317,202383.9875970324
1659398400,2022-08-02 00:00:00,ACT/USDT,0.00202,0.00205,0.001967,0.00199,101890967.2693,204362.1316741557
1659312000,2022-08-01 00:00:00,ACT/USDT,0.00209,0.00212,0.002003,0.00202,96308215.0281,197794.676205663
1659225600,2022-07-31 00:00:00,ACT/USDT,0.00209,0.002167,0.002056,0.0021,101384646.33,215177.2153970084
1659139200,2022-07-30 00:00:00,ACT/USDT,0.00213,0.00216,0.00207,0.00208,103286777.2285,218174.2017136937
1659052800,2022-07-29 00:00:00,ACT/USDT,0.00208,0.002194,0.00206,0.0021,106055504.9768,225137.6282371265
1658966400,2022-07-28 00:00:00,ACT/USDT,0.00202,0.002119,0.00194,0.00207,95386750.3429,193553.1192559059
1658880000,2022-07-27 00:00:00,ACT/USDT,0.00195,0.00203,0.001929,0.002,103893489.4437,204576.070996656
1658793600,2022-07-26 00:00:00,ACT/USDT,0.00199,0.002034,0.001939,0.00196,100197693.4412,198112.247740044
1658707200,2022-07-25 00:00:00,ACT/USDT,0.00218,0.00218,0.001958,0.00201,105052184.8013,218399.3844440692
1658620800,2022-07-24 00:00:00,ACT/USDT,0.00214,0.00219,0.002092,0.00219,102288597.742,218489.7898297409
