https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CTC,Volume USDT
1663459200,2022-09-18 00:00:00,CTC/USDT,0.3228,0.3228,0.3212,0.3228,26.1281,8.40917229
1663372800,2022-09-17 00:00:00,CTC/USDT,0.3187,0.3257,0.3186,0.3204,729.13,233.50207472
1663286400,2022-09-16 00:00:00,CTC/USDT,0.3165,0.3222,0.3144,0.3184,762.3166,242.87354529
1663200000,2022-09-15 00:00:00,CTC/USDT,0.3285,0.3359,0.3161,0.3186,12968.7796,4227.66830813
1663113600,2022-09-14 00:00:00,CTC/USDT,0.3224,0.3313,0.3206,0.3271,3665.7171,1191.40070123
1663027200,2022-09-13 00:00:00,CTC/USDT,0.3435,0.3536,0.323,0.323,3219.7085,1089.35479346
1662940800,2022-09-12 00:00:00,CTC/USDT,0.3577,0.3699,0.3436,0.3436,19010.7458,6840.66076242
1662854400,2022-09-11 00:00:00,CTC/USDT,0.3489,0.359,0.344,0.3583,2632.93,918.9544433
1662768000,2022-09-10 00:00:00,CTC/USDT,0.3561,0.3651,0.34,0.3487,2969.0402,1043.25827092
1662681600,2022-09-09 00:00:00,CTC/USDT,0.3362,0.3758,0.335,0.3599,19393.2446,6891.12745811
1662595200,2022-09-08 00:00:00,CTC/USDT,0.3384,0.3459,0.3261,0.3341,18610.6822,6158.36925386
1662508800,2022-09-07 00:00:00,CTC/USDT,0.3145,0.3397,0.311,0.3384,19281.6794,6368.64140495
1662422400,2022-09-06 00:00:00,CTC/USDT,0.3335,0.3422,0.3132,0.3156,7166.1736,2407.23780999
1662336000,2022-09-05 00:00:00,CTC/USDT,0.336,0.338,0.3296,0.3329,6491.2153,2163.87915783
1662249600,2022-09-04 00:00:00,CTC/USDT,0.3392,0.3422,0.332,0.3369,9438.0968,3177.0353821
1662163200,2022-09-03 00:00:00,CTC/USDT,0.3371,0.344,0.334,0.3401,1634.4413,550.98771145
1662076800,2022-09-02 00:00:00,CTC/USDT,0.3364,0.3496,0.336,0.3364,6327.328,2156.4826199
1661990400,2022-09-01 00:00:00,CTC/USDT,0.3414,0.3449,0.3275,0.3349,76130.7642,25525.44224674
1661904000,2022-08-31 00:00:00,CTC/USDT,0.3364,1.16,0.3345,0.3404,306838.0345,118237.45069873
1661817600,2022-08-30 00:00:00,CTC/USDT,0.3394,0.35,0.3259,0.3352,1453.2974,499.50471009
1661731200,2022-08-29 00:00:00,CTC/USDT,0.3379,0.3439,0.321,0.3364,1720.4158,565.78384772
1661644800,2022-08-28 00:00:00,CTC/USDT,0.34,0.3489,0.3286,0.3286,643.9192,218.17727974
1661558400,2022-08-27 00:00:00,CTC/USDT,0.344,0.3588,0.334,0.3387,2990.3887,1042.93937756
1661472000,2022-08-26 00:00:00,CTC/USDT,0.3764,0.38,0.3436,0.3469,9760.1411,3500.7286782
1661385600,2022-08-25 00:00:00,CTC/USDT,0.3734,0.38,0.3688,0.3725,12604.2161,4708.67364006
1661299200,2022-08-24 00:00:00,CTC/USDT,0.387,0.387,0.3698,0.3733,3084.9972,1155.59050229
1661212800,2022-08-23 00:00:00,CTC/USDT,0.3708,0.3884,0.368,0.3884,9504.2744,3607.45482265
1661126400,2022-08-22 00:00:00,CTC/USDT,0.3858,0.398,0.3654,0.3709,108896.6188,41717.97347594
1661040000,2022-08-21 00:00:00,CTC/USDT,0.3763,0.3956,0.374,0.3863,23401.8299,8932.20724564
1660953600,2022-08-20 00:00:00,CTC/USDT,0.3655,0.405,0.362,0.3751,84760.6884,31209.9945204
1660867200,2022-08-19 00:00:00,CTC/USDT,0.4127,0.4127,0.3665,0.369,42905.4167,16690.8013475
1660780800,2022-08-18 00:00:00,CTC/USDT,0.4088,0.4301,0.4071,0.4131,13038.3521,5456.79453088
1660694400,2022-08-17 00:00:00,CTC/USDT,0.4274,0.4368,0.4054,0.4089,12640.8052,5254.74349731
1660608000,2022-08-16 00:00:00,CTC/USDT,0.4197,0.477,0.4108,0.4271,28055.6741,12101.49011207
1660521600,2022-08-15 00:00:00,CTC/USDT,0.4417,0.449,0.4201,0.4201,27015.3297,11546.1474225
1660435200,2022-08-14 00:00:00,CTC/USDT,0.4479,0.4555,0.4389,0.4413,622.4161,279.6397642
1660348800,2022-08-13 00:00:00,CTC/USDT,0.4594,0.469,0.4407,0.4488,29499.5806,13348.83287987
1660262400,2022-08-12 00:00:00,CTC/USDT,0.4276,0.472,0.4215,0.456,46192.0351,21180.71638934
1660176000,2022-08-11 00:00:00,CTC/USDT,0.4221,0.456,0.4221,0.4327,111775.3986,48572.03588563
