https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume ZAG
1652227200000,2022-05-11 00:00:00,ZAG/BTC,1.49e-06,1.49e-06,1.49e-06,1.49e-06,2.7100000055e-06,1.81879195
1652223600000,2022-05-10 23:00:00,ZAG/BTC,8.1e-07,8.1e-07,8e-07,8e-07,0.0007155297008,894.412126
1652220000000,2022-05-10 22:00:00,ZAG/BTC,1e-06,1e-06,8e-07,8e-07,0.0056456,7057.0
1652212800000,2022-05-10 20:00:00,ZAG/BTC,1.3e-06,1.53e-06,1.3e-06,1.53e-06,0.0116736738883686,7629.85221462
1652209200000,2022-05-10 19:00:00,ZAG/BTC,1.15e-06,1.15e-06,1.15e-06,1.15e-06,1.74304506285e-05,15.15691359
1652205600000,2022-05-10 18:00:00,ZAG/BTC,1.37e-06,1.37e-06,1.15e-06,1.15e-06,0.001819190875902,1581.90510948
1652202000000,2022-05-10 17:00:00,ZAG/BTC,1.3e-06,1.3e-06,1.16e-06,1.16e-06,0.00011428593195079999,98.52235513
1652198400000,2022-05-10 16:00:00,ZAG/BTC,1.3e-06,1.3e-06,1.3e-06,1.3e-06,1.8200000000000002e-05,14.0
1652194800000,2022-05-10 15:00:00,ZAG/BTC,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1.0
1652191200000,2022-05-10 14:00:00,ZAG/BTC,1.3e-06,1.3e-06,1.3e-06,1.3e-06,6.8521390639e-05,52.70876203
1652180400000,2022-05-10 11:00:00,ZAG/BTC,1.13e-06,1.5e-06,1.13e-06,1.5e-06,0.00018755916372000002,125.03944248
1652176800000,2022-05-10 10:00:00,ZAG/BTC,1.13e-06,1.13e-06,9.4e-07,9.4e-07,0.00022443816000000002,238.764
1652173200000,2022-05-10 09:00:00,ZAG/BTC,1.19e-06,1.19e-06,9.4e-07,9.4e-07,7.52e-06,8.0
1652169600000,2022-05-10 08:00:00,ZAG/BTC,9.2e-07,1.31e-06,9.2e-07,1.19e-06,9.32114332569e-05,78.32893551
1652155200000,2022-05-10 04:00:00,ZAG/BTC,1.15e-06,1.15e-06,1.15e-06,1.15e-06,5.732750011500001e-06,4.98500001
1652148000000,2022-05-10 02:00:00,ZAG/BTC,9.6e-07,9.6e-07,9.2e-07,9.2e-07,4.5441607205199994e-05,49.39305131
1652144400000,2022-05-10 01:00:00,ZAG/BTC,6.7e-07,1.6e-06,6.5e-07,1.6e-06,0.05272647200004799,32954.04500003
1652140800000,2022-05-10 00:00:00,ZAG/BTC,1.1e-06,1.56e-06,6.4e-07,1.56e-06,0.0296088,18980.0
1652137200000,2022-05-09 23:00:00,ZAG/BTC,9.9e-07,1.1e-06,6.4e-07,1.1e-06,0.015306874000044001,13915.34000004
1652126400000,2022-05-09 20:00:00,ZAG/BTC,6.5e-07,6.7e-07,6.5e-07,6.7e-07,1.99402883815e-05,29.76162445
1652122800000,2022-05-09 19:00:00,ZAG/BTC,7e-07,7e-07,7e-07,7e-07,1.0305483859999999e-06,1.47221198
1652119200000,2022-05-09 18:00:00,ZAG/BTC,7e-07,7e-07,7e-07,7e-07,7.19451614e-07,1.02778802
1652090400000,2022-05-09 10:00:00,ZAG/BTC,8e-07,8e-07,8e-07,8e-07,2.9091675335999996e-05,36.36459417
1652086800000,2022-05-09 09:00:00,ZAG/BTC,8e-07,8e-07,8e-07,8e-07,2.3814038472e-05,29.76754809
1652079600000,2022-05-09 07:00:00,ZAG/BTC,8.1e-07,8.1e-07,8e-07,8e-07,0.000633381826352,791.72728294
1652072400000,2022-05-09 05:00:00,ZAG/BTC,8.2e-07,8.2e-07,8.2e-07,8.2e-07,0.0009281699999948,1131.91463414
1652068800000,2022-05-09 04:00:00,ZAG/BTC,8.1e-07,8.1e-07,8.1e-07,8.1e-07,0.00014853028401,183.370721
1652036400000,2022-05-08 19:00:00,ZAG/BTC,8.6e-07,8.6e-07,8.2e-07,8.5e-07,0.003337198413901,3926.11578106
1652032800000,2022-05-08 18:00:00,ZAG/BTC,1e-06,1e-06,1e-06,1e-06,5.11e-06,5.11
1652014800000,2022-05-08 13:00:00,ZAG/BTC,8.5e-07,8.5e-07,8.5e-07,8.5e-07,4.8195445629500005e-05,56.70052427
1652000400000,2022-05-08 09:00:00,ZAG/BTC,8.6e-07,1.01e-06,8.6e-07,1.01e-06,0.000264264591201,261.6481101
1651996800000,2022-05-08 08:00:00,ZAG/BTC,8.3e-07,8.3e-07,8.3e-07,8.3e-07,8.333009432e-05,100.397704
1651993200000,2022-05-08 07:00:00,ZAG/BTC,1.03e-06,1.03e-06,1.03e-06,1.03e-06,0.00022813500304660002,221.49029422
1651989600000,2022-05-08 06:00:00,ZAG/BTC,1.18e-06,1.18e-06,1.03e-06,1.03e-06,0.00021619185000000004,209.895
1651986000000,2022-05-08 05:00:00,ZAG/BTC,1.03e-06,1.03e-06,1.03e-06,1.03e-06,0.0007091288503085001,688.47461195
1651928400000,2022-05-07 13:00:00,ZAG/BTC,1.03e-06,1.03e-06,1.03e-06,1.03e-06,1.03e-06,1
1651863600000,2022-05-06 19:00:00,ZAG/BTC,1.03e-06,1.03e-06,1.03e-06,1.03e-06,6.155280010300001e-06,5.97600001
1651842000000,2022-05-06 13:00:00,ZAG/BTC,1.03e-06,1.03e-06,1.03e-06,1.03e-06,0.00023300682661030002,226.22022001
1651834800000,2022-05-06 11:00:00,ZAG/BTC,1.03e-06,1.03e-06,1.03e-06,1.03e-06,9.242190000000002e-06,8.973
1651809600000,2022-05-06 04:00:00,ZAG/BTC,1.03e-06,1.03e-06,1.03e-06,1.03e-06,3.09e-06,3.0
1651762800000,2022-05-05 15:00:00,ZAG/BTC,1.3e-06,1.3e-06,1.3e-06,1.3e-06,0.002194109380762,1687.77644674
1651734000000,2022-05-05 07:00:00,ZAG/BTC,1.3e-06,1.3e-06,1.3e-06,1.3e-06,6.427524194000001e-05,49.4424938
1651680000000,2022-05-04 16:00:00,ZAG/BTC,1.4e-06,1.4e-06,1.3e-06,1.3e-06,0.00025974,199.8
1651672800000,2022-05-04 14:00:00,ZAG/BTC,1.31e-06,1.31e-06,1.31e-06,1.31e-06,6.8699282131e-06,5.24422001
1651662000000,2022-05-04 11:00:00,ZAG/BTC,1.5e-06,1.5e-06,1.31e-06,1.31e-06,0.00029608953002,226.022542
1651654800000,2022-05-04 09:00:00,ZAG/BTC,1.5e-06,1.5e-06,1.5e-06,1.5e-06,4.3454999999999996e-05,28.97
1651640400000,2022-05-04 05:00:00,ZAG/BTC,1.5e-06,1.5e-06,1.5e-06,1.5e-06,1.5e-06,1.0
1651636800000,2022-05-04 04:00:00,ZAG/BTC,1.3e-06,1.3e-06,1.3e-06,1.3e-06,0.000522757304706,402.12100362
