https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT
1663459200,2022-09-18 00:00:00,BNB/USDT,279.055,279.1,277.251,277.393,297.96561957,82777.12842683435
1663372800,2022-09-17 00:00:00,BNB/USDT,274.838,279.77,274.594,279.013,9661.43709136,2682353.44472376763
1663286400,2022-09-16 00:00:00,BNB/USDT,271.088,276.444,268.52,274.819,13173.79317424,3603638.76315041723
1663200000,2022-09-15 00:00:00,BNB/USDT,279.262,280.417,266.067,271.037,22181.91732436,6067682.37092014189
1663113600,2022-09-14 00:00:00,BNB/USDT,277.415,282.66,273.317,279.315,17220.51688845,4802197.3726840991
1663027200,2022-09-13 00:00:00,BNB/USDT,293.95,298.51,275.46,277.447,27070.5326986,7764472.32374788546
1662940800,2022-09-12 00:00:00,BNB/USDT,295.24,299.815,290.851,293.936,19492.54981039,5750620.03146132422
1662854400,2022-09-11 00:00:00,BNB/USDT,296.595,298.13,289.81,295.315,12222.2665421,3598829.41317036554
1662768000,2022-09-10 00:00:00,BNB/USDT,293.381,298.6,290.4,296.561,14988.36658326,4407514.92049339025
1662681600,2022-09-09 00:00:00,BNB/USDT,280.569,295.88,280.144,293.313,21987.33577542,6373334.35864733798
1662595200,2022-09-08 00:00:00,BNB/USDT,279.005,282.77,275.451,280.469,19314.57601531,5392924.69096673365
1662508800,2022-09-07 00:00:00,BNB/USDT,262.371,280.28,258.5,278.998,24698.58740289,6627618.04589098122
1662422400,2022-09-06 00:00:00,BNB/USDT,276.877,286.18,261.2,262.467,31817.32093558,8750934.89157641993
1662336000,2022-09-05 00:00:00,BNB/USDT,279.02,281.832,273.337,276.739,16211.76643464,4474818.88229373756
1662249600,2022-09-04 00:00:00,BNB/USDT,277.742,280.61,274.995,279.013,11962.6546681,3325928.00355601538
1662163200,2022-09-03 00:00:00,BNB/USDT,277.366,278.708,274.22,277.742,9265.44581397,2563854.32592054193
1662076800,2022-09-02 00:00:00,BNB/USDT,278.462,283.429,273.736,277.335,22204.13509721,6188278.21371886804
1661990400,2022-09-01 00:00:00,BNB/USDT,279.179,280.369,269.99,278.39,28107.73442038,7754612.51335862118
1661904000,2022-08-31 00:00:00,BNB/USDT,281.613,289.929,277.79,279.225,23025.21712994,6544226.48810089011
1661817600,2022-08-30 00:00:00,BNB/USDT,285.906,292.075,276.606,281.436,22532.7589238,6408679.74974833005
1661731200,2022-08-29 00:00:00,BNB/USDT,276.427,286.639,272.35,285.933,21756.17750477,6092937.76185485837
1661644800,2022-08-28 00:00:00,BNB/USDT,277.863,283.929,275.62,276.427,18640.0224814,5207200.03999851101
1661558400,2022-08-27 00:00:00,BNB/USDT,279.498,284.54,273.062,277.851,27320.31167132,7644478.85258874909
1661472000,2022-08-26 00:00:00,BNB/USDT,301.282,302.245,277.25,279.531,34291.36233394,9988652.97976931651
1661385600,2022-08-25 00:00:00,BNB/USDT,296.261,307.604,295.83,301.351,25980.59658844,7838845.98860502463
1661299200,2022-08-24 00:00:00,BNB/USDT,299.265,300.429,294.305,296.231,24267.27610784,7218382.89488597875
1661212800,2022-08-23 00:00:00,BNB/USDT,300.028,301.679,293.74,299.278,25017.26812564,7455411.97537921145
1661126400,2022-08-22 00:00:00,BNB/USDT,301.772,304.883,288.794,299.957,37773.64747618,11184817.85515777007
1661040000,2022-08-21 00:00:00,BNB/USDT,283.67,304.372,283.369,301.808,36186.99107884,10692695.78579101489
1660953600,2022-08-20 00:00:00,BNB/USDT,279.096,289.064,276.702,283.686,33170.93138854,9428874.71529858136
1660867200,2022-08-19 00:00:00,BNB/USDT,298.041,298.143,274.61,279.079,49199.28165936,14036852.00358025343
1660780800,2022-08-18 00:00:00,BNB/USDT,306.93,310.45,295.662,297.98,27538.36630913,8394025.98702421605
1660694400,2022-08-17 00:00:00,BNB/USDT,316.07,324.03,304,306.922,34283.95366284,10708971.91538132007
1660608000,2022-08-16 00:00:00,BNB/USDT,319.347,322.375,312.001,316.07,21017.71729418,6651414.97359262988
1660521600,2022-08-15 00:00:00,BNB/USDT,317.661,327.336,313.641,319.437,30226.95894192,9636997.32818518264
1660435200,2022-08-14 00:00:00,BNB/USDT,324.2,330.992,315.88,317.664,23730.31777506,7681937.76706344183
1660348800,2022-08-13 00:00:00,BNB/USDT,327.955,332.793,322.78,324.042,24041.432837,7885506.79546554911
1660262400,2022-08-12 00:00:00,BNB/USDT,323.526,328.04,317.74,327.836,23348.84316819,7541261.21675861028
1660176000,2022-08-11 00:00:00,BNB/USDT,328.825,334.829,321.992,323.505,30114.38964198,9918213.03944960549
1660089600,2022-08-10 00:00:00,BNB/USDT,324.413,336.757,313.676,328.81,51142.08825132,16645950.56375205924
1660003200,2022-08-09 00:00:00,BNB/USDT,324.754,328.4,312.374,324.501,30785.72853637,9890867.10072687702
1659916800,2022-08-08 00:00:00,BNB/USDT,322.78,333.764,321.115,324.878,36205.32339723,11847002.48463138231
1659830400,2022-08-07 00:00:00,BNB/USDT,315.193,325.92,308.22,322.748,32547.50909901,10356139.05551427124
1659744000,2022-08-06 00:00:00,BNB/USDT,315.823,322.916,312.685,315.208,30744.24753155,9747164.45926663705
1659657600,2022-08-05 00:00:00,BNB/USDT,311.827,321.359,308.063,315.823,42648.80581728,13441056.02996146533
1659571200,2022-08-04 00:00:00,BNB/USDT,297.518,313.44,297.181,311.859,52070.3561131,15869410.97772576203
1659484800,2022-08-03 00:00:00,BNB/USDT,283.756,305.779,278.218,297.476,40115.79538867,11809067.36197828573
1659398400,2022-08-02 00:00:00,BNB/USDT,283.302,291.24,274.28,283.722,37140.32149446,10461258.01671239792
1659312000,2022-08-01 00:00:00,BNB/USDT,283.367,290.389,277.94,283.262,35918.6344152,10211177.94132647022
1659225600,2022-07-31 00:00:00,BNB/USDT,287.672,297.07,282.201,283.443,33687.01596648,9804528.6384853373
1659139200,2022-07-30 00:00:00,BNB/USDT,293.656,300.099,285.07,287.671,48091.92523481,14085833.41399370045
1659052800,2022-07-29 00:00:00,BNB/USDT,277.151,302.02,274.874,293.609,70665.74517298,20446335.49500124028
1658966400,2022-07-28 00:00:00,BNB/USDT,271.535,280.712,263.593,277.12,50946.02026765,13858009.39684698501
1658880000,2022-07-27 00:00:00,BNB/USDT,249.417,271.964,247.522,271.514,45731.21160673,11934700.67388735028
1658793600,2022-07-26 00:00:00,BNB/USDT,244.65,249.507,239.64,249.414,24066.68531158,5855672.17116003646
