https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume MKR
1663545600000,2022-09-19 00:00:00,MKR/BTC,0.03249884,0.03293136,0.03168638,0.03214252,0.05113874932,1.591
1663459200000,2022-09-18 00:00:00,MKR/BTC,0.03395061,0.03420142,0.03142182,0.03256069,1.0174652598572798,31.24827084
1663372800000,2022-09-17 00:00:00,MKR/BTC,0.03385602,0.03424792,0.03352775,0.03410395,0.986174758418635,28.9167313
1663286400000,2022-09-16 00:00:00,MKR/BTC,0.0333473,0.03412791,0.03326114,0.03381671,0.9422276839534702,27.86278393
1663200000000,2022-09-15 00:00:00,MKR/BTC,0.0347508,0.03527394,0.03330476,0.03344239,0.9613192661508398,28.74553123
1663113600000,2022-09-14 00:00:00,MKR/BTC,0.03440464,0.03516027,0.0341982,0.03470797,0.8008258891981095,23.07325635
1663027200000,2022-09-13 00:00:00,MKR/BTC,0.03290313,0.03469733,0.03169249,0.03453352,0.9156994914855592,26.51625121
1662940800000,2022-09-12 00:00:00,MKR/BTC,0.03449943,0.03492903,0.03276117,0.03294412,0.9138175257684661,27.73841055
1662854400000,2022-09-11 00:00:00,MKR/BTC,0.03529162,0.03581372,0.0344057,0.03462919,1.019801180652112,29.44917801
1662768000000,2022-09-10 00:00:00,MKR/BTC,0.03644989,0.03672499,0.03504469,0.03526129,1.0358687477606652,29.3769385
1662681600000,2022-09-09 00:00:00,MKR/BTC,0.03759189,0.03810222,0.03580845,0.03643637,1.0607229086443284,29.11165159
1662595200000,2022-09-08 00:00:00,MKR/BTC,0.03833706,0.03874969,0.03745585,0.03759704,0.9410923902665583,25.03102346
1662508800000,2022-09-07 00:00:00,MKR/BTC,0.03846288,0.03896959,0.03750551,0.0382896,1.084017633689376,28.31102006
1662422400000,2022-09-06 00:00:00,MKR/BTC,0.03742448,0.03968491,0.03685784,0.03875422,1.1846115295190327,30.56729124
1662336000000,2022-09-05 00:00:00,MKR/BTC,0.03759836,0.03798361,0.03663764,0.03743825,1.0427670654691226,27.85298633
1662249600000,2022-09-04 00:00:00,MKR/BTC,0.03741164,0.03793007,0.03699447,0.03762581,1.0878100587360005,28.91127284
1662163200000,2022-09-03 00:00:00,MKR/BTC,0.03761794,0.03764405,0.03706342,0.03745642,1.1011794794384002,29.39895162
1662076800000,2022-09-02 00:00:00,MKR/BTC,0.03761527,0.03843829,0.03733004,0.03763007,1.0529233543578396,27.98090342
1661990400000,2022-09-01 00:00:00,MKR/BTC,0.03875974,0.03898758,0.03699795,0.03765879,1.0969170010255664,29.12778135
1661904000000,2022-08-31 00:00:00,MKR/BTC,0.03960553,0.04018664,0.03828,0.03871865,1.092966190907693,28.22841682
1661817600000,2022-08-30 00:00:00,MKR/BTC,0.04000753,0.04076636,0.03873994,0.03957056,1.1611785832237376,29.34450721
