https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AR,Volume USDT
1663459200,2022-09-18 00:00:00,AR/USDT,10.194,10.332,10.156,10.274,514.39935155,5281.01616189021
1663372800,2022-09-17 00:00:00,AR/USDT,10.126,10.332,9.832,10.201,15102.68514732,152520.4866202054
1663286400,2022-09-16 00:00:00,AR/USDT,9.739,10.282,9.586,10.123,19222.23100457,191288.32902295156
1663200000,2022-09-15 00:00:00,AR/USDT,9.794,9.807,9.322,9.755,15947.90796885,152698.14528383261
1663113600,2022-09-14 00:00:00,AR/USDT,9.729,9.979,9.516,9.814,20235.68660364,197783.82343015683
1663027200,2022-09-13 00:00:00,AR/USDT,10.736,11.008,9.636,9.734,45041.80973916,456967.54355988898
1662940800,2022-09-12 00:00:00,AR/USDT,11.292,11.651,10.658,10.738,24819.16750401,276634.94722253574
1662854400,2022-09-11 00:00:00,AR/USDT,11.096,11.75,10.89,11.283,20091.38287284,226145.64606522956
1662768000,2022-09-10 00:00:00,AR/USDT,10.958,11.377,10.774,11.084,14937.1070875,166003.28792782189
1662681600,2022-09-09 00:00:00,AR/USDT,10.017,11.578,9.966,10.929,41915.06491566,463137.02058356552
1662595200,2022-09-08 00:00:00,AR/USDT,9.74,10.06,9.526,10.01,13116.94511484,129441.64228740604
1662508800,2022-09-07 00:00:00,AR/USDT,9.332,9.96,9.256,9.73,14735.47066315,140670.9011298333
1662422400,2022-09-06 00:00:00,AR/USDT,10.169,10.473,9.322,9.332,27860.10542303,274021.70433957144
1662336000,2022-09-05 00:00:00,AR/USDT,10.269,10.392,9.92,10.167,13987.3060438,141214.8020714368
1662249600,2022-09-04 00:00:00,AR/USDT,10.133,10.59,9.919,10.28,10657.03318584,108272.98601273113
1662163200,2022-09-03 00:00:00,AR/USDT,10.032,10.259,9.911,10.128,9994.48177741,101133.509041488
1662076800,2022-09-02 00:00:00,AR/USDT,10.096,10.542,9.835,10.012,10690.19007355,108502.87002871109
1661990400,2022-09-01 00:00:00,AR/USDT,10.003,10.28,9.835,10.117,10953.36031096,110284.02399672077
1661904000,2022-08-31 00:00:00,AR/USDT,10.121,10.641,9.823,10.004,12636.73450658,128685.47757508225
1661817600,2022-08-30 00:00:00,AR/USDT,10.903,11.017,9.967,10.115,10716.73399245,112364.66526002715
1661731200,2022-08-29 00:00:00,AR/USDT,10.327,10.968,10.071,10.9,26295.85422789,274874.02518926951
1661644800,2022-08-28 00:00:00,AR/USDT,11.006,11.026,10.277,10.284,14738.47645684,157963.76575118701
1661558400,2022-08-27 00:00:00,AR/USDT,11.133,11.384,10.89,11.006,10730.20050682,119308.97217176225
1661472000,2022-08-26 00:00:00,AR/USDT,12.288,12.325,11.034,11.126,16016.8542413,185978.24081984814
1661385600,2022-08-25 00:00:00,AR/USDT,12.471,12.887,12.214,12.298,7616.17340218,96165.80353186331
1661299200,2022-08-24 00:00:00,AR/USDT,12.485,12.981,12.212,12.467,6282.18378857,78884.8739309719
1661212800,2022-08-23 00:00:00,AR/USDT,12.208,12.517,11.677,12.475,5486.44166654,66820.57624667214
1661126400,2022-08-22 00:00:00,AR/USDT,12.641,12.694,11.588,12.195,12532.43591741,148957.29689841939
1661040000,2022-08-21 00:00:00,AR/USDT,12.242,12.794,11.908,12.64,9352.89787411,116069.18500358823
1660953600,2022-08-20 00:00:00,AR/USDT,11.835,12.281,11.721,12.235,8070.04194591,97255.79038226726
1660867200,2022-08-19 00:00:00,AR/USDT,12.631,12.631,11.638,11.884,22687.31030398,274157.65531397079
1660780800,2022-08-18 00:00:00,AR/USDT,13.166,13.472,12.359,12.592,11773.16586245,153899.00902112857
1660694400,2022-08-17 00:00:00,AR/USDT,13.886,14.55,12.815,13.162,22090.32632994,298961.62163428171
1660608000,2022-08-16 00:00:00,AR/USDT,13.952,14.068,13.546,13.886,9536.51440883,131732.46518065961
1660521600,2022-08-15 00:00:00,AR/USDT,13.876,14.324,13.56,13.931,10802.91233106,151135.66176672408
1660435200,2022-08-14 00:00:00,AR/USDT,14.584,14.877,13.542,13.901,19024.1222146,270928.12281443654
1660348800,2022-08-13 00:00:00,AR/USDT,14.926,15.309,14.239,14.583,14332.16149225,213117.84597975821
1660262400,2022-08-12 00:00:00,AR/USDT,14.804,14.95,14.307,14.935,11095.38282114,162581.69139605049
1660176000,2022-08-11 00:00:00,AR/USDT,15.542,16.139,14.66,14.784,20590.30922753,315725.22523826721
1660089600,2022-08-10 00:00:00,AR/USDT,14.387,15.776,13.897,15.566,25595.7283582,383469.10688965571
1660003200,2022-08-09 00:00:00,AR/USDT,15.103,15.385,14.199,14.389,16617.78082545,243361.78834178136
1659916800,2022-08-08 00:00:00,AR/USDT,14.645,15.669,14.61,15.097,23689.71831521,358029.93486150279
1659830400,2022-08-07 00:00:00,AR/USDT,14.91,15.031,14.28,14.647,14314.32168745,210487.91784745753
1659744000,2022-08-06 00:00:00,AR/USDT,14.686,15.648,14.361,14.856,19050.8647439,286952.28955243201
1659657600,2022-08-05 00:00:00,AR/USDT,14.008,14.864,13.966,14.675,13468.02733118,194818.66977201379
1659571200,2022-08-04 00:00:00,AR/USDT,13.986,14.434,13.546,13.983,18250.48979603,254546.4861781176
1659484800,2022-08-03 00:00:00,AR/USDT,13.911,14.873,13.688,13.997,30392.79910345,435893.96209061603
1659398400,2022-08-02 00:00:00,AR/USDT,14.432,15.66,13.28,13.891,57102.13616192,795217.80727881015
1659312000,2022-08-01 00:00:00,AR/USDT,15.478,16.39,14.145,14.433,52951.75424687,790514.80564790314
1659225600,2022-07-31 00:00:00,AR/USDT,14.73,18.181,14.17,15.476,68327.65041187,1105496.49534259784
1659139200,2022-07-30 00:00:00,AR/USDT,13.55,15.803,13.507,14.762,44779.08497776,659878.13089158044
1659052800,2022-07-29 00:00:00,AR/USDT,13.988,15.133,13.112,13.553,30379.0639023,425034.74289067665
1658966400,2022-07-28 00:00:00,AR/USDT,14.429,14.648,12.836,13.968,35716.69833066,498896.13849445128
1658880000,2022-07-27 00:00:00,AR/USDT,12.344,14.446,12.075,14.446,32488.98484723,427681.9290326369
1658793600,2022-07-26 00:00:00,AR/USDT,12.649,12.667,11.623,12.321,22492.2122224,272606.66919230737
1658707200,2022-07-25 00:00:00,AR/USDT,13.326,13.506,12.507,12.674,35263.0175293,455287.66743659234
1658620800,2022-07-24 00:00:00,AR/USDT,13.657,14.161,13.266,13.32,18833.7423505,258838.893917972
1658534400,2022-07-23 00:00:00,AR/USDT,13.425,14.114,13.085,13.644,20004.10387463,270685.16397078712
1658448000,2022-07-22 00:00:00,AR/USDT,14.238,15.1,13.132,13.356,27798.30583129,394144.48154769622
1658361600,2022-07-21 00:00:00,AR/USDT,13.841,14.632,13.459,14.216,23523.05183709,332074.02314752518
