https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NEAR3L,Volume USDT
1663462800,2022-09-18 01:00:00,NEAR3L/USDT,0.001702,0.001708,0.001691,0.001704,165024.1541,280.6619800424
1663459200,2022-09-18 00:00:00,NEAR3L/USDT,0.001734,0.00174,0.001677,0.001702,7532092.1092,12885.9656202759
1663455600,2022-09-17 23:00:00,NEAR3L/USDT,0.001731,0.001748,0.001721,0.001722,1955854.9603,3391.5712751689
1663452000,2022-09-17 22:00:00,NEAR3L/USDT,0.001698,0.001741,0.001696,0.001732,2677575.5231,4590.1832327979
1663448400,2022-09-17 21:00:00,NEAR3L/USDT,0.001703,0.001706,0.001667,0.001689,8408525.1199,14133.4956041139
1663444800,2022-09-17 20:00:00,NEAR3L/USDT,0.001677,0.001711,0.001667,0.001692,7657799.6624,13036.3019913441
1663441200,2022-09-17 19:00:00,NEAR3L/USDT,0.001675,0.001685,0.001655,0.001685,2355086.934,3935.7497021443
1663437600,2022-09-17 18:00:00,NEAR3L/USDT,0.00171,0.00171,0.001665,0.001675,3898670.6387,6586.2353253076
1663434000,2022-09-17 17:00:00,NEAR3L/USDT,0.0017,0.00173,0.001689,0.00171,12264977.5265,20955.8556390615
1663430400,2022-09-17 16:00:00,NEAR3L/USDT,0.001655,0.001707,0.001654,0.0017,12011831.8288,20263.0018395428
1663426800,2022-09-17 15:00:00,NEAR3L/USDT,0.001655,0.001683,0.001643,0.001655,4062030.0376,6753.0276901963
1663423200,2022-09-17 14:00:00,NEAR3L/USDT,0.001614,0.001691,0.001614,0.001655,8867463.6378,14754.1673866272
1663419600,2022-09-17 13:00:00,NEAR3L/USDT,0.001618,0.001635,0.001614,0.001614,4381611.0816,7122.1963410741
1663416000,2022-09-17 12:00:00,NEAR3L/USDT,0.001606,0.001623,0.001582,0.001618,3870910.9209,6233.1774905947
1663412400,2022-09-17 11:00:00,NEAR3L/USDT,0.001618,0.001628,0.001599,0.001599,5962588.7316,9569.7530643787
1663408800,2022-09-17 10:00:00,NEAR3L/USDT,0.001646,0.001666,0.001618,0.001618,3211500.6656,5278.8268862778
1663405200,2022-09-17 09:00:00,NEAR3L/USDT,0.001673,0.001673,0.001633,0.001633,6254837.2026,10381.4434194609
1663401600,2022-09-17 08:00:00,NEAR3L/USDT,0.00162,0.00168,0.00162,0.001673,10338579.629,17096.149823269
1663398000,2022-09-17 07:00:00,NEAR3L/USDT,0.001609,0.001623,0.001603,0.001623,2437351.274,3934.5323810742
1663394400,2022-09-17 06:00:00,NEAR3L/USDT,0.001596,0.001637,0.001595,0.001616,6889126.1122,11082.5894159636
1663390800,2022-09-17 05:00:00,NEAR3L/USDT,0.001619,0.001619,0.001581,0.001601,2313963.6273,3692.5791684544
1663387200,2022-09-17 04:00:00,NEAR3L/USDT,0.001607,0.001635,0.001607,0.00162,398210.5492,648.1933235376
1663383600,2022-09-17 03:00:00,NEAR3L/USDT,0.001622,0.001646,0.001599,0.001605,3821544.0997,6199.8940450562
1663380000,2022-09-17 02:00:00,NEAR3L/USDT,0.001627,0.001633,0.001602,0.00161,3173402.128,5135.946068927
1663376400,2022-09-17 01:00:00,NEAR3L/USDT,0.001594,0.001627,0.001578,0.001618,2189606.6716,3497.6829973947
1663372800,2022-09-17 00:00:00,NEAR3L/USDT,0.001545,0.001646,0.001545,0.001586,5776337.3984,9269.521371028
1663369200,2022-09-16 23:00:00,NEAR3L/USDT,0.001577,0.001577,0.001516,0.001545,2939838.9715,4532.0768548825
1663365600,2022-09-16 22:00:00,NEAR3L/USDT,0.001576,0.001594,0.001556,0.001565,6699948.155,10564.6484357616
1663362000,2022-09-16 21:00:00,NEAR3L/USDT,0.001582,0.001594,0.00155,0.001572,7974360.2493,12482.9370674793
1663358400,2022-09-16 20:00:00,NEAR3L/USDT,0.00155,0.001589,0.00155,0.001582,3821239.2959,5995.4640832747
1663354800,2022-09-16 19:00:00,NEAR3L/USDT,0.001516,0.001565,0.001511,0.001552,6147202.1919,9533.8727032936
1663351200,2022-09-16 18:00:00,NEAR3L/USDT,0.001474,0.001527,0.001457,0.001517,7799758.7337,11810.3635137808
1663347600,2022-09-16 17:00:00,NEAR3L/USDT,0.001476,0.001513,0.00145,0.001488,7431439.5944,11013.8554230972
1663344000,2022-09-16 16:00:00,NEAR3L/USDT,0.001522,0.001524,0.001414,0.001464,7703168.4568,11305.1335760142
1663340400,2022-09-16 15:00:00,NEAR3L/USDT,0.001511,0.001538,0.001505,0.001529,5974631.1469,9079.330800516
1663336800,2022-09-16 14:00:00,NEAR3L/USDT,0.001464,0.001556,0.001464,0.001511,16124498.2361,24298.8189953109
