https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FRR,Volume USDT
1663459200,2022-09-18 00:00:00,FRR/USDT,0.00165,0.00169,0.00164,0.00168,2036348.8151,3357.812444586
1663372800,2022-09-17 00:00:00,FRR/USDT,0.00164,0.00174,0.0015,0.00165,55191997.0207,89662.527772161
1663286400,2022-09-16 00:00:00,FRR/USDT,0.00164,0.00173,0.00149,0.00165,33776187.9631,54899.996029791
1663200000,2022-09-15 00:00:00,FRR/USDT,0.00167,0.00178,0.00158,0.00164,23820094.0672,40140.588407082
1663113600,2022-09-14 00:00:00,FRR/USDT,0.00167,0.00171,0.00156,0.00166,21898825.8656,35541.348528014
1663027200,2022-09-13 00:00:00,FRR/USDT,0.00177,0.00183,0.00162,0.00167,20850846.1227,36065.78797222
1662940800,2022-09-12 00:00:00,FRR/USDT,0.00186,0.00195,0.00161,0.00178,50209690.0398,88651.426473594
1662854400,2022-09-11 00:00:00,FRR/USDT,0.00205,0.00206,0.0018,0.00187,33302537.4263,62394.054997443
1662768000,2022-09-10 00:00:00,FRR/USDT,0.00181,0.00218,0.00177,0.00204,87900220.6985,175621.372427871
1662681600,2022-09-09 00:00:00,FRR/USDT,0.00165,0.00216,0.00157,0.00182,144976885.9729,268149.457406116
1662595200,2022-09-08 00:00:00,FRR/USDT,0.00164,0.00174,0.00157,0.00165,36723911.76481798,60949.400090826768
1662508800,2022-09-07 00:00:00,FRR/USDT,0.00157,0.00167,0.0015,0.00166,50004020.2179,78478.720312448
1662422400,2022-09-06 00:00:00,FRR/USDT,0.00171,0.00176,0.00145,0.00157,52979770.88510951,84802.2574051216142
1662336000,2022-09-05 00:00:00,FRR/USDT,0.00188,0.0019,0.00167,0.00171,30996091.0902,53668.740942338
1662249600,2022-09-04 00:00:00,FRR/USDT,0.00182,0.00189,0.00179,0.00188,15409093.7026,28200.502836907
1662163200,2022-09-03 00:00:00,FRR/USDT,0.00179,0.00187,0.00171,0.00182,29905066.3342,53763.948579297
1662076800,2022-09-02 00:00:00,FRR/USDT,0.00187,0.00189,0.00177,0.00179,29231168.4969,53490.018307356
1661990400,2022-09-01 00:00:00,FRR/USDT,0.00197,0.002,0.00175,0.00187,42179346.5823,77592.3642773625084
1661904000,2022-08-31 00:00:00,FRR/USDT,0.00187,0.00203,0.00187,0.00197,40922170.17145952,79284.8876210772662
1661817600,2022-08-30 00:00:00,FRR/USDT,0.00197,0.00229,0.00179,0.00186,113480768.47525554,232692.1137721239867
1661731200,2022-08-29 00:00:00,FRR/USDT,0.00161,0.00217,0.00155,0.00198,109166673.65582127,204642.7924802995659
1661644800,2022-08-28 00:00:00,FRR/USDT,0.00186,0.00187,0.00161,0.00161,45189262.78023689,79221.2864506310565
1661558400,2022-08-27 00:00:00,FRR/USDT,0.00193,0.00197,0.00174,0.00185,53651173.76742097,100274.3159600752816
1661472000,2022-08-26 00:00:00,FRR/USDT,0.0022,0.00225,0.00194,0.00194,41646261.5944329,86904.1988694221264
