https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZEC,Volume BTC
1663459200,2022-09-18 00:00:00,ZEC/BTC,0.0029251,0.0029275,0.0029121,0.0029145,9.1277,0.02669866051
1663372800,2022-09-17 00:00:00,ZEC/BTC,0.0028657,0.0029267,0.0028512,0.0029251,942.34418789,2.710675216251608
1663286400,2022-09-16 00:00:00,ZEC/BTC,0.0029582,0.0029694,0.0028595,0.0028658,1266.58634091,3.688492639497662
1663200000,2022-09-15 00:00:00,ZEC/BTC,0.0030655,0.0030661,0.0029103,0.00296,1927.72826993,5.790747787925645
1663113600,2022-09-14 00:00:00,ZEC/BTC,0.0029142,0.003075,0.0029118,0.0030662,616.40298621,1.843643989580511
1663027200,2022-09-13 00:00:00,ZEC/BTC,0.0028064,0.0029448,0.0027556,0.0029146,1074.28017446,3.031481474535968
1662940800,2022-09-12 00:00:00,ZEC/BTC,0.002945,0.002997,0.0027686,0.002808,891.03929121,2.564119456548454
1662854400,2022-09-11 00:00:00,ZEC/BTC,0.0030189,0.0030405,0.002945,0.0029469,463.36820378,1.386141720013385
1662768000,2022-09-10 00:00:00,ZEC/BTC,0.0030938,0.0031049,0.0030021,0.003013,511.1501,1.55561302807
1662681600,2022-09-09 00:00:00,ZEC/BTC,0.0031611,0.0031749,0.0030105,0.003091,1151.68144726,3.548008542928045
1662595200,2022-09-08 00:00:00,ZEC/BTC,0.003083,0.0031726,0.003044,0.0031575,1142.93920844,3.546870585149572
1662508800,2022-09-07 00:00:00,ZEC/BTC,0.0030858,0.0031154,0.0030577,0.0030783,950.08481441,2.933954594093776
1662422400,2022-09-06 00:00:00,ZEC/BTC,0.0032104,0.0033,0.0030853,0.0030858,2057.37540661,6.576255902985093
1662336000,2022-09-05 00:00:00,ZEC/BTC,0.0032017,0.0032288,0.0031548,0.0032077,1396.61983028,4.443835908315143
1662249600,2022-09-04 00:00:00,ZEC/BTC,0.0031567,0.0032408,0.0031374,0.0031979,1020.4468,3.26350964389
1662163200,2022-09-03 00:00:00,ZEC/BTC,0.0030255,0.0031693,0.0030097,0.0031564,747.11394587,2.316508606292938
