https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FRA,Volume USDT
1663459200,2022-09-18 00:00:00,FRA/USDT,0.00431,0.004347,0.004309,0.004347,17808.4384,77.0175376416
1663372800,2022-09-17 00:00:00,FRA/USDT,0.004522,0.004568,0.004,0.004332,13767188.03660366,58813.68064328364
1663286400,2022-09-16 00:00:00,FRA/USDT,0.004571,0.004614,0.004413,0.004522,6225252.3225,28326.1911935989
1663200000,2022-09-15 00:00:00,FRA/USDT,0.00466,0.0049,0.004521,0.004571,4906215.7495,23055.6329553726
1663113600,2022-09-14 00:00:00,FRA/USDT,0.005016,0.005017,0.0045,0.00466,11401413.0597,53445.4664551218
1663027200,2022-09-13 00:00:00,FRA/USDT,0.005577,0.005671,0.004811,0.005016,10491822.4882,54486.6438582789
1662940800,2022-09-12 00:00:00,FRA/USDT,0.005917,0.005994,0.005472,0.005527,9904589.0293,56382.1273365132
1662854400,2022-09-11 00:00:00,FRA/USDT,0.005908,0.006295,0.005719,0.005911,9436026.3385,56018.9088709018
1662768000,2022-09-10 00:00:00,FRA/USDT,0.006026,0.0067,0.005767,0.005908,20656318.5246,127434.6448877255
1662681600,2022-09-09 00:00:00,FRA/USDT,0.005432,0.00643,0.0053,0.005992,33591056.5365,200673.3641501662
1662595200,2022-09-08 00:00:00,FRA/USDT,0.005797,0.0062,0.00535,0.005432,16576813.6093,97241.1639323673
1662508800,2022-09-07 00:00:00,FRA/USDT,0.0057,0.006099,0.005241,0.005797,21650313.8695,122805.3199279397
1662422400,2022-09-06 00:00:00,FRA/USDT,0.005581,0.0063,0.005384,0.005701,17269315.0785,100852.1753137308
1662336000,2022-09-05 00:00:00,FRA/USDT,0.00589,0.006084,0.005527,0.005527,7726880.7256,44594.6379219204
1662249600,2022-09-04 00:00:00,FRA/USDT,0.005955,0.006316,0.0056,0.00589,9988230.465,59193.5286759528
1662163200,2022-09-03 00:00:00,FRA/USDT,0.0058,0.006036,0.0057,0.005988,4315834.4797,25438.3314259693
1662076800,2022-09-02 00:00:00,FRA/USDT,0.006168,0.006249,0.005501,0.005829,11357388.9095,66176.7609289728
1661990400,2022-09-01 00:00:00,FRA/USDT,0.006572,0.006677,0.005691,0.006167,17298707.1396,104231.3837094166
1661904000,2022-08-31 00:00:00,FRA/USDT,0.006842,0.007,0.00641,0.006572,8715569.6953,58559.1052825947
1661817600,2022-08-30 00:00:00,FRA/USDT,0.006815,0.00771,0.006275,0.006836,27244282.40624572,189932.411921109072
1661731200,2022-08-29 00:00:00,FRA/USDT,0.006299,0.007,0.005584,0.006816,26065640.703,163800.0461786914
1661644800,2022-08-28 00:00:00,FRA/USDT,0.006953,0.006969,0.006083,0.006299,11318094.9033,72015.500082556
1661558400,2022-08-27 00:00:00,FRA/USDT,0.00645,0.00722,0.00645,0.006951,12649200.418,86456.5791470156
1661472000,2022-08-26 00:00:00,FRA/USDT,0.007032,0.0075,0.006441,0.00645,6065665.7627,41602.9496098038
1661385600,2022-08-25 00:00:00,FRA/USDT,0.006812,0.007172,0.00655,0.007031,9253718.5951,63577.3400179038
