https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT
1663459200,2022-09-18 00:00:00,ADA/USDT,0.485995,0.486238,0.480738,0.482488,649243.4372099,313571.16365959739101
1663372800,2022-09-17 00:00:00,ADA/USDT,0.474633,0.488299,0.472452,0.485965,20278917.28657291,9741119.90170186938946
1663286400,2022-09-16 00:00:00,ADA/USDT,0.466196,0.474829,0.454,0.474676,19731030.45153327,9129812.50776576859316
1663200000,2022-09-15 00:00:00,ADA/USDT,0.480895,0.482131,0.4625,0.466212,25586025.432709,12061024.15807643286471
1663113600,2022-09-14 00:00:00,ADA/USDT,0.463903,0.48711,0.46211,0.480901,24893272.99979395,11875181.22516744626648
1663027200,2022-09-13 00:00:00,ADA/USDT,0.501323,0.509013,0.461411,0.463912,42886953.07444878,20676711.67076631399931
1662940800,2022-09-12 00:00:00,ADA/USDT,0.509843,0.519679,0.495813,0.501226,31840179.17195386,16207477.34626329598914
1662854400,2022-09-11 00:00:00,ADA/USDT,0.512065,0.519913,0.5,0.509902,17024769.11311767,8703228.72949251536495
1662768000,2022-09-10 00:00:00,ADA/USDT,0.502183,0.52417,0.494629,0.512045,30779706.42767544,15817214.17309470452465
1662681600,2022-09-09 00:00:00,ADA/USDT,0.479156,0.50477,0.478362,0.502272,31373054.76295651,15469758.90039793113834
1662595200,2022-09-08 00:00:00,ADA/USDT,0.478783,0.483084,0.462607,0.479151,25947566.8306836,12266323.78147032179146
1662508800,2022-09-07 00:00:00,ADA/USDT,0.462549,0.482209,0.453424,0.478724,29613851.26186626,13830764.6864659276738
1662422400,2022-09-06 00:00:00,ADA/USDT,0.498395,0.5124,0.4601,0.462445,48737405.57636228,23772688.70388695964727
1662336000,2022-09-05 00:00:00,ADA/USDT,0.503513,0.5078,0.48262,0.498309,24737004.785899,12175126.44409131220204
1662249600,2022-09-04 00:00:00,ADA/USDT,0.480273,0.51,0.47569,0.50354,39194450.79373555,19445155.70131112607703
1662163200,2022-09-03 00:00:00,ADA/USDT,0.454233,0.48768,0.453522,0.48037,31979525.60491791,15142722.84456599393218
1662076800,2022-09-02 00:00:00,ADA/USDT,0.457586,0.46646,0.44873,0.454323,20943443.90137683,9589861.96866504044687
1661990400,2022-09-01 00:00:00,ADA/USDT,0.445973,0.4623,0.44,0.457429,28722542.24753561,12997535.71286968859995
1661904000,2022-08-31 00:00:00,ADA/USDT,0.453384,0.46348,0.444546,0.446018,16813989.09845584,7663913.9944582142909
1661817600,2022-08-30 00:00:00,ADA/USDT,0.450449,0.463059,0.43866,0.453351,30007799.51146219,13512252.73686348845408
1661731200,2022-08-29 00:00:00,ADA/USDT,0.42921,0.453,0.42349,0.450502,17540380.97348671,7688516.55430120480366
1661644800,2022-08-28 00:00:00,ADA/USDT,0.449852,0.454373,0.42672,0.429233,18561245.66552782,8207864.90035026453379
1661558400,2022-08-27 00:00:00,ADA/USDT,0.431487,0.45153,0.426,0.449851,24684545.38647534,10851961.69851680367404
1661472000,2022-08-26 00:00:00,ADA/USDT,0.464552,0.482179,0.42563,0.43162,47464537.91780536,21810102.82997560200372
1661385600,2022-08-25 00:00:00,ADA/USDT,0.457581,0.474579,0.45722,0.464644,19819065.89212902,9214785.14960182630715
1661299200,2022-08-24 00:00:00,ADA/USDT,0.465841,0.4688,0.453503,0.4576,16902857.12862734,7786766.30751866804318
1661212800,2022-08-23 00:00:00,ADA/USDT,0.461687,0.469712,0.44561,0.465696,16322176.98382878,7511058.23953321283435
1661126400,2022-08-22 00:00:00,ADA/USDT,0.462575,0.463235,0.43738,0.46153,18323565.83592153,8263333.58729894316863
1661040000,2022-08-21 00:00:00,ADA/USDT,0.45082,0.472675,0.446748,0.462518,21555608.01860983,9908812.4827725548787
1660953600,2022-08-20 00:00:00,ADA/USDT,0.449967,0.46462,0.43475,0.450819,31458441.7136139,14260044.12112129347866
1660867200,2022-08-19 00:00:00,ADA/USDT,0.51186,0.511903,0.44598,0.449967,45812658.14910142,21703444.8376265344882
