https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume EUR
1663545600,2022-09-19 00:00:00,XRP/EUR,0.35669,0.35983,0.35462,0.35584,50034.32197634,17804.213132060824
1663459200,2022-09-18 00:00:00,XRP/EUR,0.37587,0.39740,0.35553,0.35766,28431374.06355656,10168765.247571638
1663372800,2022-09-17 00:00:00,XRP/EUR,0.35456,0.38028,0.34615,0.37571,20244577.07444557,7606090.052639945
1663286400,2022-09-16 00:00:00,XRP/EUR,0.32635,0.35758,0.32163,0.35462,80799371.02806522,28653072.95397249
1663200000,2022-09-15 00:00:00,XRP/EUR,0.34252,0.34359,0.32444,0.32652,81190376.08375361,26510281.59886723
1663113600,2022-09-14 00:00:00,XRP/EUR,0.33318,0.34469,0.33242,0.34245,65294040.15020434,22359944.049437474
1663027200,2022-09-13 00:00:00,XRP/EUR,0.35559,0.35559,0.33200,0.33327,81341481.41638206,27108675.51163765
1662940800,2022-09-12 00:00:00,XRP/EUR,0.35279,0.35559,0.34366,0.35559,71340897.45477514,25368109.725943495
1662854400,2022-09-11 00:00:00,XRP/EUR,0.35571,0.35706,0.34601,0.35279,23587642.15520530,8321484.275934877
1662768000,2022-09-10 00:00:00,XRP/EUR,0.35499,0.36000,0.35000,0.35521,12264206.30159439,4356368.720389344
1662681600,2022-09-09 00:00:00,XRP/EUR,0.33996,0.35790,0.33793,0.35502,108258484.78706199,38433927.269102745
1662595200,2022-09-08 00:00:00,XRP/EUR,0.33754,0.34342,0.32854,0.33928,73000455.11240327,24767594.410536185
1662508800,2022-09-07 00:00:00,XRP/EUR,0.32495,0.33853,0.31613,0.33718,67039769.81723341,22604469.586974762
1662422400,2022-09-06 00:00:00,XRP/EUR,0.33462,0.34421,0.32120,0.32465,79526151.60441052,25818165.118371874
1662336000,2022-09-05 00:00:00,XRP/EUR,0.33472,0.33582,0.32434,0.33462,71352764.78313495,23876062.151732616
1662249600,2022-09-04 00:00:00,XRP/EUR,0.33144,0.33459,0.32942,0.33459,6024310.83567507,2015674.1625085217
1662163200,2022-09-03 00:00:00,XRP/EUR,0.33330,0.33730,0.32806,0.33137,6428355.16128059,2130164.0497935493
1662076800,2022-09-02 00:00:00,XRP/EUR,0.33485,0.33610,0.32677,0.33300,80199052.37689437,26706284.441505827
1661990400,2022-09-01 00:00:00,XRP/EUR,0.32610,0.33500,0.32183,0.33470,62107646.23748440,20787429.19568603
1661904000,2022-08-31 00:00:00,XRP/EUR,0.32614,0.33430,0.32119,0.32637,58632154.79855611,19135776.361604758
1661817600,2022-08-30 00:00:00,XRP/EUR,0.33351,0.33569,0.31921,0.32540,60045424.53711406,19538781.14437692
1661731200,2022-08-29 00:00:00,XRP/EUR,0.32406,0.33344,0.31956,0.33324,71402514.72509761,23794174.006991528
1661644800,2022-08-28 00:00:00,XRP/EUR,0.33719,0.33853,0.32394,0.32394,7252033.30605823,2349223.669164503
1661558400,2022-08-27 00:00:00,XRP/EUR,0.34016,0.34513,0.33000,0.33626,9542324.67299643,3208702.0945417797
1661472000,2022-08-26 00:00:00,XRP/EUR,0.34987,0.37106,0.33345,0.34025,82229914.93425525,27978728.55638035
1661385600,2022-08-25 00:00:00,XRP/EUR,0.34683,0.35257,0.34397,0.35053,53418946.60308766,18724943.35278032
1661299200,2022-08-24 00:00:00,XRP/EUR,0.34840,0.35354,0.33987,0.34674,62916479.35314653,21815660.050910026
1661212800,2022-08-23 00:00:00,XRP/EUR,0.34626,0.34900,0.33516,0.34812,53953981.18454832,18782459.92996496
1661126400,2022-08-22 00:00:00,XRP/EUR,0.34363,0.34677,0.33110,0.34640,60614493.42749930,20996860.523285758
1661040000,2022-08-21 00:00:00,XRP/EUR,0.33592,0.34700,0.33443,0.34335,9232301.11334782,3169910.5872679735
1660953600,2022-08-20 00:00:00,XRP/EUR,0.33335,0.34129,0.33092,0.33582,6013954.98761396,2019606.3639405202
1660867200,2022-08-19 00:00:00,XRP/EUR,0.36694,0.36705,0.32850,0.33385,73475279.08080699,24529721.921127412
1660780800,2022-08-18 00:00:00,XRP/EUR,0.37314,0.37636,0.36556,0.36685,51253264.67210056,18802260.14496009
1660694400,2022-08-17 00:00:00,XRP/EUR,0.37079,0.38500,0.36200,0.37274,59990102.01979332,22360710.62685776
1660608000,2022-08-16 00:00:00,XRP/EUR,0.36977,0.37282,0.36054,0.37116,40235410.25452408,14933774.870069157
1660521600,2022-08-15 00:00:00,XRP/EUR,0.36663,0.37545,0.35717,0.36929,52273018.12117686,19303902.861969404
1660435200,2022-08-14 00:00:00,XRP/EUR,0.36879,0.38236,0.36474,0.36615,10526099.09565437,3854131.1838738476
1660348800,2022-08-13 00:00:00,XRP/EUR,0.37042,0.37709,0.36706,0.36822,6321209.45690053,2327595.746219913
